Adresse,Lat,Long
02500 Hirson,49.9203419,4.0837186
02100 St Quentin Le Fayet,49.852874081394376,3.2901146768691256
02300 Viry Noureuil,49.6305172,3.2451299
03410 Domerat,46.359995,2.5368661
05000 Gap,44.5462834,6.083047953125
06130 Grasse,43.6589011,6.9239103
06340 La Trinite,43.7431396,7.3134223
07500 Guilherand-granges,44.930310950000006,4.8653500141016925
13400 Aubagne,43.2924385,5.5703031
13012 Marseille,43.306098794230756,5.4347369640577075
13003 Marseille,43.31025956483094,5.3793431502881015
13010 Marseille,43.283000802083336,5.42565251406046
13012 Marseille,43.306098794230756,5.4347369640577075
13008 Marseille,43.25797185695115,5.381182503373649
13500 Martigues,43.4057279,5.0548176
13560 Senas,43.7446686,5.078624
14123 Fleury Sur Orne,49.1478994,-0.3753212
15000 Aurillac,44.9285441,2.4433101
16100 Chateaubernard,45.675241799999995,-0.31778893429241717
16400 La Couronne,45.620268300000006,0.12130753584944018
18000 Bourges,47.0811608,2.3991583
19100 Brive La Gaillarde,45.1584982,1.5332389
21400 Châtillon-sur-seine,47.835253683505144,4.567537787347765
21140 Semur-en-auxois,47.4902149,4.3328705
24650 Chancelade,45.2063889,0.6661111
27600 Gaillon,49.1605604,1.3336126
27670 Le Bosc Roger En Roumois,49.295798899999994,0.9190382800424554
20167 Sarrola Carcopino,41.99819295,8.831373535819166
30100 Ales,44.1253665,4.0852818
31390 Carbonne,43.2958159,1.2250686
31140 Launaguet,43.6757142,1.4544605
31200 Toulouse,43.6007049,1.4241145487393414
31075 Toulouse,43.7592844,1.7091375
33370 Artigues Pres Bordeaux,44.85897305,-0.4893920546354979
33130 Begles,44.8074559,-0.5488542
33380 Biganos,44.6372409,-0.966178
33290 Blanquefort,44.9088982,-0.6300363
33080 Bordeaux Le Lac ,44.8906471,-0.5572341
33240 Bouliac,44.8140115,-0.5036626
33170 Gradignan,44.7739701,-0.613907
33700 Merignac,44.8422361,-0.6469599
34500 Beziers,43.3426562,3.2131307
34470 Perols,43.5586003,3.9502006
34200 Sete,43.4014434,3.6959771
36330 Le Poinconnet,46.7641725,1.7178194
37170 Chambray Les Tours,47.3390872,0.714368
37540 Saint Cyr / Loire,47.4068025,0.6475709
37250 Sorigny,47.241591,0.6939483
37000 Tours,47.3900474,0.6889268
38500 Voiron,45.3631386,5.5910751
41350 Vineuil,47.5857995,1.3892843
42390 Villars,45.4684804,4.353307
43700 Brives Charensac,45.0474,3.92197
44115 Basse-goulaine,47.2155058,-1.4652044
44807 Saint Herblain,47.2233007,-1.6346964
44570 Trignac,47.3024872,-2.2123695
45500 Gien,47.6918575,2.6313889
45160 Olivet ,47.8650984,1.9015752
45100 Orleans,47.9027336,1.9086066
45143 Saint Jean De La Ruelle ,47.9098024,1.8717431
45140 St Jean De La Ruelle,47.9098024,1.8717431
47300 Bias,44.4119,0.668539
49240 Avrille,47.5045657,-0.5956539
50470 La Glacerie,49.604827900000004,-1.5831838099280624
54520 Laxou,48.6848709,6.1522232
54350 Mont Saint Martin,49.5445997,5.7808004
54510 Tomblaine,48.6864409,6.2106707
55000 Savonnieres Devant Bar,48.7557314,5.1776668
57450 Farebersviller,49.1189722,6.8752992
57280 Semecourt,49.1938424,6.1352739
58500 Clamecy,47.4598895,3.5187552
58200 Cosne-cours-sur-loire,47.4115613,2.9273937
58400 La Charité-sur-loire,47.17264015333333,3.0526419249779146
59400 Cambrai,50.1759602,3.2356613
59155 Faches Thumesnil,50.6026031,3.0697877
59134 Fournes En Weppes,50.5847131,2.8889707
59760 Grande Synthe,51.0134813,2.3029972
59115 Leers,50.6792095,3.2399516
59810 Lesquin,50.5888,3.10997
59260 Lezennes,50.6146341,3.1165338
59000 Lille,50.631133000000005,3.055031128074955
59160 Lomme,50.6457022,2.9870927
59720 Louvroil,50.2644717,3.9623154
59494 Petite Foret,50.3749,3.47833
59223 Roncq,50.7531232,3.1209016
59450 Sin Le Noble,50.3644331,3.1117295
59380 Socx,50.9360127,2.4228396
59300 Valenciennes,50.3579317,3.5234846
60000 Beauvais,49.4300997,2.0823355
60180 Nogent Sur Oise,49.2744711,2.4676727
60402 Noyon,49.572999499999995,3.0144072523381604
95200 Sarcelles,48.97763875,2.3834784682113748
62610 Autingues,50.8421212,1.9850716
62400 Bethune,50.52987735,2.6418611281799524
62575 Blendecques,50.7170841,2.2817948
62100 Calais,50.9524769,1.8538446
62100 Calais,50.9524769,1.8538446
62161 Duisans,50.3059788,2.6881101
62950 Noyelles Godault,50.419769,2.996459
62980 Noyelles Les Vermelles,50.4883361,2.7245577
62280 Saint Martin Boulogne,50.7258932,1.633867
63170 Aubiere,45.7512575,3.1144195
63118 Cebazat,45.83115735,3.106219298222684
63100 Clermont Ferrand,45.7774551,3.0819427
64320 Bizanos,43.2887961,-0.3531403
65000 Tarbes,43.232858,0.0781021
66028 Perpignan,44.7320354,-0.2646449
67400 Illkirch Graffenstaden,48.5298611,7.7116218
67520 Marlenheim,48.6217367,7.4900618
67210 Obernai,48.454713999999996,7.4864338937215855
67590 Schweighouse Sur Moder,48.821213,7.7358163
67200 Strasbourg,48.569102650000005,7.752492365741716
68920 Wintzenheim,48.0724515,7.2925545
69300 Caluire,45.79249728738322,4.845826033497741
69300 Caluire Et Cuire,45.7969952,4.8423304
69630 Chaponost,45.7107025,4.7469158
69571 Dardilly,45.8064992,4.7537701
69803 Lyon St Priest,50.6807747,3.1241443
60110 Meru,49.2361978,2.1355087
69400 Villefranche Sur Saone,45.9864749,4.726611
70300 Luxeuil Les Bains,47.817177,6.3808865
71130 Gueugnon,46.6005232,4.0633825
71031 Macon,47.2423476,4.2436224
71240 Sennecey-le-grand,46.6409587,4.869504
71700 Tournus,46.5617373,4.9122425
72650 Saint Saturnin,48.0641536,0.1594091
72650 Saint Saturnin,48.0641536,0.1594091
74330 Epagny,45.9434777,6.086936902060788
76371 Dieppe,49.90651685,1.0673792464989984
76620 Le Havre,49.4938975,0.1079732
76810 Luneray,49.8230143,0.9191665160522347
76290 Montivilliers,49.5456435,0.192418
76330 Port Jerome Sur Seine,49.505435,0.6005385938946798
77240 Cesson,48.5624381,2.6021145
77124 Chauconin Neufmontier,48.96707961321306,2.8697099272347457
77700 Serris,48.8567,2.7855615
77460 Souppes-sur-loing,48.1868057,2.7426674
77000 Vaux Le Penil,48.5255542,2.6831642
78310 Coignieres,48.7511787,1.9201632
78800 Houilles,48.9229416,2.1868998
78205 Mantes La Jolie,48.9922559,1.72341
