ville,population
01014_ARBENT_795_AVENUE_DU_19_MARS_1962,3349
01115_CONFRANCON_ROUTE_DE_VANDEINS,1333
01143_DIVONNE_LES_BAINS_250_AVENUE_DE_GENEVE,9951
01320_CHALAMONT_Lieu_Dit_le_Petit_Etang,2589
03095_CUSSET_2_RUE_DE_LA_REPUBLIQUE,12474
03101_DOMERAT_RUE_ANDRE_MESSAGER,8729
03310_VICHY_27_RUE_DE_L_HOTEL_DES_POSTES,24980
04049_CHATEAU_ARNOUX_ST_AUBAN_AVENUE_DE_JAS,5089
04088_FORCALQUIER_CCAL_LES_3_ROUTES,5121
04400_ST_PONS_LES_TERRES_NEUVES,1794
05023_BRIANCON_2_AVENUE_DU_DAUPHINE,11339
05061_GAP_28_BOULEVARD_D_ORIENT,40631
05070_LARAGNE_MONTEGLIN_RUE_DU_MOULIN,3543
06004_ANTIBES_60_CHEMIN_DES_SABLES,73438
06004_ANTIBES_AVENUE_NICOLAS_AUSSEL,73438
06004_ANTIBES_AVENUE_PHILIPPE_ROCHAT,73438
06027_CAGNES_SUR_MER_59_ROUTE_DE_FRANCE,52178
06029_CANNES_54_BOULEVARD_D_ALSACE,74545
06030_LE_CANNET_374_AVENUE_GENERAL_DE_GAULLE,41887
06079_MANDELIEU_LA_NAPOULE_791_AV_DE_FREJUS_PAUL_RICARD,21998
06084_MOUANS_SARTOUX_1006_CHEMIN_DES_GOURETTES,9887
06088_NICE_2_AVENUE_GLORIA,342669
06088_NICE_2_BOULEVARD_RENE_CASSIN,342669
06088_NICE_2_RUE_DEUDON,342669
06088_NICE_8_RUE_ASSALIT,342669
06088_NICE_10_PLACE_FONTAINE_DU_TEMPLE,342669
06088_NICE_20_BOULEVARD_GAMBETTA,342669
06088_NICE_28_BIS_BD_JEAN_BAPTISTE_VERANY,342669
06112_LE_ROURET_ROUTE_DE_NICE,4072
06410_BIOT_AVENUE_ROUMANILLE,9668
06920_CANNES_140_AVENUE_FRANCIS_TONNER,74545
06922_CAGNES_SUR_MER_25_AVENUE_DU_GENERAL_LECLERC,74545
06924_ANTIBES_138_BD_DU_PRESIDENT_WILSON,73438
16281_LA_ROCHEFOUCAULD_ROUTE_DE_MANSLE_RIVIERE,2932
16430_CHAMPNIERS_LES_GRANDES_CHAUMES,5149
17224_MATHA_139_RUE_DE_SAINT_JEAN_D_ANGELY,2160
18205_BOURGES_ROUTE_D_ORLEANS,64541
19031_BRIVE_LA_GAILLARDE_37_39_BOULEVARD_GENERAL_KOENIG,46330
19123_MALEMORTRUE_PASTEUR,7984
19250_MEYMACROUTE_DE_TULLE,2308
21166_CHENOVE58_RUE_DE_LONGVIC,14025
21200_BEAUNE28_RUE_DU_FAUBOURG_MADELEINE,20551
21231_DIJON12_BD_GEORGES_CLEMENCEAU,158002
21231_DIJON30_32_RUE_D_AUXONNE,158002
21278_FONTAINE_LES_DIJONRUE_DES_PRES_POTETS,8800
21425_MONTBARD10_PLACE_LEON_GAMBETTA,4848
21554_ST_JEAN_DE_LOSNEALL_BASTIONS_CHARMILLES,1063
21800_QUETIGNY10_PLACE_CENTRALE_ROGER_REMOND,9099
22113_LANNIONROUTE_DE_PERROS_GUIREC,20210
22207_PLOUARETRUE_DU_GENERAL_DE_GAULLE,2176
22278_ST_BRIEUC3_ROND_POINT_PABLO_NERUDA,43605
24294_MONTPON_MENESTEROLROUTE_DE_RIBERAC,4848
24520_SARLAT_LA_CANEDAROUTE_DE_BERGERAC,8816
25056_BESANCON52_RUE_DE_BELFORT,117912
25056_BESANCON53_RUE_DE_VESOUL,117912
25056_BESANCON110_RUE_DE_DOLE,117912
25056_BESANCONCENTRE_COMMERCIAL_CHATEAUFA,117912
25300_PONTARLIER66_RUE_DE_SALINS,17542
25500_MORTEAU4_RUE_DU_CLOS_JEUNE,6853
25532_SAONE4_RUE_DU_LAC,3231
69007_LYON20_RUE_DE_LA_MADELEINE,522969
69387_LYON7_ET_9_RUE_MARC_BLOCH,522969
69388_LYON105_AVENUE_JEAN_MERMOZ,522969
78372_MARLY_LE_ROI_19_AVENUE_DE_SAINT_GERMAIN,16385
79191_NIORT_130_AVENUE_DE_NANTES,59193
80440_GLISY_ZAC_DE_LA_CROIX_DE_FER,826
82112_MOISSAC_2_BOULEVARD_DU_QUERCY,13378
82400_VALENCE_BD_VICTOR_GUILHEM,64749
83009_BANDOL_290_BOULEVARD_DE_MARSEILLE,8403
83019_BORMES_LES_MIMOSAS_AVENUE_DES_LIGURES,8162
83065 GASSIN_120 ROND POINT DE LA FOUX,2614
83136 GAREOULT_CD554,5303
83170_BRIGNOLES_PRE_DE_PAQUES,17361
83320_CARQUEIRANNE_QUARTIER_ST_VINCENT,9518
