ville,population
02100 St Quentin Le Fayet,53570
02300 Viry Noureuil,1688
02500 Hirson,8710
03410 Domerat,8729
05000 Gap,40631
06130 Grasse,48870
06340 La Trinite,10115
07500 Guilherand-granges,10756
13400 Aubagne,47535
13500 Martigues,48574
13560 Senas,6894
14123 Fleury Sur Orne,4938
15000 Aurillac,25593
16100 Chateaubernard,3746
16400 La Couronne,7764
18000 Bourges,64541
20167 Sarrola Carcopino,3289
24650 Chancelade,4378
27600 Gaillon,6860
27670 Le Bosc Roger En Roumois,3171
30100 Ales,41837
31075 Toulouse,493465
31140 Launaguet,9050
31200 Toulouse,493465
31390 Carbonne,5791
33170 Gradignan,25694
33240 Bouliac,3706
33290 Blanquefort,15419
33380 Biganos,10990
34200 Sete,43858
34470 Perols,9016
34500 Beziers,78308
78250 Tessancourt-sur-aubette,1051
78310 Coignieres,4355
78370 Plaisir,30950
78800 Houilles,32801
78910 Orgerus,2433
78945 Velizy,23092
91141 Villebon,10466
91227 Bretigny Sur Orge,27412
91230 Montgeron,23760
91250 Saint Germain Les Corbeil,7488
91620 Nozay,4511
92250 La Garenne Colombes,29642
93290 Tremblay En France,36461
93420 Villepinte,37713
95000 Cergy,65911
95200 Sarcelles,59196
95520 Osny,17446
95150 Taverny,26872
78190 Trappes,32645
59000 Lille,234475
67200 Strasbourg,287228
76371 Dieppe,28241
76620 Le Havre,168290
45100 Orleans,116269
31075 Toulouse,493465
76810 Luneray,2169
76290 Montivilliers,15470
90160 Bessoncourt,1283
77240 Cesson,10833
37000 Tours,137087
69300 Caluire,43294
69630 Chaponost,8846
69571 Dardilly,8752
69803 Lyon St Priest,46927
60110 Meru,14452
69400 Villefranche Sur Saone,36291
36330 Le Poinconnet,5820
37170 Chambray Les Tours,11880
37250 Sorigny,2752
38500 Voiron,20372
41350 Vineuil,8091
42390 Villars,7942
43700 Brives Charensac,4185
44115 Basse-goulaine,9136
44807 Saint Herblain,47415
44570 Trignac,7983
45500 Gien,13566
45160 Olivet,22386
45143 Saint Jean De La Ruelle,16411
47300 Bias,2997
49240 Avrille,14443
37540 Saint Cyr / Loire,16419
50470 La Glacerie,6070
54520 Laxou,14366
54350 Mont Saint Martin,8994
54510 Tomblaine,8856
55000 Savonnieres Devant Bar,471
57280 Semecourt,1021
58200 Cosne-cours-sur-loire,9589
59400 Cambrai,32176
59155 Faches Thumesnil,18191
59134 Fournes En Weppes,2231
59760 Grande Synthe,22522
59115 Leers,9378
59810 Lesquin,9012
59260 Lezennes,3050
59160 Lomme,28092
59720 Louvroil,6371
59494 Petite Foret,4887
59223 Roncq,13482
59450 Sin Le Noble,15428
59380 Socx,923
59300 Valenciennes,43229
60000 Beauvais,57071
60180 Nogent Sur Oise,20780
60402 Noyon,13190
62610 Autingues,289
62400 Bethune,25039
62575 Blendecques,4944
62100 Calais,72509
62161 Duisans,1347
62950 Noyelles Godault,5773
62980 Noyelles Les Vermelles,2329
62280 Saint Martin Boulogne,11136
63170 Aubiere,10904
63118 Cebazat,8805
63100 Clermont Ferrand,147865
64320 Bizanos,4563
65000 Tarbes,42758
66028 Perpignan,119344
67400 Illkirch Graffenstaden,26698
67520 Marlenheim,4250
67210 Obernai,11765
67590 Schweighouse Sur Moder,4942
68920 Wintzenheim,7853
70300 Luxeuil Les Bains,6623
71031 Macon,33908
71240 Sennecey-le-grand,3012
71700 Tournus,5489
72650 Saint Saturnin,2590
74330 Epagny,4118
77124 Chauconin Neufmontier,3554
77700 Serris,9494
77000 Vaux Le Penil,11101
80480 Dury Les Amiens,1464
80350 Mers-les-bains,2655
80190 Nesle,2314
80800 Villers-bretonneux,4592
81100 Castres,42079
82000 Montauban,61372
83500 La Seyne Sur Mer,62987
84300 Cavaillon,26236
84130 Le Pontet,17041
84140 Montfavet,14000
84100 Orange,28772
84275 Vedene,11383
86360 Chasseneuil Du Poitou,4692
86100 Chatellerault,31487
86240 Croutelle,865
88000 Epinal,32256
88190 Golbey,8798
89200 Avallon,6462
33080 Bordeaux Le Lac,260958
33370 Artigues Pres Bordeaux,8656
33700 Merignac,72197
78205 Mantes La Jolie,43921
13003 Marseille,870731
13010 Marseille,870731
13012 Marseille,870731
13008 Marseille,870731
