categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Poireaux bio;750g;3,32€ / kg;2,49;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;1,73€ / kg;2,59;non
Fruits, légumes;Bio;Courgettes bio;;3,69€ / kg;3,69;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;Aubergines bio;500g;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Radis rouges bio;250g;4,76€ / kg;1,19;non
Fruits, légumes;Bio;Avocat bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Concombre bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;1,49€ / kg;1,49;non
Fruits, légumes;Bio;Echalotes bio;250g;7,96€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110g;13,55€ / pce;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500g;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Salade batavia bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Salade feuille de chêne verte bio;;1,89€ / pce;1,89;non
Fruits, légumes;Bio;Endives bio;;9,98€ / kg;3,99;non
Fruits, légumes;Bio;Butternut bio;;2,69€ / pce;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Champignons bruns;200g;8,95€ / kg;1,79;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200g;10,95€ / kg;2,19;non
Fruits, légumes;Bio;Gingembre bio;150g;6,67€ / kg;1,00;non
Fruits, légumes;Bio;Patates douces bio;500g;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Coriandre bio;;5,96€ / kg;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;1,99€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Pommes Golden bio régionales d'aquitaine;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Golden bio;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Pommes Juliet bio;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Pommes Reinette du Canada bio;;0,75€ / pce;2,99;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,67€ / pce;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Bio;Fraises bio;250g;7,16€ / kg;1,79;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100g;20,20€ / kg;2,02;non
Fruits, légumes;Bio;BONDUELLE Feuille de chêne bio;100g;19,60€ / kg;1,96;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150g;23,93€ / kg;3,59;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125g;23,92€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Mix fruits secs amandes cranberries raisin;150g;21,93€ / kg;3,29;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100g;27,90€ / kg;2,79;non
Fruits, légumes;Bio;AUCHAN BIO Amandes en poudre;100g;29,90€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125g;25,52€ / kg;3,19;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200g;16,95€ / kg;3,39;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200g;13,45€ / kg;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200g;13,45€ / kg;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Cacahuétes grillées salées;150g;8,60€ / kg;1,29;non
Fruits, légumes;Bio;LES FADAS Mélange de fruits secs bio;145g;24,97€ / kg;3,62;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175g;7,94€ / kg;1,39;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pomme mangue et passion;;;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus multifruits;;;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400g;4,48€ / kg;1,79;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;5,58€ / kg;2,79;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Menthe bio;;5,96€ / kg;1,49;non
Fruits, légumes;Bio;Ciboulette bio;;5,96€ / kg;1,49;non
Fruits, légumes;Bio;Persil frisé bio;;5,96€ / kg;1,49;non
Fruits, légumes;Bio;Basilic bio;;5,96€ / kg;1,49;non
Fruits, légumes;Fruit;Mangue;;1,49€ / pce;1,49;non
Fruits, légumes;Fruit;Oranges à déguster;;1,00€ / kg;9,99;non
Fruits, légumes;Fruit;Oranges à déguster;;1,90€ / kg;3,79;non
Fruits, légumes;Fruit;Oranges à déguster;;1,50€ / kg;4,49;non
Fruits, légumes;Fruit;Oranges à jus;;1,90€ / kg;3,79;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à déguster;;1,99€ / kg;1,99;non
Fruits, légumes;Fruit;Oranges à jus;;1,50€ / kg;4,49;non
Fruits, légumes;Fruit;Pomelo rose;;0,79€ / pce;0,79;non
