categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates cerises allongées bio;250g;7,96€ / kg;1,99;non
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;3,59€ / kg;2,69;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;5,58€ / kg;2,79;non
Fruits, légumes;Bio;Poireaux bio;750g;4,65€ / kg;3,49;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;1,79€ / kg;2,69;non
Fruits, légumes;Bio;Courgettes bio;;3,79€ / kg;3,79;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;Radis rouges bio;250g;5,96€ / kg;1,49;non
Fruits, légumes;Bio;Avocat bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Concombre bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Oignons rouges bio;500g;5,90€ / kg;2,95;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;2,49€ / kg;2,49;non
Fruits, légumes;Bio;Echalotes bio;250g;7,96€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110g;17,73€ / pce;1,95;non
Fruits, légumes;Bio;Salade feuille de chêne verte bio;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Endives bio;;9,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200g;12,45€ / kg;2,49;non
Fruits, légumes;Bio;Brocoli bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Gingembre bio;150g;13,27€ / kg;1,99;non
Fruits, légumes;Bio;Patates douces bio;500g;4,98€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;2,29€ / kg;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;3,69€ / kg;3,69;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400g;4,48€ / kg;1,79;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,69€ / pce;3,69;non
Fruits, légumes;Bio;Bananes bio;;0,40€ / pce;1,99;non
Fruits, légumes;Bio;FLORETTE Batavia bio;125g;16,08€ / kg;2,01;non
Fruits, légumes;Bio;BONDUELLE Feuille de chêne bio;100g;19,80€ / kg;1,98;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150g;24,40€ / kg;3,66;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125g;24,40€ / kg;3,05;non
Fruits, légumes;Bio;AUCHAN BIO Mix fruits secs amandes cranberries raisin;150g;22,40€ / kg;3,36;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100g;28,50€ / kg;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Amandes en poudre;100g;30,50€ / kg;3,05;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200g;17,30€ / kg;3,46;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200g;13,70€ / kg;2,74;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200g;13,70€ / kg;2,74;non
Fruits, légumes;Bio;AUCHAN BIO Cacahuétes grillées salées;150g;8,80€ / kg;1,32;non
Fruits, légumes;Bio;LES FADAS Mélange de fruits secs et fruits séchés bio;145g;24,48€ / kg;3,55;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175g;8,11€ / kg;1,42;non
