categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;5,78€ / kg;2,89;non
Fruits, légumes;Bio;Tomates cerises allongées bio;250g;7,00€ / kg;1,75;non
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;3,05€ / kg;2,29;non
Fruits, légumes;Bio;Chou fleur bio;;3,75€ / pce;3,75;non
Fruits, légumes;Bio;Carottes bio filière responsable;;2,10€ / kg;3,15;non
Fruits, légumes;Bio;Poireaux bio;750g;3,99€ / kg;2,99;non
Fruits, légumes;Bio;Navets bio;500g;6,58€ / kg;3,29;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;1,73€ / kg;2,59;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Courgettes bio;;3,49€ / kg;3,49;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;Aubergines bio;500g;4,98€ / kg;2,49;non
Fruits, légumes;Bio;Avocat bio;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Radis rouges bio;250g;6,36€ / kg;1,59;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110g;18,09€ / pce;1,99;non
Fruits, légumes;Bio;Echalotes bio;250g;7,96€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Oignons rouges bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500g;2,98€ / kg;1,49;non
Fruits, légumes;Bio;Endives bio;;9,23€ / kg;3,69;non
Fruits, légumes;Bio;Salade batavia bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Butternut bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200g;10,95€ / kg;2,19;non
Fruits, légumes;Bio;AUCHAN BIO Champignons bruns;200g;10,95€ / kg;2,19;non
Fruits, légumes;Bio;Brocoli bio;500g;5,38€ / kg;2,69;non
Fruits, légumes;Bio;Asperges vertes bio;400g;24,38€ / pce;9,75;non
Fruits, légumes;Bio;Patates douces bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Gingembre bio;150g;11,27€ / kg;1,69;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;2,59€ / kg;2,59;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400g;4,73€ / kg;1,89;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,49€ / pce;1,49;non
