categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;4,00€ / kg;2,00;non
Fruits, légumes;Bio;AUCHAN BIO Carottes filière responsable;;1,49€ / kg;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,20€ / kg;5,49;non
Fruits, légumes;Bio;Courgettes bio;;3,29€ / kg;3,29;non
Fruits, légumes;Bio;Avocat bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Concombre bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500g;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Butternut bio;;2,00€ / pce;2,00;non
Fruits, légumes;Bio;Potimarron bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400g;4,48€ / kg;1,79;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;3,49€ / kg;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,89€ / pce;3,89;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Fruit;Bon plan du week-end;;0,59€ / pce;0,59;non
Fruits, légumes;Fruit;Oranges à jus;;2,00€ / kg;3,99;non
Fruits, légumes;Fruit;Oranges à déguster;;1,85€ / kg;3,69;non
Fruits, légumes;Fruit;Pomelo rose;;0,99€ / pce;0,99;non
Fruits, légumes;Fruit;AUCHAN BIO Pommes bicolores;;3,49€ / kg;3,49;non
Fruits, légumes;Fruit;Pommes Golden filière responsable;;2,99€ / pce;2,99;non
Fruits, légumes;Fruit;AUCHAN BIO Kiwis;;3,89€ / pce;3,89;non
Fruits, légumes;Fruit;Clémentines plateau;;1,30€ / kg;2,99;non
Fruits, légumes;Fruit;Citrons verts;500g;5,78€ / kg;2,89;non
