categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates cerises allongées bio;250;7,00€ / kg;1,75;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500;5,58€ / kg;2,79;non
Fruits, légumes;Bio;Tomates allongées bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;1,73€ / kg;2,59;non
Fruits, légumes;Bio;Aubergines bio;500;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Radis rouges bio;250;5,96€ / kg;1,49;non
Fruits, légumes;Bio;Avocat bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Concombre bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Oignons rouges bio;500;5,58€ / kg;2,79;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;1,49€ / kg;1,49;non
Fruits, légumes;Bio;Echalotes bio;250;7,96€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Endives bio;;9,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Champignons bruns;200;11,45€ / kg;2,29;non
Fruits, légumes;Bio;Asperges vertes bio;400;24,98€ / pce;9,99;non
Fruits, légumes;Bio;Gingembre bio;150;8,60€ / kg;1,29;non
Fruits, légumes;Bio;Coriandre bio;;7,96€ / kg;1,99;non
Fruits, légumes;Bio;TERR'LOIRE Maïs doux cuit bio;400;7,55€ / kg;3,02;non
Fruits, légumes;Bio;TERR'LOIRE Pommes de terre entières cuites bio;500;5,30€ / kg;2,65;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;1,99€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;4,49€ / kg;4,49;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;;4,49€ / kg;4,49;non
Fruits, légumes;Bio;Pommes Reinette du Canada bio;;0,87€ / pce;3,49;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500;9,18€ / kg;4,59;non
Fruits, légumes;Bio;BONDUELLE Feuille de chêne bio;100;19,80€ / kg;1,98;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150;24,40€ / kg;3,66;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125;24,40€ / kg;3,05;non
Fruits, légumes;Bio;AUCHAN BIO Mix fruits secs amandes cranberries raisin;150;22,40€ / kg;3,36;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100;28,50€ / kg;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Amandes en poudre;100;30,50€ / kg;3,05;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125;26,00€ / kg;3,25;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200;17,30€ / kg;3,46;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200;13,70€ / kg;2,74;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200;13,70€ / kg;2,74;non
Fruits, légumes;Bio;AUCHAN BIO Cacahuétes grillées salées;150;8,80€ / kg;1,32;non
Fruits, légumes;Bio;LES FADAS Mélange de fruits secs bio;145;26,28€ / kg;3,81;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175;8,11€ / kg;1,42;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus multifruits;;;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,29€ / pce;1,29;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,38€ / pce;2,29;non
Fruits, légumes;Bio;Pommes Juliet bio;;3,69€ / pce;3,69;non
Fruits, légumes;Bio;Pommes Golden bio;;4,49€ / kg;4,49;non
Fruits, légumes;Bio;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Bio;Fraises bio;250;9,16€ / kg;2,29;non
Fruits, légumes;Bio;Framboises bio;125;23,92€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Kiwi bio;;0,99€ / pce;0,99;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;4,48€ / kg;1,79;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;3,05€ / kg;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,24€ / kg;5,59;non
Fruits, légumes;Bio;Courgettes bio;;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;Poivrons rouges bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110;16,27€ / pce;1,79;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200;11,45€ / kg;2,29;non
Fruits, légumes;Bio;Butternut bio;;2,49€ / pce;2,49;non
Fruits, légumes;Bio;Patates douces bio;500;5,38€ / kg;2,69;non
Fruits, légumes;Bio;Brocoli bio;500;5,38€ / kg;2,69;non
Fruits, légumes;Bio;Salade feuille de chêne verte bio;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Salade batavia bio;;1,50€ / pce;1,50;non
Fruits, légumes;Bio;Poireaux bio;750;4,39€ / kg;3,29;non
Fruits, légumes;Bio;Navets bio;500;6,98€ / kg;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100;20,60€ / kg;2,06;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100;20,60€ / kg;2,06;non
Fruits, légumes;Bio;Menthe bio;;7,96€ / kg;1,99;non
Fruits, légumes;Bio;Ciboulette bio;;7,96€ / kg;1,99;non
Fruits, légumes;Bio;Persil frisé bio;;7,96€ / kg;1,99;non
Fruits, légumes;Bio;Basilic bio;;5,96€ / kg;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pomme mangue et passion;;;3,05;non
Fruits, légumes;Fruit;Mangue;;1,49€ / pce;1,49;non
Fruits, légumes;Fruit;Oranges à déguster;;1,00€ / kg;9,99;non
Fruits, légumes;Fruit;Oranges à déguster non traitées après récolte;;0,75€ / pce;2,99;non
Fruits, légumes;Fruit;Oranges à déguster;;1,33€ / kg;3,99;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à jus;;2,46€ / kg;3,69;non
Fruits, légumes;Fruit;Oranges à jus;;2,00€ / kg;3,99;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à déguster;;1,99€ / kg;1,99;non
Fruits, légumes;Fruit;Oranges à jus;;1,16€ / kg;3,49;non
Fruits, légumes;Fruit;Pomelo rose;;0,79€ / pce;0,79;non
Fruits, légumes;Fruit;Pommes Gala;;0,22€ / pce;1,29;non
Fruits, légumes;Fruit;Pommes bicolores;;1,50€ / kg;2,99;non
Fruits, légumes;Fruit;Pommes Pink Lady (Cripps Pink);;0,58€ / pce;3,49;non
Fruits, légumes;Fruit;Pommes Jazz;;0,55€ / pce;3,29;non
Fruits, légumes;Fruit;Pommes Golden filière responsable;;2,59€ / pce;2,59;non
Fruits, légumes;Fruit;Pommes Pinkids (Cripps Pink);;0,37€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes rustiques bio filière responsable;;4,49€ / kg;4,49;non
Fruits, légumes;Fruit;Pommes bicolores bio;;1,99€ / kg;2,99;non
Fruits, légumes;Fruit;Pommes Granny;;0,47€ / pce;2,79;non
Fruits, légumes;Fruit;Pommes Reinette du Canada bio;;0,87€ / pce;3,49;non
Fruits, légumes;Fruit;Poires Rochas;;1,99€ / kg;1,99;non
Fruits, légumes;Fruit;Poires mûres à point;;1,00€ / pce;3,99;non
Fruits, légumes;Fruit;Kiwi;;0,40€ / pce;0,40;non
Fruits, légumes;Fruit;Kiwis 1er prix;;2,99€ / kg;2,99;non
Fruits, légumes;Fruit;Kiwis prêts à déguster;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Kiwis filière responsable;;0,66€ / pce;3,29;non
Fruits, légumes;Fruit;Ananas sweet;;2,49€ / pce;2,49;non
