categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates rondes en grappes bio;500;4,98€ / kg;2,49;non
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;3,72€ / kg;2,79;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Poireaux bio;750;4,65€ / kg;3,49;non
Fruits, légumes;Bio;Navets bio;500;5,38€ / kg;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,32€ / kg;5,79;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;2,66€ / kg;3,99;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Courgettes bio;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Aubergines bio;500;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Concombre bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Avocat bio;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Radis rouges bio;250;5,96€ / kg;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110;14,45€ / pce;1,59;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Oignons rouges bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;3,19€ / kg;3,19;non
Fruits, légumes;Bio;Echalotes bio;250;8,60€ / kg;2,15;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Endives bio;;9,98€ / kg;3,99;non
Fruits, légumes;Bio;Salade batavia bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Butternut bio;;3,49€ / pce;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200;9,95€ / kg;1,99;non
Fruits, légumes;Bio;Champignons bruns bio;200;9,95€ / kg;1,99;non
Fruits, légumes;Bio;Brocoli bio;500;4,98€ / kg;2,49;non
Fruits, légumes;Bio;Patates douces bio;500;5,78€ / kg;2,89;non
Fruits, légumes;Bio;Gingembre bio;150;9,93€ / kg;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;2,49€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;4,98€ / kg;1,99;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Pommes Juliet bio;;4,29€ / pce;4,29;non
Fruits, légumes;Bio;Pommes Golden bio régionales d'aquitaine;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,60€ / pce;3,59;non
Fruits, légumes;Bio;Pommes Reinette du Canada bio;;0,90€ / pce;3,59;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;4,39€ / kg;4,39;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,59€ / pce;3,59;non
Fruits, légumes;Bio;Kiwi bio;;0,99€ / pce;0,99;non
Fruits, légumes;Bio;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Bio;Fraises bio;250;11,96€ / kg;2,99;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500;6,98€ / kg;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100;20,20€ / kg;2,02;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100;20,20€ / kg;2,02;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150;23,93€ / kg;3,59;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125;25,52€ / kg;3,19;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175;7,94€ / kg;1,39;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pomme mangue et passion;;;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus multifruits;;;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,20€ / pce;2,39;non
Fruits, légumes;Fruit;Oranges à jus;;1,50€ / kg;4,49;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à déguster;;2,49€ / kg;2,49;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à jus;;2,39€ / kg;3,59;non
Fruits, légumes;Fruit;Oranges à déguster;;1,33€ / kg;3,99;non
Fruits, légumes;Fruit;Oranges à déguster non traitées après récolte;;0,67€ / pce;2,69;non
Fruits, légumes;Fruit;Orange à déguster;;0,50€ / pce;0,50;non
Fruits, légumes;Fruit;Pomelo rose;;0,79€ / pce;0,79;non
Fruits, légumes;Fruit;AUCHAN BIO Pomelo rose filière responsable;;1,49€ / pce;1,49;non
Fruits, légumes;Fruit;Pommes Pink Lady (Cripps Pink);;0,55€ / pce;3,29;non
Fruits, légumes;Fruit;Pommes Golden filière responsable;;2,99€ / pce;2,99;non
