categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates cerises allongées bio;250;7,00€ / kg;1,75;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500;5,18€ / kg;2,59;non
Fruits, légumes;Bio;Poireaux bio;750;3,99€ / kg;2,99;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,79€ / kg;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Courgettes bio;;2,49€ / kg;2,49;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;Aubergines bio;500;4,98€ / kg;2,49;non
Fruits, légumes;Bio;Avocat bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Concombre bio;;1,50€ / pce;1,50;non
Fruits, légumes;Bio;Salade batavia bio;;1,00€ / pce;1,00;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Butternut bio;;2,49€ / pce;2,49;non
Fruits, légumes;Bio;Patates douces bio;500;6,98€ / kg;3,49;non
Fruits, légumes;Bio;Menthe bio;;7,60€ / kg;1,90;non
Fruits, légumes;Bio;TERR'LOIRE Pommes de terre entières cuites bio;500;5,46€ / kg;2,73;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;1,99€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;3,89€ / kg;3,89;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;4,38€ / kg;1,75;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Juliet bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,90€ / pce;3,90;non
Fruits, légumes;Bio;BONDUELLE Feuille de chêne bio;100;19,60€ / kg;1,96;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100;20,80€ / kg;2,08;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100;20,80€ / kg;2,08;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125;24,64€ / kg;3,08;non
Fruits, légumes;Bio;AUCHAN BIO Amandes en poudre;100;30,80€ / kg;3,08;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125;26,32€ / kg;3,29;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200;17,45€ / kg;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200;13,85€ / kg;2,77;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200;13,85€ / kg;2,77;non
Fruits, légumes;Bio;LES FADAS Mélange de fruits secs bio;145;26,07€ / kg;3,78;non
Fruits, légumes;Bio;AUCHAN BIO Cacahuétes grillées salées;150;8,87€ / kg;1,33;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175;8,17€ / kg;1,43;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus multifruits;;;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100;28,70€ / kg;2,87;non
Fruits, légumes;Bio;TERR'LOIRE Maïs doux cuit bio;400;7,58€ / kg;3,03;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pomme mangue et passion;;;3,08;non
Fruits, légumes;Fruit;Mangue;;1,90€ / pce;1,90;non
Fruits, légumes;Fruit;Oranges à jus;;1,50€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à déguster;;1,99€ / kg;1,99;non
Fruits, légumes;Fruit;Oranges à déguster;;1,50€ / kg;2,99;non
Fruits, légumes;Fruit;Oranges à jus;;0,73€ / kg;2,19;non
