categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;AUCHAN BIO Carottes filière responsable;;1,99€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Courgettes bio;;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Concombre bio;;1,50€ / pce;1,50;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Butternut bio;;2,49€ / pce;2,49;non
Fruits, légumes;Bio;Potimarron bio;;2,80€ / pce;2,80;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;4,38€ / kg;1,75;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Fruit;Bon plan du week-end;;0,40€ / pce;0,40;non
Fruits, légumes;Fruit;Oranges à déguster;;1,95€ / kg;3,90;non
Fruits, légumes;Fruit;Oranges à jus;;1,00€ / kg;1,99;non
Fruits, légumes;Fruit;Pomelo rose;;0,80€ / pce;0,80;non
Fruits, légumes;Fruit;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;Citrons verts;500;4,38€ / kg;2,19;non
Fruits, légumes;Fruit;AUCHAN BIO Citrons jaunes;400;4,38€ / kg;1,75;non
Fruits, légumes;Fruit;Myrtilles;125;15,92€ / kg;1,99;non
Fruits, légumes;Fruit;Kiwis jaunes;;1,00€ / pce;3,99;non
Fruits, légumes;Fruit;Ananas sweet;;1,75€ / pce;1,75;non
Fruits, légumes;Fruit;Kaki;;0,80€ / pce;0,80;non
Fruits, légumes;Fruit;Mangue;;1,99€ / pce;1,99;non
Fruits, légumes;Fruit;Fruit de la passion;;1,99€ / pce;1,99;non
Fruits, légumes;Fruit;AUCHAN RIK & ROK Raisins sans pépins;500;6,98€ / kg;3,49;non
Fruits, légumes;Fruit;AUCHAN Noisettes décortiquées;175;18,29€ / kg;3,20;non
Fruits, légumes;Fruit;AUCHAN GOURMET Amandes décortiquées;150;19,93€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN Cerneaux de noix;200;20,30€ / kg;4,06;non
Fruits, légumes;Fruit;AUCHAN Pruneaux d'Agen dénoyautés;500;8,54€ / kg;4,27;non
Fruits, légumes;Fruit;AUCHAN GOURMET Dattes deglet nour branchées;500;4,16€ / kg;2,08;non
Fruits, légumes;Fruit;WONDERFUL Wonderful pistaches grillées non salées 250g;250;19,96€ / kg;4,99;-60% sur le 2ème
Fruits, légumes;Légumes;AUCHAN Pommes de terre de consommation salade vapeur sautées;;1,40€ / kg;3,49;non
Fruits, légumes;Légumes;Chou blanc;;1,99€ / pce;1,99;non
Fruits, légumes;Légumes;Chou vert frisé;;2,99€ / pce;2,99;non
Fruits, légumes;Légumes;Chou-fleur;;1,79€ / pce;1,79;non
Fruits, légumes;Légumes;Radis roses;;1,50€ / pce;1,50;0,58€ de remise si 2 achetés
Fruits, légumes;Légumes;AUCHAN Tomates cerises rondes en grappes filière responsable;350;10,00€ / kg;3,50;non
Fruits, légumes;Légumes;Tomates cerises allongées;250;7,16€ / kg;1,79;non
Fruits, légumes;Légumes;Pommes de terre de consommation vapeur salade sautées;;1,08€ / kg;2,69;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre frites purée potage;;1,00€ / kg;2,49;non
Fruits, légumes;Légumes;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Légumes;Courgettes 1er prix;;1,29€ / kg;1,29;non
Fruits, légumes;Légumes;Courgettes bio;;2,99€ / kg;2,99;non
Fruits, légumes;Légumes;Poivrons tricolores rouge vert et jaune;500;2,58€ / kg;1,29;non
Fruits, légumes;Légumes;AUCHAN BIO Carottes filière responsable;;1,99€ / kg;1,99;non
Fruits, légumes;Légumes;AUCHAN Carottes;;0,83€ / kg;1,00;non
Fruits, légumes;Légumes;Mélange pour pot au feu : carotte, oignon, chou, poireau, céleri rave, navet et persil;;1,99€ / kg;1,99;non
Fruits, légumes;Légumes;Concombre;;1,99€ / pce;1,99;non
Fruits, légumes;Légumes;Concombre bio;;1,50€ / pce;1,50;non
Fruits, légumes;Légumes;Avocat prêt à déguster;;1,39€ / pce;1,39;non
Fruits, légumes;Légumes;FLORETTE Radis long;200;12,55€ / kg;2,51;non
Fruits, légumes;Légumes;Salade batavia filière responsable;;0,89€ / pce;0,89;non
Fruits, légumes;Légumes;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Légumes;Brocoli;500;3,58€ / kg;1,79;non
Fruits, légumes;Légumes;Butternut bio;;2,49€ / pce;2,49;non
Fruits, légumes;Légumes;Potimarron bio;;2,80€ / pce;2,80;non
Fruits, légumes;Prêt à consommer;Tomates cerises allongées;250;7,16€ / kg;1,79;non
Fruits, légumes;Prêt à consommer;AUCHAN Tomates cerises rondes en grappes filière responsable;350;10,00€ / kg;3,50;non
Fruits, légumes;Prêt à consommer;Chou-fleur;;1,79€ / pce;1,79;non
Fruits, légumes;Prêt à consommer;Concombre;;1,99€ / pce;1,99;non
Fruits, légumes;Prêt à consommer;Concombre bio;;1,50€ / pce;1,50;non
Fruits, légumes;Prêt à consommer;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Prêt à consommer;FLORETTE Salade mâche maxi sachet;200;13,00€ / kg;2,60;non
Fruits, légumes;Prêt à consommer;AUCHAN Roquette;125;13,44€ / kg;1,68;non
Fruits, légumes;Prêt à consommer;AUCHAN Cœur de laitue;200;7,50€ / kg;1,50;non
Fruits, légumes;Prêt à consommer;AUCHAN Auchan Jeunes pousses d'épinards 125g;125;14,48€ / kg;1,81;non
Fruits, légumes;Prêt à consommer;AUCHAN Mâche;125;10,72€ / kg;1,34;non
Fruits, légumes;Prêt à consommer;AUCHAN Cœur de laitue;320;6,66€ / kg;2,13;non
Fruits, légumes;Prêt à consommer;AUCHAN Mélange de jeunes pousses épinard et laitue;125;12,40€ / kg;1,55;non
Fruits, légumes;Prêt à consommer;AUCHAN Mélange gourmand de frisée mâche et chicorée rouge;200;6,70€ / kg;1,34;non
Fruits, légumes;Prêt à consommer;AUCHAN Laitue iceberg;300;3,93€ / kg;1,18;non
Fruits, légumes;Prêt à consommer;FLORETTE Cœur de laitue;200;9,95€ / kg;1,99;non
Fruits, légumes;Prêt à consommer;FERME D'ANCHIN Suprême d'asperge;;;4,32;non
Fruits, légumes;Prêt à consommer;FERME D'ANCHIN Suprême de tomate;;;4,32;non
Fruits, légumes;Prêt à consommer;FLORETTE Carottes rapées;250;6,48€ / kg;1,62;non
Fruits, légumes;Prêt à consommer;LUNOR Pommes de terre entières cuites;2x500;3,14€ / kg;3,14;non
Fruits, légumes;Prêt à consommer;LES CRUDETTES Baby carottes;200;10,20€ / kg;2,04;non
Fruits, légumes;Prêt à consommer;FLORETTE Radis long;200;12,55€ / kg;2,51;non
Fruits, légumes;Prêt à consommer;FLORETTE Plateau apéritif de crudités;600;9,75€ / kg;5,85;non
Epicerie sucrée;Cafe;STARBUCKS Capsules de café Colombie intensité 7 compatibles Nespresso;57;62,63€ / kg;3,57;non
Epicerie sucrée;Cafe;L'OR Capsules de café forza intensité 9 compatibles Nespresso maxi pack;208;55,00€ / kg;11,44;non
Epicerie sucrée;Cafe;L'OR Capsules de café lungo profondo intensité 8 compatibles Nespresso;104;63,37€ / kg;6,59;non
Epicerie sucrée;Cafe;L'OR Capsules de café ristretto intensité 11 compatibles Nespresso;208;54,95€ / kg;11,43;non
Epicerie sucrée;Cafe;L'OR Capsules de café décaféiné intensité 6 compatibles Nespresso;104;54,42€ / kg;5,66;-68% sur le 2ème
Epicerie sucrée;Cafe;L'OR ESPRESSO Capsules de café delizioso intensité 5 compatibles Nespresso;104;54,42€ / kg;5,66;-68% sur le 2ème
Epicerie sucrée;Cafe;L'OR Capsules de café splendente intensité 7 compatibles Nespresso;104;54,42€ / kg;5,66;-68% sur le 2ème
Epicerie sucrée;Cafe;TASSIMO Dosettes de café L'Or espresso café long classique;156;40,71€ / kg;6,35;non
Epicerie sucrée;Cafe;TASSIMO Dosettes de café L'Or espresso classique;104;44,70€ / kg;4,47;non
Epicerie sucrée;Cafe;DOLCE GUSTO Capsules de café Lungo Intensité 6 compatibles Dolce Gusto;195;38,62€ / kg;7,53;non
Epicerie sucrée;Cafe;DOLCE GUSTO Capsules de café Espresso intensité 5 compatibles Dolce Gusto;165;45,64€ / kg;7,53;non
Epicerie sucrée;Cafe;DOLCE GUSTO Capsules de café cappuccino compatibles Dolce Gusto;186;22,63€ / kg;4,21;non
Epicerie sucrée;Cafe;CARTE NOIRE Dosettes de café corsé compatibles Senseo;420;16,00€ / kg;6,72;non
Epicerie sucrée;Cafe;CARTE NOIRE Dosettes de café classique intensité 5 compatibles Senseo;420;15,93€ / kg;6,69;non
Epicerie sucrée;Cafe;SENSEO Dosettes de café corsé format familial;375;19,23€ / kg;7,21;non
Epicerie sucrée;Cafe;SENSEO Dosettes de café classique;375;19,23€ / kg;7,21;non
Epicerie sucrée;Cafe;CARTE NOIRE Café moulu pur arabica;3X250;15,72€ / kg;11,79;non
Epicerie sucrée;Cafe;AUCHAN BIO Café moulu du Guatemala intensité 8;250;14,76€ / kg;3,69;non
Epicerie sucrée;Cafe;MALONGO Café moulu des petits producteurs l'original;250;12,76€ / kg;3,19;non
Epicerie sucrée;Cafe;L'OR Absolu Café en grains grand cru;;11,19€ / kg;11,19;non
Epicerie sucrée;Cafe;CARTE NOIRE Café en grains pur arabica;;15,04€ / kg;15,04;non
Epicerie sucrée;Cafe;NATURELA Café en grains bio pur arabica intensité 7;;12,78€ / kg;12,78;non
Epicerie sucrée;Cafe;AUCHAN Auchan Filtres à café bruns non blanchis n°4 X80;;0,01€ / pce;0,96;non
Epicerie sucrée;Cafe;NESCAFE Café soluble cappuccino;280;14,25€ / kg;3,99;non
Epicerie sucrée;Cafe;NESCAFE L'original café soluble spécial filtre;200;30,75€ / kg;6,15;non
Epicerie sucrée;Cafe;NESTLE Café chicorée soluble Ricoré original;260;20,23€ / kg;5,26;non
Epicerie sucrée;Petit dej, boissons chaudes;HARRYS Pain de mie nature sans huile de palme sans croûte;650;3,11€ / kg;2,02;non
