categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates rondes en grappes bio;500;3,58€ / kg;1,79;non
Fruits, légumes;Bio;AUCHAN BIO Carottes filière responsable;;1,99€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,20€ / kg;5,49;non
Fruits, légumes;Bio;Courgettes bio;;4,99€ / kg;4,99;non
Fruits, légumes;Bio;Avocat bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Concombre bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Butternut bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;Potimarron bio;;3,19€ / pce;3,19;non
Fruits, légumes;Bio;Brocoli bio;500;6,98€ / kg;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;4,98€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;4,49€ / kg;4,49;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Fruit;Oranges à déguster;;1,95€ / kg;3,89;non
Fruits, légumes;Fruit;Oranges à jus;;0,98€ / kg;1,95;non
Fruits, légumes;Fruit;Pomelo rose;;0,75€ / pce;0,75;non
Fruits, légumes;Fruit;AUCHAN BIO Pommes bicolores;;4,49€ / kg;4,49;non
Fruits, légumes;Fruit;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;Kiwi;;0,40€ / pce;0,40;non
Fruits, légumes;Fruit;Clémentines avec feuilles;;2,66€ / kg;3,99;non
Fruits, légumes;Fruit;Citrons verts;500;5,58€ / kg;2,79;non
Fruits, légumes;Fruit;AUCHAN BIO Citrons jaunes;400;4,98€ / kg;1,99;non
Fruits, légumes;Fruit;Poires mûres à point;;1,00€ / pce;3,99;non
Fruits, légumes;Fruit;Framboises;125;27,12€ / kg;3,39;non
Fruits, légumes;Fruit;Bananes Fairtrade filière responsable;750;2,39€ / kg;1,79;non
Fruits, légumes;Fruit;Kiwis jaunes;;0,74€ / pce;2,95;non
Fruits, légumes;Fruit;Kiwi jaune;;0,79€ / pce;0,79;non
Fruits, légumes;Fruit;Ananas sweet;;2,99€ / pce;2,99;non
Fruits, légumes;Fruit;Kaki;;0,50€ / pce;0,50;non
Fruits, légumes;Fruit;Mangue;;2,49€ / pce;2,49;non
Fruits, légumes;Fruit;Fruit de la passion;;1,99€ / pce;1,99;non
Fruits, légumes;Fruit;AUCHAN RIK & ROK Raisins sans pépins;500;5,00€ / kg;2,50;non
Fruits, légumes;Fruit;AUCHAN Noisettes décortiquées;175;17,77€ / kg;3,11;non
Fruits, légumes;Fruit;AUCHAN GOURMET Amandes décortiquées;150;19,33€ / kg;2,90;non
Fruits, légumes;Fruit;AUCHAN Cerneaux de noix;200;19,70€ / kg;3,94;non
Fruits, légumes;Fruit;AUCHAN Pruneaux d'Agen dénoyautés;500;8,30€ / kg;4,15;non
Fruits, légumes;Fruit;AUCHAN GOURMET Dattes deglet nour branchées;500;4,04€ / kg;2,02;non
Fruits, légumes;Fruit;WONDERFUL Wonderful pistaches grillées non salées 250g;250;19,96€ / kg;4,99;-60% sur le 2ème
Fruits, légumes;Légumes;Chou rouge;;1,99€ / pce;1,99;non
Fruits, légumes;Légumes;Chou blanc;;1,99€ / pce;1,99;non
Fruits, légumes;Légumes;Chou vert frisé;;2,29€ / pce;2,29;non
Fruits, légumes;Légumes;Chou-fleur;;1,59€ / pce;1,59;non
Fruits, légumes;Légumes;Radis roses;;1,29€ / pce;1,29;0,58€ de remise si 2 achetés
Fruits, légumes;Légumes;AUCHAN Tomates cerises rondes en grappes filière responsable;350;12,83€ / kg;4,49;non
Fruits, légumes;Légumes;Tomates rondes en grappes bio;500;3,58€ / kg;1,79;non
Fruits, légumes;Légumes;Tomates cerises allongées;250;9,96€ / kg;2,49;non
Fruits, légumes;Légumes;Pommes de terre de consommation vapeur salade sautées;;1,20€ / kg;2,99;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre frites purée potage;;1,40€ / kg;3,49;non
Fruits, légumes;Légumes;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,20€ / kg;5,49;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre de consommation salade vapeur sautées;;0,60€ / kg;1,49;non
Fruits, légumes;Légumes;Courgettes 1er prix;;1,29€ / kg;1,29;non
Fruits, légumes;Légumes;Courgettes bio;;4,99€ / kg;4,99;non
Fruits, légumes;Légumes;Poivrons tricolores rouge vert et jaune;500;2,58€ / kg;1,29;non
Fruits, légumes;Légumes;AUCHAN BIO Carottes filière responsable;;1,99€ / kg;1,99;non
Fruits, légumes;Légumes;Choux de Bruxelles;750;3,05€ / kg;2,29;non
Fruits, légumes;Légumes;AUCHAN Carottes;;0,83€ / kg;1,00;non
Fruits, légumes;Légumes;Mélange pour pot au feu : carotte, oignon, chou, poireau, céleri rave, navet et persil;;2,49€ / kg;2,49;non
Fruits, légumes;Légumes;Concombre;;1,69€ / pce;1,69;non
Fruits, légumes;Légumes;Avocat bio;;1,59€ / pce;1,59;non
Fruits, légumes;Légumes;Concombre bio;;1,69€ / pce;1,69;non
Fruits, légumes;Légumes;Avocat prêt à déguster;;1,59€ / pce;1,59;non
Fruits, légumes;Légumes;FLORETTE Radis long;200;12,05€ / kg;2,41;non
Fruits, légumes;Légumes;Cœur de laitue;;0,33€ / pce;1,00;non
Fruits, légumes;Légumes;Salade batavia filière responsable;;0,99€ / pce;0,99;non
Fruits, légumes;Légumes;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Légumes;Brocoli;500;3,58€ / kg;1,79;non
Fruits, légumes;Légumes;Brocoli bio;500;6,98€ / kg;3,49;non
Fruits, légumes;Légumes;Butternut bio;;2,99€ / pce;2,99;non
Fruits, légumes;Légumes;Potimarron bio;;3,19€ / pce;3,19;non
Fruits, légumes;Prêt à consommer;Tomates cerises allongées;250;9,96€ / kg;2,49;non
Fruits, légumes;Prêt à consommer;AUCHAN Tomates cerises rondes en grappes filière responsable;350;12,83€ / kg;4,49;non
Fruits, légumes;Prêt à consommer;Chou-fleur;;1,59€ / pce;1,59;non
Fruits, légumes;Prêt à consommer;Concombre;;1,69€ / pce;1,69;non
Fruits, légumes;Prêt à consommer;Concombre bio;;1,69€ / pce;1,69;non
Fruits, légumes;Prêt à consommer;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Prêt à consommer;FLORETTE Salade mâche maxi sachet;200;12,50€ / kg;2,50;non
Fruits, légumes;Prêt à consommer;AUCHAN Roquette;125;13,04€ / kg;1,63;non
Fruits, légumes;Prêt à consommer;AUCHAN Cœur de laitue;200;7,30€ / kg;1,46;non
Fruits, légumes;Prêt à consommer;AUCHAN Auchan Jeunes pousses d'épinards 125g;125;14,08€ / kg;1,76;non
Fruits, légumes;Prêt à consommer;AUCHAN Mâche;125;10,40€ / kg;1,30;non
Fruits, légumes;Prêt à consommer;AUCHAN Cœur de laitue;320;6,47€ / kg;2,07;non
Fruits, légumes;Prêt à consommer;AUCHAN Mélange de jeunes pousses épinard et laitue;125;12,08€ / kg;1,51;non
Fruits, légumes;Prêt à consommer;AUCHAN Mélange gourmand de frisée mâche et chicorée rouge;200;6,50€ / kg;1,30;non
Fruits, légumes;Prêt à consommer;AUCHAN Laitue iceberg;300;3,80€ / kg;1,14;non
Fruits, légumes;Prêt à consommer;FLORETTE Cœur de laitue;200;9,45€ / kg;1,89;non
Fruits, légumes;Prêt à consommer;FERME D'ANCHIN Suprême d'asperge;;;4,16;non
Fruits, légumes;Prêt à consommer;FERME D'ANCHIN Suprême de tomate;;;4,16;non
Fruits, légumes;Prêt à consommer;FLORETTE Carottes rapées;250;6,08€ / kg;1,52;non
Fruits, légumes;Prêt à consommer;LUNOR Pommes de terre entières cuites;2x500;2,94€ / kg;2,94;non
Fruits, légumes;Prêt à consommer;LES CRUDETTES Baby carottes;200;9,70€ / kg;1,94;non
Fruits, légumes;Prêt à consommer;FLORETTE Radis long;200;12,05€ / kg;2,41;non
Fruits, légumes;Prêt à consommer;FLORETTE Plateau apéritif de crudités;600;9,42€ / kg;5,65;non
Epicerie sucrée;Cafe;STARBUCKS Capsules de café Colombie intensité 7 compatibles Nespresso;57;58,42€ / kg;3,33;non
Epicerie sucrée;Cafe;L'OR Capsules de café forza intensité 9 compatibles Nespresso maxi pack;208;53,56€ / kg;11,14;non
Epicerie sucrée;Cafe;L'OR Capsules de café lungo profondo intensité 8 compatibles Nespresso;104;61,83€ / kg;6,43;non
Epicerie sucrée;Cafe;L'OR Capsules de café ristretto intensité 11 compatibles Nespresso;208;53,51€ / kg;11,13;non
Epicerie sucrée;Cafe;L'OR Capsules de café décaféiné intensité 6 compatibles Nespresso;104;52,88€ / kg;5,50;-68% sur le 2ème
Epicerie sucrée;Cafe;L'OR ESPRESSO Capsules de café delizioso intensité 5 compatibles Nespresso;104;52,88€ / kg;5,50;-68% sur le 2ème
Epicerie sucrée;Cafe;L'OR Capsules de café splendente intensité 7 compatibles Nespresso;104;52,88€ / kg;5,50;-68% sur le 2ème
Epicerie sucrée;Cafe;TASSIMO Dosettes de café L'Or espresso café long classique;156;39,94€ / kg;6,23;non
Epicerie sucrée;Cafe;TASSIMO Dosettes de café L'Or espresso classique;104;43,10€ / kg;4,31;non
Epicerie sucrée;Cafe;DOLCE GUSTO Capsules de café Lungo Intensité 6 compatibles Dolce Gusto;195;38,62€ / kg;7,53;non
Epicerie sucrée;Cafe;DOLCE GUSTO Capsules de café Espresso intensité 5 compatibles Dolce Gusto;165;45,64€ / kg;7,53;non
Epicerie sucrée;Cafe;DOLCE GUSTO Capsules de café cappuccino compatibles Dolce Gusto;186;22,63€ / kg;4,21;non
Epicerie sucrée;Cafe;CARTE NOIRE Dosettes de café corsé compatibles Senseo;420;15,62€ / kg;6,56;non
Epicerie sucrée;Cafe;CARTE NOIRE Dosettes de café classique intensité 5 compatibles Senseo;420;15,55€ / kg;6,53;non
Epicerie sucrée;Cafe;SENSEO Dosettes de café corsé format familial;375;18,69€ / kg;7,01;non
Epicerie sucrée;Cafe;SENSEO Dosettes de café classique;375;18,69€ / kg;7,01;non
Epicerie sucrée;Cafe;CARTE NOIRE Café moulu pur arabica;3X250;15,37€ / kg;11,53;non
Epicerie sucrée;Cafe;AUCHAN BIO Café moulu du Guatemala intensité 8;250;14,36€ / kg;3,59;non
Epicerie sucrée;Cafe;MALONGO Café moulu des petits producteurs l'original;250;12,36€ / kg;3,09;non
Epicerie sucrée;Cafe;L'OR Absolu Café en grains grand cru;;10,86€ / kg;10,86;non
Epicerie sucrée;Cafe;CARTE NOIRE Café en grains pur arabica;;14,68€ / kg;14,68;non
Epicerie sucrée;Cafe;NATURELA Café en grains bio pur arabica intensité 7;;12,44€ / kg;12,44;non
Epicerie sucrée;Cafe;AUCHAN Auchan Filtres à café bruns non blanchis n°4 X80;;0,01€ / pce;0,94;non
Epicerie sucrée;Cafe;NESCAFE Café soluble cappuccino;280;14,11€ / kg;3,95;non
Epicerie sucrée;Cafe;NESCAFE L'original café soluble spécial filtre;200;30,25€ / kg;6,05;non
Epicerie sucrée;Cafe;NESTLE Café chicorée soluble Ricoré original;260;19,85€ / kg;5,16;non
Epicerie sucrée;Petit dej, boissons chaudes;HARRYS Pain de mie nature sans huile de palme sans croûte;650;3,02€ / kg;1,96;non
Epicerie sucrée;Petit dej, boissons chaudes;HARRYS Pain de mie nature sans sucre ajouté sans huile de palme avec croûte;500;2,54€ / kg;1,27;non
Epicerie sucrée;Petit dej, boissons chaudes;JACQUET Pain de mie complet sans sucres ajoutés;550;3,04€ / kg;1,67;non
Epicerie sucrée;Petit dej, boissons chaudes;HARRYS Pain de mie céréales et graines sans huile de palme;320;5,88€ / kg;1,88;non
Epicerie sucrée;Petit dej, boissons chaudes;AUCHAN MMM! Pain de mie aux graines et céréales;500;4,14€ / kg;2,07;non
Epicerie sucrée;Petit dej, boissons chaudes;AUCHAN Pain de mie spécial sandwich aux 7 céréales 14 tranches;550;1,95€ / kg;1,07;non
Epicerie sucrée;Petit dej, boissons chaudes;AUCHAN Pain de mie sans huile de palme sans croûte;500;2,68€ / kg;1,34;non
Epicerie sucrée;Petit dej, boissons chaudes;AUCHAN Pain de mie complet sans huile de palme sans croûte;500;2,72€ / kg;1,36;non
Epicerie sucrée;Petit dej, boissons chaudes;HARRYS Pain de mie complet;500;3,18€ / kg;1,59;non
Epicerie sucrée;Petit dej, boissons chaudes;HARRYS Pain de mie nature sans huile de palme sans croûte;500;3,18€ / kg;1,59;non
Epicerie sucrée;Petit dej, boissons chaudes;AUCHAN Petits pains précuits;300;2,97€ / kg;0,89;non
Epicerie sucrée;Petit dej, boissons chaudes;AUCHAN Minis baguettes précuites;2x150;1,90€ / kg;0,57;non
Epicerie sucrée;Petit dej, boissons chaudes;LA BOULANGERE Pain de mie complet bio grandes tranches;500;4,02€ / kg;2,01;non
Epicerie sucrée;Petit dej, boissons chaudes;NESQUIK Chocolat en poudre sans arôme artificiel;500;5,34€ / kg;2,67;non
Epicerie sucrée;Petit dej, boissons chaudes;POULAIN Grand arôme chocolat en poudre 32% cacao;800;3,91€ / kg;3,13;non
Epicerie sucrée;Petit dej, boissons chaudes;LIPTON Thé vert fresh menthe intense;34;48,53€ / kg;1,65;non
Epicerie sucrée;Petit dej, boissons chaudes;TWININGS Original earl grey thé aromatisé bergamote;50;42,00€ / kg;2,10;non
Epicerie sucrée;Petit dej, boissons chaudes;CLIPPER Thé bio fabulous thé vert citron;35;78,29€ / kg;2,74;non
Epicerie sucrée;Petit dej, boissons chaudes;ELEPHANT Infusion bio verveine et menthe;30;108,46€ / kg;2,82;non
Epicerie sucrée;Petit dej, boissons chaudes;NOCCIOLATA Pâte à tartiner bio au cacao et noisettes sans huile de palme;700;11,10€ / kg;7,77;non
Epicerie sucrée;Petit dej, boissons chaudes;NUTELLA Pâte à tartiner aux noisettes;350;7,97€ / kg;2,79;non
Epicerie sucrée;Petit dej, boissons chaudes;ETHIQUABLE Beurre de cacahuète du Nicaragua;350;10,94€ / kg;3,83;non
Epicerie sucrée;Petit dej, boissons chaudes;AUCHAN Pasta cao Pâte à tartiner cacao et noisettes sans huile de palme;750;4,09€ / kg;3,07;non
Epicerie sucrée;Petit dej, boissons chaudes;NUTELLA Pâte à tartiner aux noisettes;750;6,12€ / kg;4,59;non
Epicerie sucrée;Petit dej, boissons chaudes;FAUGIER Crème de marrons;250;7,76€ / kg;1,94;non
Epicerie sucrée;Petit dej, boissons chaudes;L'APICULTEUR Miel de fleurs de montagne crémeux et onctueux;500;12,78€ / kg;6,39;non
