categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Radis rouges bio;250g;4,60€ / kg;1,15;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;5,78€ / kg;2,89;non
Fruits, légumes;Bio;Tomates allongées bio;500g;5,58€ / kg;2,79;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,79€ / kg;2,69;non
Fruits, légumes;Bio;Poireaux bio;750g;3,99€ / kg;2,99;non
Fruits, légumes;Bio;Navets bio;500g;5,18€ / kg;2,59;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;1,5kg;1,73€ / kg;2,59;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Courgettes bio;1kg;5,29€ / kg;5,29;non
Fruits, légumes;Bio;Courgette bio;;6,45€ / kg;1,29;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,30€ / pce;2,59;non
Fruits, légumes;Bio;Aubergines bio;500g;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Avocat bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Concombre bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Oignons rouges bio;500g;5,58€ / kg;2,79;non
Fruits, légumes;Bio;AUCHAN Oignons bio;1kg;2,79€ / kg;2,79;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110g;35,36€ / pce;3,89;non
Fruits, légumes;Bio;Echalotes bio;250g;7,96€ / kg;1,99;non
Fruits, légumes;Bio;Ail bio pièce;;0,65€ / pce;0,65;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500g;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Endives bio;;7,48€ / kg;2,99;non
Fruits, légumes;Bio;Butternut bio;;3,59€ / pce;3,59;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200g;9,45€ / kg;1,89;non
Fruits, légumes;Bio;Champignons bruns bio;200g;9,45€ / kg;1,89;non
Fruits, légumes;Bio;Brocoli bio;500g;5,18€ / kg;2,59;non
Fruits, légumes;Bio;Patates douces bio;500g;5,78€ / kg;2,89;non
Fruits, légumes;Bio;Gingembre bio;150g;8,60€ / kg;1,29;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;1kg;2,29€ / kg;2,29;non
Fruits, légumes;Bio;Orange bio à déguster;;3,25€ / kg;0,65;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;1kg;4,29€ / kg;4,29;non
Fruits, légumes;Bio;Mandarine bio pièce;;4,55€ / kg;0,50;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400g;2,98€ / kg;1,19;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;Citron jaune bio;;5,60€ / kg;0,70;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Juliet bio;1kg;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Pommes Golden bio;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Reinette du Canada bio;;0,87€ / pce;3,49;non
Fruits, légumes;Bio;Pomme Golden bio;;0,75€ / pce;0,75;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;1kg;4,29€ / kg;4,29;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,58€ / pce;3,49;non
Fruits, légumes;Bio;Pomme bicolore bio;;0,75€ / pce;0,75;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,89€ / pce;3,89;non
Fruits, légumes;Bio;Kiwi bio;;0,69€ / pce;0,69;non
Fruits, légumes;Bio;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Bio;Fraises bio;250g;8,36€ / kg;2,09;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500g;8,58€ / kg;4,29;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100g;20,20€ / kg;2,02;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100g;20,20€ / kg;2,02;non
Fruits, légumes;Bio;BONDUELLE Feuille de chêne bio;100g;19,10€ / kg;1,91;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100g;27,90€ / kg;2,79;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125g;23,92€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150g;23,93€ / kg;3,59;non
