categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates rondes en grappes bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Tomates allongées bio;500;4,98€ / kg;2,49;non
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;3,45€ / kg;2,59;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Poireaux bio;750;4,65€ / kg;3,49;non
Fruits, légumes;Bio;Navets bio;500;4,98€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,28€ / kg;5,69;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;1,73€ / kg;2,59;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Courgettes bio;;4,49€ / kg;4,49;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;Aubergines bio;500;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110;14,45€ / pce;1,59;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;2,69€ / kg;2,69;non
Fruits, légumes;Bio;Echalotes bio;250;9,96€ / kg;2,49;non
Fruits, légumes;Bio;Oignons rouges bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Ail bio pièce;;0,65€ / pce;0,65;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Endives bio;;8,73€ / kg;3,49;non
Fruits, légumes;Bio;Salade batavia bio;;1,29€ / pce;1,29;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200;10,95€ / kg;2,19;non
Fruits, légumes;Bio;AUCHAN BIO Champignons bruns;200;8,95€ / kg;1,79;non
Fruits, légumes;Bio;Patates douces bio;500;5,38€ / kg;2,69;non
Fruits, légumes;Bio;Gingembre bio;150;8,60€ / kg;1,29;non
Fruits, légumes;Bio;Persil frisé bio;;7,96€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;2,29€ / kg;2,29;non
Fruits, légumes;Bio;Orange bio à déguster;;3,25€ / kg;0,65;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Mandarine bio pièce;;4,55€ / kg;0,50;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;2,98€ / kg;1,19;non
Fruits, légumes;Bio;Citron jaune bio;;5,60€ / kg;0,70;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
