categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates allongées bio;500;4,58€ / kg;2,29;non
Fruits, légumes;Bio;Tomates cerises allongées bio;250;7,00€ / kg;1,75;non
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;3,45€ / kg;2,59;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500;5,58€ / kg;2,79;non
Fruits, légumes;Bio;Poireaux bio;750;3,99€ / kg;2,99;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,59€ / kg;2,39;non
Fruits, légumes;Bio;Navets bio;500;5,38€ / kg;2,69;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Courgettes bio;;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Courgette bio;;4,95€ / kg;0,99;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,30€ / pce;2,59;non
Fruits, légumes;Bio;Radis rouges bio;250;3,96€ / kg;0,99;non
Fruits, légumes;Bio;Avocat bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Concombre bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Oignons rouges bio;500;4,78€ / kg;2,39;non
Fruits, légumes;Bio;Echalotes bio;250;7,96€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110;35,36€ / pce;3,89;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Ail bio pièce;;0,90€ / pce;0,90;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Salade batavia bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;Endives bio;;6,98€ / kg;2,79;non
Fruits, légumes;Bio;Butternut bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200;9,45€ / kg;1,89;non
Fruits, légumes;Bio;Champignons bruns bio;200;9,45€ / kg;1,89;non
Fruits, légumes;Bio;Brocoli bio;500;4,98€ / kg;2,49;non
Fruits, légumes;Bio;Gingembre bio;150;9,27€ / kg;1,39;non
Fruits, légumes;Bio;Patates douces bio;500;3,98€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;1,99€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;4,49€ / kg;4,49;non
Fruits, légumes;Bio;Mandarine bio pièce;;4,55€ / kg;0,50;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;4,73€ / kg;1,89;non
Fruits, légumes;Bio;Citrons verts bio;;7,78€ / kg;3,89;non
Fruits, légumes;Bio;Citron jaune bio;;5,60€ / kg;0,70;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Pomme Golden bio;;0,75€ / pce;0,75;non
Fruits, légumes;Bio;Pommes Golden bio;;4,29€ / kg;4,29;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;4,29€ / kg;4,29;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pomme bicolore bio;;0,75€ / pce;0,75;non
Fruits, légumes;Bio;Pommes Juliet bio;;3,49€ / pce;3,49;non
Fruits, légumes;Bio;Pommes Reinette du Canada bio;;0,87€ / pce;3,49;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,42€ / pce;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,79€ / pce;3,79;non
Fruits, légumes;Bio;Kiwi bio;;0,99€ / pce;0,99;non
Fruits, légumes;Bio;Bananes bio;;0,30€ / pce;1,49;non
Fruits, légumes;Bio;Fraises bio;250;11,56€ / kg;2,89;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500;8,58€ / kg;4,29;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100;21,40€ / kg;2,14;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100;21,40€ / kg;2,14;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150;25,40€ / kg;3,81;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125;25,36€ / kg;3,17;non
Fruits, légumes;Bio;AUCHAN BIO Mix fruits secs amandes cranberries raisin;150;23,27€ / kg;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100;29,60€ / kg;2,96;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125;27,04€ / kg;3,38;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200;17,95€ / kg;3,59;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200;14,25€ / kg;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200;14,25€ / kg;2,85;non
Fruits, légumes;Bio;LES FADAS Mélange de fruits secs bio;145;28,14€ / kg;4,08;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175;8,40€ / kg;1,47;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus multifruits;;;2,99;non
Fruits, légumes;Bio;Orange bio à déguster;;3,25€ / kg;0,65;non
Fruits, légumes;Bio;Aubergines bio;500;3,98€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;2,29€ / kg;2,29;non
Fruits, légumes;Bio;BONDUELLE Feuille de chêne bio;100;21,50€ / kg;2,15;non
Fruits, légumes;Fruit;Oranges à déguster;;1,33€ / kg;3,99;non
Fruits, légumes;Fruit;Oranges à déguster;;1,65€ / kg;3,29;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à déguster;;1,99€ / kg;1,99;non
Fruits, légumes;Fruit;Oranges à jus;;0,76€ / kg;2,29;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à jus;;2,33€ / kg;3,49;non
Fruits, légumes;Fruit;Orange à déguster;;0,50€ / pce;0,50;non
Fruits, légumes;Fruit;AUCHAN BIO Pomelo rose filière responsable;;1,69€ / pce;1,69;non
Fruits, légumes;Fruit;Pomelo rose;;1,19€ / pce;1,19;non
