categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Radis rouges bio;250;4,60€ / kg;1,15;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500;5,38€ / kg;2,69;non
Fruits, légumes;Bio;Tomates cerises allongées bio;250;6,76€ / kg;1,69;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Navets bio;500;5,38€ / kg;2,69;non
Fruits, légumes;Bio;Poireaux bio;750;3,32€ / kg;2,49;non
Fruits, légumes;Bio;Chou fleur bio;;2,49€ / pce;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Courgettes bio;;3,69€ / kg;3,69;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,20€ / pce;2,39;non
Fruits, légumes;Bio;Aubergines bio;500;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Concombre bio;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Avocat bio;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110;33,55€ / pce;3,69;non
Fruits, légumes;Bio;Oignons rouges bio;500;5,38€ / kg;2,69;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;2,69€ / kg;2,69;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Echalotes bio;250;7,96€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Endives bio;;8,73€ / kg;3,49;non
Fruits, légumes;Bio;Salade batavia bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Butternut bio;;2,29€ / pce;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Champignons bruns;200;9,95€ / kg;1,99;non
Fruits, légumes;Bio;Brocoli bio;500;4,38€ / kg;2,19;non
Fruits, légumes;Bio;Asperges vertes bio;400;16,23€ / pce;6,49;non
Fruits, légumes;Bio;Patates douces bio;500;5,58€ / kg;2,79;non
Fruits, légumes;Bio;Gingembre bio;150;8,60€ / kg;1,29;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;4,19€ / kg;4,19;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;2,98€ / kg;1,19;non
Fruits, légumes;Bio;Citrons verts bio;;6,98€ / kg;3,49;non
Fruits, légumes;Bio;Pommes Juliet bio;;3,69€ / pce;3,69;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Golden bio;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,42€ / pce;2,49;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;;2,49€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,49€ / pce;3,49;non
Fruits, légumes;Bio;Kiwi bio;;0,59€ / pce;0,59;non
Fruits, légumes;Bio;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Bio;Fraises bio;250;7,96€ / kg;1,99;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100;21,00€ / kg;2,10;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100;21,00€ / kg;2,10;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100;27,90€ / kg;2,79;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125;24,88€ / kg;3,11;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125;25,52€ / kg;3,19;non
