categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;6,58€ / kg;3,29;non
Fruits, légumes;Bio;Tomates allongées bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;3,05€ / kg;2,29;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Poireaux bio;750g;4,65€ / kg;3,49;non
Fruits, légumes;Bio;Chou fleur bio;;3,49€ / pce;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;1,5kg;1,33€ / kg;1,99;non
Fruits, légumes;Bio;Courgettes bio;1kg;4,99€ / kg;4,99;non
Fruits, légumes;Bio;Courgette bio;;6,45€ / kg;1,29;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,50€ / pce;2,99;non
Fruits, légumes;Bio;Aubergines bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Avocat bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Concombre bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Radis rouges bio;250g;6,00€ / kg;1,50;non
Fruits, légumes;Bio;Oignons rouges bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110g;27,18€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN Oignons bio;1kg;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Echalotes bio;250g;9,96€ / kg;2,49;non
Fruits, légumes;Bio;Ail bio pièce;;0,65€ / pce;0,65;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500g;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Endives bio;;9,98€ / kg;3,99;non
Fruits, légumes;Bio;Salade batavia bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;Champignons bruns bio;200g;12,45€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200g;12,45€ / kg;2,49;non
Fruits, légumes;Bio;Brocoli bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Patates douces bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Gingembre bio;150g;9,93€ / kg;1,49;non
Fruits, légumes;Bio;Persil frisé bio;;5,96€ / kg;1,49;non
Fruits, légumes;Bio;Ciboulette bio;;5,96€ / kg;1,49;non
Fruits, légumes;Bio;Menthe bio;;5,96€ / kg;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;1kg;2,49€ / kg;2,49;non
Fruits, légumes;Bio;Orange bio à déguster;;3,25€ / kg;0,65;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400g;4,23€ / kg;1,69;non
Fruits, légumes;Bio;Citron jaune bio;;5,60€ / kg;0,70;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,50€ / pce;1,50;non
Fruits, légumes;Bio;Pommes Juliet bio;1kg;3,99€ / pce;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Reinette du Canada bio;;0,50€ / pce;1,99;non
Fruits, légumes;Bio;Pommes Golden bio;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,58€ / pce;3,49;non
Fruits, légumes;Bio;Pomme Golden bio;;0,75€ / pce;0,75;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Kiwi bio;;0,99€ / pce;0,99;non
Fruits, légumes;Bio;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500g;9,98€ / kg;4,99;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100g;19,90€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100g;21,00€ / kg;2,10;non
Fruits, légumes;Bio;BONDUELLE Feuille de chêne bio;100g;20,50€ / kg;2,05;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125g;24,88€ / kg;3,11;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100g;29,00€ / kg;2,90;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125g;26,56€ / kg;3,32;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150g;24,87€ / kg;3,73;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200g;17,65€ / kg;3,53;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200g;14,00€ / kg;2,80;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200g;14,00€ / kg;2,80;non
Fruits, légumes;Bio;LES FADAS Mélange de fruits secs bio;145g;20,28€ / kg;2,94;non
Fruits, légumes;Bio;LES FADAS Mélange de fruits secs et fruits séchés bio;145g;27,03€ / kg;3,92;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175g;8,29€ / kg;1,45;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus multifruits;;;2,99;non
Fruits, légumes;Bio;Mandarine bio pièce;;4,55€ / kg;0,50;non
Fruits, légumes;Bio;Pomme bicolore bio;;0,75€ / pce;0,75;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;Butternut bio;;3,29€ / pce;3,29;non
Fruits, légumes;Bio;Asperges vertes bio;400g;24,98€ / pce;9,99;non
Fruits, légumes;Bio;Navets bio;500g;6,98€ / kg;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pomme mangue et passion;;;3,11;non
Fruits, légumes;Bio;A retirer dans la journée;;5,00€ / pce;5,00;non
Fruits, légumes;Fruit;Oranges à jus;3kg;1,50€ / kg;4,49;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à déguster;1kg;2,49€ / kg;2,49;non
Fruits, légumes;Fruit;Oranges à déguster;2kg;1,50€ / kg;2,99;non
Fruits, légumes;Fruit;Oranges à jus;2kg;1,90€ / kg;3,79;non
Fruits, légumes;Fruit;Oranges à déguster;3kg;1,50€ / kg;4,49;non
Fruits, légumes;Fruit;Oranges à déguster non traitées après récolte;;0,70€ / pce;2,79;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à jus;1,5kg;1,79€ / kg;2,69;non
Fruits, légumes;Fruit;Orange bio à déguster;;3,25€ / kg;0,65;non
Fruits, légumes;Fruit;Orange à déguster;;0,50€ / pce;0,50;non
Fruits, légumes;Fruit;Pomelo rose;;0,99€ / pce;0,99;non
Fruits, légumes;Fruit;AUCHAN BIO Pomelo rose filière responsable;;1,50€ / pce;1,50;non
Fruits, légumes;Fruit;Pommes Pink Lady (Cripps Pink);;0,67€ / pce;3,99;non
Fruits, légumes;Fruit;Pommes Pinkids (Cripps Pink);;0,44€ / pce;3,49;non
Fruits, légumes;Fruit;Pommes Juliet bio;1kg;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;Pommes Granny;;0,47€ / pce;2,79;non
Fruits, légumes;Fruit;AUCHAN BIO Pommes bicolores;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes bicolores;2kg;1,50€ / kg;2,99;non
