categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates allongées bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Chou fleur bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;Poireaux bio;750;3,99€ / kg;2,99;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;1,73€ / kg;2,59;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Courgettes bio;;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,50€ / pce;2,99;non
Fruits, légumes;Bio;Aubergines bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Radis rouges bio;250;6,00€ / kg;1,50;non
Fruits, légumes;Bio;Avocat bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;Concombre bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110;18,09€ / pce;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,50€ / kg;1,25;non
Fruits, légumes;Bio;Endives bio;;9,98€ / kg;3,99;non
Fruits, légumes;Bio;Butternut bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Champignons bruns;200;12,45€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200;12,45€ / kg;2,49;non
Fruits, légumes;Bio;Brocoli bio;500;4,98€ / kg;2,49;non
Fruits, légumes;Bio;Asperges vertes bio;400;19,98€ / pce;7,99;non
Fruits, légumes;Bio;Patates douces bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Persil frisé bio;;7,96€ / kg;1,99;non
Fruits, légumes;Bio;TERR'LOIRE Pommes de terre entières cuites bio;500;6,10€ / kg;3,05;non
Fruits, légumes;Bio;TERR'LOIRE Maïs doux cuit bio;400;8,63€ / kg;3,45;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;4,99€ / kg;4,99;non
Fruits, légumes;Bio;Mandarine bio pièce;;4,55€ / kg;0,50;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;4,98€ / kg;1,99;non
Fruits, légumes;Bio;Pomme Golden bio;;0,75€ / pce;0,75;non
Fruits, légumes;Bio;Pommes Golden bio;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Juliet bio;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100;21,50€ / kg;2,15;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100;21,50€ / kg;2,15;non
Fruits, légumes;Bio;BONDUELLE Feuille de chêne bio;100;19,90€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150;25,27€ / kg;3,79;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125;25,20€ / kg;3,15;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100;29,90€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Amandes en poudre;100;32,50€ / kg;3,25;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125;27,92€ / kg;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200;17,75€ / kg;3,55;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200;14,25€ / kg;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200;14,25€ / kg;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175;8,29€ / kg;1,45;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,39;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pomme mangue et passion;;;3,15;non
