categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Carottes bio filière responsable;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;1,00€ / kg;2,49;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Courgettes bio;1kg;4,99€ / kg;4,99;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;Aubergines bio;500g;6,58€ / kg;3,29;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110g;20,82€ / pce;2,29;non
Fruits, légumes;Bio;Oignons rouges bio;500g;5,38€ / kg;2,69;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;AUCHAN Oignons bio;1kg;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Echalotes bio;250g;11,96€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500g;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Endives bio;;9,98€ / kg;3,99;non
Fruits, légumes;Bio;Salade batavia bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;Butternut bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200g;9,95€ / kg;1,99;non
Fruits, légumes;Bio;Champignons bruns bio;200g;9,95€ / kg;1,99;non
Fruits, légumes;Bio;Patates douces bio;500g;4,58€ / kg;2,29;non
Fruits, légumes;Bio;Gingembre bio;150g;8,60€ / kg;1,29;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;1kg;1,99€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400g;4,98€ / kg;1,99;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Pommes Golden bio régionales d'aquitaine;1kg;3,79€ / kg;3,79;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,49€ / pce;3,49;non
Fruits, légumes;Bio;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500g;9,98€ / kg;4,99;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100g;19,90€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100g;28,50€ / kg;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150g;24,87€ / kg;3,73;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125g;26,00€ / kg;3,25;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200g;17,30€ / kg;3,46;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200g;13,70€ / kg;2,74;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175g;8,11€ / kg;1,42;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus multifruits;;;2,99;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,63€ / pce;3,79;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;1,5kg;1,73€ / kg;2,59;non
Fruits, légumes;Bio;Avocat bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Concombre bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pomme mangue et passion;;;3,05;non
