categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Radis rouges bio;250g;4,60€ / kg;1,15;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Tomates allongées bio;500g;5,58€ / kg;2,79;non
Fruits, légumes;Bio;Poireaux bio;750g;3,99€ / kg;2,99;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,86€ / kg;2,79;non
Fruits, légumes;Bio;Chou fleur bio;;3,29€ / pce;3,29;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Courgettes bio;;5,49€ / kg;5,49;non
Fruits, légumes;Bio;Poivrons rouges bio;;1,30€ / pce;2,59;non
Fruits, légumes;Bio;Avocat bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;Concombre bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110g;36,27€ / pce;3,99;non
Fruits, légumes;Bio;Oignons rouges bio;500g;5,38€ / kg;2,69;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;2,49€ / kg;2,49;non
Fruits, légumes;Bio;Salade feuille de chêne verte bio;;1,29€ / pce;1,29;non
Fruits, légumes;Bio;Endives bio;;7,48€ / kg;2,99;non
Fruits, légumes;Bio;Butternut bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;Asperges violettes bio;400g;15,98€ / kg;7,99;non
Fruits, légumes;Bio;Gingembre bio;150g;9,27€ / kg;1,39;non
Fruits, légumes;Bio;Patates douces bio;500g;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Ciboulette bio;;7,56€ / kg;1,89;non
Fruits, légumes;Bio;Persil frisé bio;;7,56€ / kg;1,89;non
Fruits, légumes;Bio;Menthe bio;;7,56€ / kg;1,89;non
Fruits, légumes;Bio;TERR'LOIRE Maïs doux cuit bio;400g;7,03€ / kg;2,81;non
Fruits, légumes;Bio;TERR'LOIRE Pommes de terre entières cuites bio;500g;4,98€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;2,29€ / kg;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;4,49€ / kg;4,49;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400g;2,98€ / kg;1,19;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Pommes Juliet bio;;4,29€ / pce;4,29;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;4,49€ / kg;4,49;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,89€ / pce;3,89;non
Fruits, légumes;Bio;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Bio;Fraises bio;250g;7,96€ / kg;1,99;non
Fruits, légumes;Bio;Framboises bio;125g;31,92€ / kg;3,99;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500g;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100g;20,20€ / kg;2,02;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100g;20,20€ / kg;2,02;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100g;29,00€ / kg;2,90;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125g;26,00€ / kg;3,25;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150g;23,93€ / kg;3,59;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200g;16,95€ / kg;3,39;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200g;13,45€ / kg;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200g;13,70€ / kg;2,74;non
Fruits, légumes;Bio;AUCHAN BIO Cacahuétes grillées salées;150g;8,60€ / kg;1,29;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
