categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Radis rouges bio;250g;4,60€ / kg;1,15;non
Fruits, légumes;Bio;Tomates cerises allongées bio;250g;7,00€ / kg;1,75;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;5,38€ / kg;2,69;non
Fruits, légumes;Bio;Tomates allongées bio;500g;5,38€ / kg;2,69;non
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;3,45€ / kg;2,59;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,79€ / kg;2,69;non
Fruits, légumes;Bio;Poireaux bio;750g;4,79€ / kg;3,59;non
Fruits, légumes;Bio;Chou fleur bio;;2,79€ / pce;2,79;non
Fruits, légumes;Bio;Navets bio;500g;3,00€ / kg;1,50;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;1,5kg;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Courgettes bio;1kg;4,99€ / kg;4,99;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;Aubergines bio;500g;4,58€ / kg;2,29;non
Fruits, légumes;Bio;Concombre bio;;1,89€ / pce;1,89;non
Fruits, légumes;Bio;Avocat bio;;1,59€ / pce;1,59;non
Fruits, légumes;Bio;AUCHAN Oignons bio;1kg;2,79€ / kg;2,79;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Echalotes bio;250g;7,96€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110g;35,36€ / pce;3,89;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500g;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Endives bio;;7,48€ / kg;2,99;non
Fruits, légumes;Bio;Salade batavia bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;Butternut bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200g;9,95€ / kg;1,99;non
Fruits, légumes;Bio;Champignons bruns bio;200g;9,95€ / kg;1,99;non
Fruits, légumes;Bio;Brocoli bio;500g;4,98€ / kg;2,49;non
Fruits, légumes;Bio;Asperges vertes bio;400g;22,48€ / pce;8,99;non
Fruits, légumes;Bio;Patates douces bio;500g;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Gingembre bio;150g;6,67€ / kg;1,00;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;1kg;2,19€ / kg;2,19;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;1kg;3,49€ / kg;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400g;2,98€ / kg;1,19;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,29€ / pce;1,29;non
Fruits, légumes;Bio;Pommes Juliet bio;1kg;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Golden bio;1kg;4,29€ / kg;4,29;non
Fruits, légumes;Bio;Pommes Reinette du Canada bio;;0,82€ / pce;3,29;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,42€ / pce;2,49;non
Fruits, légumes;Bio;Pommes Granny bio;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,69€ / pce;3,69;non
Fruits, légumes;Bio;Kiwi bio;;0,99€ / pce;0,99;non
Fruits, légumes;Bio;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Bio;Fraises bio;250g;9,96€ / kg;2,49;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500g;9,18€ / kg;4,59;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100g;20,20€ / kg;2,02;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100g;20,20€ / kg;2,02;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100g;28,50€ / kg;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125g;26,00€ / kg;3,25;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150g;24,40€ / kg;3,66;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125g;24,40€ / kg;3,05;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200g;13,70€ / kg;2,74;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200g;17,30€ / kg;3,46;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200g;13,70€ / kg;2,74;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175g;8,11€ / kg;1,42;non
Fruits, légumes;Bio;JUSTE BIO Plaisir nature amandes décortiquées;100g;30,00€ / kg;3,00;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Fruit;Pommes bicolores;2kg;1,35€ / kg;2,69;non
Fruits, légumes;Fruit;Bon plan du week-end;;0,49€ / pce;0,49;non
Fruits, légumes;Fruit;Oranges à déguster;3kg;0,80€ / kg;2,39;non
Fruits, légumes;Fruit;Oranges à jus;3kg;1,50€ / kg;4,49;non
Fruits, légumes;Fruit;Oranges à jus;2kg;1,75€ / kg;3,49;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à déguster;1kg;2,19€ / kg;2,19;non
Fruits, légumes;Fruit;Oranges à déguster;2kg;1,75€ / kg;3,49;non
Fruits, légumes;Fruit;Oranges à déguster non traitées après récolte;;0,75€ / pce;2,99;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à jus;1,5kg;2,33€ / kg;3,49;non
Fruits, légumes;Fruit;Orange à déguster;;0,50€ / pce;0,50;non
Fruits, légumes;Fruit;Pomelo rose;;0,99€ / pce;0,99;non
Fruits, légumes;Fruit;AUCHAN BIO Pomelo rose filière responsable;;1,29€ / pce;1,29;non
Fruits, légumes;Fruit;Pommes Golden filière responsable;;2,99€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Pinkids (Cripps Pink);;0,47€ / pce;3,79;non
Fruits, légumes;Fruit;Pommes Pink Lady (Cripps Pink);;0,55€ / pce;3,29;non
Fruits, légumes;Fruit;Pommes Granny;;0,47€ / pce;2,79;non
Fruits, légumes;Fruit;Pommes Golden 1er prix;2kg;1,15€ / kg;2,29;non
Fruits, légumes;Fruit;Pommes Gala;;0,43€ / pce;2,59;non
Fruits, légumes;Fruit;Pommes Juliet bio;1kg;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;Pommes rustiques bio filière responsable;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pomme Pink Lady (Cripps Pink);;0,65€ / pce;0,65;non
Fruits, légumes;Fruit;Pommes Jazz;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Golden bio;1kg;4,29€ / kg;4,29;non
Fruits, légumes;Fruit;Pommes Reinette du Canada bio;;0,82€ / pce;3,29;non
Fruits, légumes;Fruit;AUCHAN BIO Pommes bicolores;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Swing bio filière responsable;;0,42€ / pce;2,49;non
Fruits, légumes;Fruit;Pommes bicolores bio;1,5kg;1,66€ / kg;2,49;non
Fruits, légumes;Fruit;AUCHAN BIO Kiwis;;3,69€ / pce;3,69;non
Fruits, légumes;Fruit;Kiwis prêts à déguster;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Kiwi bio;;0,99€ / pce;0,99;non
Fruits, légumes;Fruit;Kiwis 1er prix;1kg;3,79€ / kg;3,79;non
Fruits, légumes;Fruit;Kiwis filière responsable;;0,80€ / pce;3,99;non
Fruits, légumes;Fruit;Fraises Gariguette;250g;8,76€ / kg;2,19;non
Fruits, légumes;Fruit;Fraises bio;250g;9,96€ / kg;2,49;non
Fruits, légumes;Fruit;Fraises;500g;5,38€ / kg;2,69;non
Fruits, légumes;Fruit;Fraises;500g;9,98€ / kg;4,99;non
Fruits, légumes;Fruit;Oranges Maltaise;2kg;2,00€ / kg;3,99;non
Fruits, légumes;Fruit;Mandarines;1,5kg;2,66€ / kg;3,99;non
Fruits, légumes;Fruit;AUCHAN BIO Mandarines;1kg;3,49€ / kg;3,49;non
Fruits, légumes;Fruit;AUCHAN RIK & ROK Mandarines;1kg;4,29€ / kg;4,29;non
Fruits, légumes;Fruit;Mandarines avec feuilles;1,5kg;2,99€ / kg;4,49;non
Fruits, légumes;Fruit;Mandarines à déguster 1kg;1kg;3,99€ / kg;3,99;non
