categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,53€ / kg;2,29;non
Fruits, légumes;Bio;Courgettes bio;1kg;3,20€ / kg;3,20;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,50€ / pce;2,99;non
Fruits, légumes;Bio;Aubergines bio;500g;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Avocat bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Concombre bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;Salade batavia bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500g;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Butternut bio;;3,29€ / pce;3,29;non
Fruits, légumes;Bio;Brocoli bio;500g;5,50€ / kg;2,75;non
Fruits, légumes;Bio;Patates douces bio;500g;3,50€ / kg;1,75;non
Fruits, légumes;Bio;Menthe bio;;7,00€ / kg;1,75;non
Fruits, légumes;Bio;Citrons verts bio;;8,98€ / kg;4,49;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Juliet bio;1kg;2,85€ / pce;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,65€ / pce;3,65;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500g;9,98€ / kg;4,99;non
Fruits, légumes;Bio;AUCHAN BIO Amandes en poudre;100g;30,90€ / kg;3,09;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125g;23,92€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200g;13,05€ / kg;2,61;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pomme mangue et passion;;;3,14;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;1kg;1,99€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;1kg;4,35€ / kg;4,35;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,50€ / pce;1,50;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400g;4,98€ / kg;1,99;non
Fruits, légumes;Bio;LES FADAS Mélange de fruits secs bio;145g;27,45€ / kg;3,98;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175g;7,71€ / kg;1,35;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,20€ / kg;5,49;non
Fruits, légumes;Bio;Poireaux bio;750g;4,92€ / kg;3,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus multifruits;;;2,99;non
Fruits, légumes;Fruit;Oranges à déguster;2kg;1,75€ / kg;3,49;non
Fruits, légumes;Fruit;Pommes bicolores;2kg;1,50€ / kg;2,99;non
Fruits, légumes;Fruit;Pommes Pink Lady (Cripps Pink);;0,66€ / pce;3,95;non
Fruits, légumes;Fruit;AUCHAN BIO Pommes bicolores;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Juliet bio;1kg;2,85€ / pce;2,85;non
Fruits, légumes;Fruit;AUCHAN BIO Kiwis;;3,65€ / pce;3,65;non
Fruits, légumes;Fruit;Fraises;500g;3,98€ / kg;1,99;non
Fruits, légumes;Fruit;Mandarines avec feuilles;1,5kg;2,63€ / kg;3,95;non
Fruits, légumes;Fruit;Mandarines à déguster 1kg;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Citrons verts bio;;8,98€ / kg;4,49;non
Fruits, légumes;Fruit;Citrons verts;500g;4,50€ / kg;2,25;non
Fruits, légumes;Fruit;Citrons jaunes non traités après récolte;;0,38€ / pce;1,50;non
Fruits, légumes;Fruit;Poires Rochas;1kg;1,49€ / kg;1,49;non
Fruits, légumes;Fruit;Poires Conférence;1kg;3,49€ / kg;3,49;non
Fruits, légumes;Fruit;Poires mûres à point;;1,00€ / pce;3,99;non
Fruits, légumes;Fruit;Myrtilles;125g;23,92€ / kg;2,99;non
Fruits, légumes;Fruit;Bananes 1er prix;;1,13€ / kg;0,85;non
Fruits, légumes;Fruit;Bananes Fairtrade filière responsable;750g;1,99€ / kg;1,49;non
Fruits, légumes;Fruit;Bananes Antilles françaises;;0,09€ / pce;0,45;non
Fruits, légumes;Fruit;Noix de coco;;1,50€ / pce;1,50;non
Fruits, légumes;Fruit;Noix filière responsable AOP;650g;7,68€ / kg;4,99;non
Fruits, légumes;Fruit;Noix sèches de Grenoble bio;500g;9,98€ / kg;4,99;non
Fruits, légumes;Fruit;AUCHAN Noix de pécan;125g;22,32€ / kg;2,79;non
Fruits, légumes;Fruit;AUCHAN Amandes émondées en poudre;125g;12,72€ / kg;1,59;non
Fruits, légumes;Fruit;AUCHAN Auchan Noisettes grillées en poudre 125g;125g;21,76€ / kg;2,72;non
Fruits, légumes;Fruit;AUCHAN Amandes effilées émondées;125g;12,72€ / kg;1,59;non
Fruits, légumes;Fruit;SUN Amandes en poudre;500g;9,38€ / kg;4,69;non
Fruits, légumes;Fruit;SUN Amandes décortiquées;500g;9,38€ / kg;4,69;non
Fruits, légumes;Fruit;AUCHAN Amandes grillées sans sel ajouté;200g;14,95€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN Mélange anti oxydant;150g;19,93€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN Noix de cajou grillées sans sel ajouté;150g;26,60€ / kg;3,99;non
Fruits, légumes;Fruit;AUCHAN Noix de coco râpée;125g;7,92€ / kg;0,99;non
Fruits, légumes;Fruit;AUCHAN Cerneaux de noix;200g;22,50€ / kg;4,50;non
Fruits, légumes;Fruit;DACO BELLO Mélange de raisins secs noisettes et amandes;400g;11,83€ / kg;4,73;non
Fruits, légumes;Fruit;AUCHAN BIO Amandes en poudre;100g;30,90€ / kg;3,09;non
Fruits, légumes;Fruit;AUCHAN BIO Amandes décortiquées;125g;23,92€ / kg;2,99;non
Fruits, légumes;Fruit;DACO BELLO Mix cocktail non salé;400g;11,98€ / kg;4,79;non
Fruits, légumes;Fruit;AUCHAN GOURMET Pruneaux d'Agen avec noyau;500g;8,38€ / kg;4,19;non
Fruits, légumes;Fruit;AUCHAN Abricots moelleux dénoyautés;250g;10,76€ / kg;2,69;non
Fruits, légumes;Fruit;AUCHAN Prunes moelleuses dénoyautées;250g;13,80€ / kg;3,45;non
Fruits, légumes;Fruit;CREALINE Pruneaux d'Agen entiers;1kg;5,66€ / kg;5,66;non
Fruits, légumes;Fruit;AUCHAN GOURMET Dattes deglet nour branchées;500g;6,28€ / kg;3,14;non
