categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates rondes en grappes bio;500;5,58€ / kg;2,79;non
Fruits, légumes;Bio;Tomates allongées bio;500;5,38€ / kg;2,69;non
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;3,99€ / kg;2,99;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Poireaux bio;750;4,79€ / kg;3,59;non
Fruits, légumes;Bio;Navets bio;500;4,98€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Courgettes bio;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;Aubergines bio;500;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Concombre bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Avocat bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Radis rouges bio;250;5,56€ / kg;1,39;non
Fruits, légumes;Bio;Oignons rouges bio;500;3,98€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110;18,09€ / pce;1,99;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Echalotes bio;250;7,96€ / kg;1,99;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Endives bio;;9,98€ / kg;3,99;non
Fruits, légumes;Bio;Salade batavia bio;;1,79€ / pce;1,79;non
Fruits, légumes;Bio;Butternut bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200;9,95€ / kg;1,99;non
Fruits, légumes;Bio;Champignons bruns bio;200;9,95€ / kg;1,99;non
Fruits, légumes;Bio;Brocoli bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Patates douces bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Gingembre bio;150;10,60€ / kg;1,59;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;2,49€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;2,98€ / kg;1,19;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Pommes Juliet bio;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Pommes Reinette du Canada bio;;1,00€ / pce;3,99;non
Fruits, légumes;Bio;Pommes Golden bio;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,62€ / pce;3,69;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,69€ / pce;3,69;non
Fruits, légumes;Bio;Kiwi bio;;0,65€ / pce;0,65;non
Fruits, légumes;Bio;Mangue bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;Bananes bio;;0,40€ / pce;1,99;non
Fruits, légumes;Bio;Fraises bio;250;9,96€ / kg;2,49;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100;20,60€ / kg;2,06;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100;28,50€ / kg;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125;24,40€ / kg;3,05;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125;26,00€ / kg;3,25;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150;24,40€ / kg;3,66;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200;17,30€ / kg;3,46;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200;13,70€ / kg;2,74;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200;13,70€ / kg;2,74;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175;8,11€ / kg;1,42;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus multifruits;;;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100;20,60€ / kg;2,06;non
Fruits, légumes;Fruit;Oranges à déguster;;0,80€ / kg;2,39;non
Fruits, légumes;Fruit;Oranges à jus;;1,53€ / kg;4,59;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à déguster;;2,49€ / kg;2,49;non
Fruits, légumes;Fruit;Oranges à déguster;;1,75€ / kg;3,49;non
Fruits, légumes;Fruit;Orange à déguster;;0,99€ / pce;0,99;non
