categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates rondes en grappes bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Tomates allongées bio;500;4,58€ / kg;2,29;non
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;3,59€ / kg;2,69;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Poireaux bio;750;3,99€ / kg;2,99;non
Fruits, légumes;Bio;Navets bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Carotte bio;;0,79€ / kg;0,55;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,40€ / kg;5,99;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Pommes de terre de consommation à chair ferme bio micro-ondable;500;2,00€ / kg;1,00;non
Fruits, légumes;Bio;Courgette bio;;6,45€ / kg;1,29;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;Aubergines bio;500;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Avocat bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Concombre bio;;1,39€ / pce;1,39;non
Fruits, légumes;Bio;Radis rouges bio;250;5,96€ / kg;1,49;non
Fruits, légumes;Bio;Oignons rouges bio;500;5,58€ / kg;2,79;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110;15,36€ / pce;1,69;non
Fruits, légumes;Bio;Echalotes bio;250;9,96€ / kg;2,49;non
Fruits, légumes;Bio;Ail bio pièce;;0,65€ / pce;0,65;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Endives bio;;9,23€ / kg;3,69;non
Fruits, légumes;Bio;Salade batavia bio;;1,29€ / pce;1,29;non
Fruits, légumes;Bio;Butternut bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200;11,45€ / kg;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Champignons bruns;200;11,45€ / kg;2,29;non
Fruits, légumes;Bio;Brocoli bio;500;4,58€ / kg;2,29;non
Fruits, légumes;Bio;Asperges vertes bio;400;24,98€ / pce;9,99;non
Fruits, légumes;Bio;Patates douces bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Gingembre bio;150;8,60€ / kg;1,29;non
Fruits, légumes;Bio;Basilic bio;;7,96€ / kg;1,99;non
Fruits, légumes;Bio;Coriandre bio;;7,96€ / kg;1,99;non
Fruits, légumes;Bio;Menthe bio;;7,96€ / kg;1,99;non
Fruits, légumes;Bio;Ciboulette bio;;7,96€ / kg;1,99;non
Fruits, légumes;Bio;Persil frisé bio;;7,96€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;2,49€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Mandarine bio pièce;;4,55€ / kg;0,50;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;4,23€ / kg;1,69;non
Fruits, légumes;Bio;Citron jaune bio;;5,60€ / kg;0,70;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Pommes Golden bio;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Juliet bio;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Reinette du Canada bio;;0,87€ / pce;3,49;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,42€ / pce;2,49;non
Fruits, légumes;Bio;Pomme Golden bio;;0,75€ / pce;0,75;non
Fruits, légumes;Bio;Pomme bicolore bio;;0,75€ / pce;0,75;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Kiwi bio;;0,59€ / pce;0,59;non
Fruits, légumes;Bio;Bananes bio;;0,30€ / pce;1,49;non
Fruits, légumes;Bio;Fraises bio;250;8,76€ / kg;2,19;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500;9,38€ / kg;4,69;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100;21,40€ / kg;2,14;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100;21,40€ / kg;2,14;non
Fruits, légumes;Bio;BONDUELLE Feuille de chêne bio;100;21,50€ / kg;2,15;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125;27,28€ / kg;3,41;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150;25,40€ / kg;3,81;non
Fruits, légumes;Bio;LES FADAS Mélange de fruits secs et fruits séchés bio;145;28,14€ / kg;4,08;non
Fruits, légumes;Bio;LES FADAS Mélange de fruits secs bio;145;28,14€ / kg;4,08;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175;8,51€ / kg;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus multifruits;;;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pomme mangue et passion;;;3,17;non
Fruits, légumes;Bio;Orange bio à déguster;;3,25€ / kg;0,65;non
Fruits, légumes;Bio;Courgettes bio;;3,99€ / kg;3,99;non
