categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates rondes en grappes bio;500;5,18€ / kg;2,59;non
Fruits, légumes;Bio;Tomates allongées bio;500;5,38€ / kg;2,69;non
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;3,45€ / kg;2,59;non
Fruits, légumes;Bio;Carottes bio filière responsable;;1,99€ / kg;2,99;non
Fruits, légumes;Bio;Poireaux bio;750;3,99€ / kg;2,99;non
Fruits, légumes;Bio;Navets bio;500;6,98€ / kg;3,49;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;1,73€ / kg;2,59;non
Fruits, légumes;Bio;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Courgettes bio;;3,79€ / kg;3,79;non
Fruits, légumes;Bio;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Bio;Aubergines bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Avocat bio;;1,69€ / pce;1,69;non
Fruits, légumes;Bio;Concombre bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;Radis rouges bio;250;5,96€ / kg;1,49;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110;17,18€ / pce;1,89;non
Fruits, légumes;Bio;Echalotes bio;250;7,96€ / kg;1,99;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Oignons rouges bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;Ail bio pièce;;1,15€ / pce;1,15;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500;2,38€ / kg;1,19;non
Fruits, légumes;Bio;Endives bio;;11,23€ / kg;4,49;non
Fruits, légumes;Bio;Salade batavia bio;;1,99€ / pce;1,99;non
Fruits, légumes;Bio;Butternut bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Champignons blancs;200;12,45€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Champignons bruns;200;10,95€ / kg;2,19;non
Fruits, légumes;Bio;Brocoli bio;500;4,58€ / kg;2,29;non
Fruits, légumes;Bio;Patates douces bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Gingembre bio;150;9,93€ / kg;1,49;non
Fruits, légumes;Bio;TERR'LOIRE Maïs doux cuit bio;400;7,63€ / kg;3,05;non
Fruits, légumes;Bio;AUCHAN BIO Oranges à déguster;;2,29€ / kg;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400;4,23€ / kg;1,69;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pomelo rose filière responsable;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Pommes Juliet bio;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Pommes Reinette du Canada bio;;0,87€ / pce;3,49;non
Fruits, légumes;Bio;Pommes Golden bio;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;Pommes Swing bio filière responsable;;0,58€ / pce;3,49;non
Fruits, légumes;Bio;Pommes rustiques bio filière responsable;;3,99€ / kg;3,99;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Bio;Kiwi bio;;0,69€ / pce;0,69;non
Fruits, légumes;Bio;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Bio;Noix sèches de Grenoble bio;500;8,98€ / kg;4,49;non
Fruits, légumes;Bio;AUCHAN BIO Bouquets de mâche;100;21,40€ / kg;2,14;non
Fruits, légumes;Bio;AUCHAN BIO Cerneaux de noix;100;29,90€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Amandes décortiquées;125;26,00€ / kg;3,25;non
Fruits, légumes;Bio;AUCHAN BIO Noix de cajou naturelles;125;24,40€ / kg;3,05;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de fruits à coques;150;24,40€ / kg;3,66;non
Fruits, légumes;Bio;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200;17,95€ / kg;3,59;non
Fruits, légumes;Bio;AUCHAN BIO Abricots moelleux dénoyautés;200;14,25€ / kg;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Figues moelleuses;200;14,25€ / kg;2,85;non
Fruits, légumes;Bio;AUCHAN BIO Raisins secs sultanines;175;8,11€ / kg;1,42;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;;2,69;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pommes;;;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus de pomme mangue et passion;;;3,17;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus multifruits;;;2,99;non
Fruits, légumes;Bio;Fraises bio;250;11,96€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Mélange de jeunes pousses;100;21,40€ / kg;2,14;non
Fruits, légumes;Fruit;Oranges à déguster;;1,33€ / kg;3,99;non
Fruits, légumes;Fruit;Oranges à jus;;1,33€ / kg;3,99;non
Fruits, légumes;Fruit;Oranges à déguster;;1,85€ / kg;3,69;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à déguster;;2,29€ / kg;2,29;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à jus;;2,19€ / kg;3,29;non
Fruits, légumes;Fruit;Oranges à déguster non traitées après récolte;;0,67€ / pce;2,69;non
Fruits, légumes;Fruit;Orange à déguster;;0,50€ / pce;0,50;non
Fruits, légumes;Fruit;Pomelo rose;;0,99€ / pce;0,99;non
Fruits, légumes;Fruit;AUCHAN BIO Pomelo rose filière responsable;;1,49€ / pce;1,49;non
Fruits, légumes;Fruit;Pommes Golden filière responsable;;2,99€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Pink Lady (Cripps Pink);;0,55€ / pce;3,29;non
Fruits, légumes;Fruit;Pommes Granny;;0,55€ / pce;3,29;non
Fruits, légumes;Fruit;Pommes Pinkids (Cripps Pink);;0,37€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Juliet bio;;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;Pommes bicolores;;1,50€ / kg;2,99;non
Fruits, légumes;Fruit;Pommes Gala;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Reinette du Canada bio;;0,87€ / pce;3,49;non
Fruits, légumes;Fruit;Pommes Golden bio;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Jazz;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Golden 1er prix;;1,50€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Swing bio filière responsable;;0,58€ / pce;3,49;non
Fruits, légumes;Fruit;Pommes rustiques bio filière responsable;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes bicolores bio;;1,99€ / kg;2,99;non
Fruits, légumes;Fruit;Pomme Pink Lady (Cripps Pink);;0,65€ / pce;0,65;non
Fruits, légumes;Fruit;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;Kiwi;;0,59€ / pce;0,59;non
Fruits, légumes;Fruit;Kiwis 1er prix;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Kiwis filière responsable;;0,66€ / pce;3,29;non
Fruits, légumes;Fruit;Kiwis prêts à déguster;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Kiwi bio;;0,69€ / pce;0,69;non
Fruits, légumes;Fruit;Fraises Gariguette;250;13,96€ / kg;3,49;non
Fruits, légumes;Fruit;Fraises Ciflorette;250;15,96€ / kg;3,99;non
Fruits, légumes;Fruit;Oranges sanguines Moro;;2,66€ / kg;3,99;non
Fruits, légumes;Fruit;AUCHAN BIO Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;AUCHAN RIK & ROK Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Mandarines avec feuilles;;3,13€ / kg;4,69;non
Fruits, légumes;Fruit;Mandarines;;3,33€ / kg;4,99;non
Fruits, légumes;Fruit;Mandarines à déguster 1kg;;4,49€ / kg;4,49;non
Fruits, légumes;Fruit;Citrons verts;500;5,78€ / kg;2,89;non
Fruits, légumes;Fruit;AUCHAN BIO Citrons jaunes;400;4,23€ / kg;1,69;non
Fruits, légumes;Fruit;Citrons jaunes;500;1,98€ / kg;0,99;non
Fruits, légumes;Fruit;Citrons jaunes à jus;;2,69€ / kg;2,69;non
Fruits, légumes;Fruit;Citron jaune;;0,60€ / pce;0,60;non
Fruits, légumes;Fruit;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Fruit;Citrons jaunes non traités après récolte;;0,57€ / pce;2,29;non
Fruits, légumes;Fruit;Citron vert;;0,65€ / pce;0,65;non
Fruits, légumes;Fruit;Poires Conférence;;3,49€ / kg;3,49;non
Fruits, légumes;Fruit;Poires mûres à point;;0,82€ / pce;3,29;non
Fruits, légumes;Fruit;Poires Rochas;;1,99€ / kg;1,99;non
Fruits, légumes;Fruit;Framboises;125;23,92€ / kg;2,99;non
