categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;TOMATE RONDE BIO 750G;;4,65€ / kg;3,49;non
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Poireaux bio;750g;3,99€ / kg;2,99;non
Fruits, légumes;Bio;Carottes bio filière responsable;;2,33€ / kg;3,49;non
Fruits, légumes;Bio;Navets bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;Carotte bio;;0,56€ / pce;0,56;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;1,40€ / kg;3,49;non
Fruits, légumes;Bio;Pommes de terre de consommation brossées bio;;2,33€ / kg;3,49;non
Fruits, légumes;Bio;Courgettes bio;;3,49€ / kg;3,49;non
Fruits, légumes;Bio;Courgette bio;;6,45€ / kg;1,29;non
Fruits, légumes;Bio;Aubergines bio;500g;3,98€ / kg;1,99;non
Fruits, légumes;Bio;Radis rouges bio;250g;6,76€ / kg;1,69;non
Fruits, légumes;Bio;Avocat bio;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Oignons rouges bio;500g;5,98€ / kg;2,99;non
Fruits, légumes;Bio;AUCHAN Oignons bio;;2,49€ / kg;2,49;non
Fruits, légumes;Bio;Echalotes bio;250g;9,16€ / kg;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Ail 3 têtes;110g;31,73€ / pce;3,49;non
Fruits, légumes;Bio;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500g;2,46€ / kg;1,23;non
Fruits, légumes;Bio;Salade batavia bio;;1,49€ / pce;1,49;non
Fruits, légumes;Bio;Butternut bio;;2,29€ / pce;2,29;non
Fruits, légumes;Bio;Brocoli bio;500g;5,18€ / kg;2,59;non
Fruits, légumes;Bio;Orange bio à déguster;;3,25€ / kg;0,65;non
Fruits, légumes;Bio;AUCHAN BIO Mandarines;;2,79€ / kg;2,79;non
Fruits, légumes;Bio;Mandarine bio pièce;;4,55€ / kg;0,50;non
Fruits, légumes;Bio;Citrons verts bio;;7,98€ / kg;3,99;non
