categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Bio;Tomates rondes en grappes bio;500g;3,58€ / kg;1,79;non
Fruits, légumes;Bio;AUCHAN BIO Carottes filière responsable;;2,29€ / kg;2,29;non
Fruits, légumes;Bio;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Bio;Courgettes bio;;2,99€ / kg;2,99;non
Fruits, légumes;Bio;Aubergines bio;500g;4,98€ / kg;2,49;non
Fruits, légumes;Bio;AUCHAN BIO Betteraves rouges entières cuites bio;500g;2,26€ / kg;1,13;non
Fruits, légumes;Bio;Potimarron bio;;2,99€ / pce;2,99;non
Fruits, légumes;Bio;AUCHAN BIO Citrons jaunes;400g;4,38€ / kg;1,75;non
Fruits, légumes;Bio;AUCHAN BIO Kiwis;;3,90€ / pce;3,90;non
Fruits, légumes;Bio;AUCHAN BIO Pur jus d'oranges pressées;;3,90€ / pce;2,69;non
Fruits, légumes;Fruit;Oranges à déguster;;1,75€ / kg;3,49;non
Fruits, légumes;Fruit;Oranges à jus;;1,50€ / kg;2,99;non
Fruits, légumes;Fruit;Pomelo rose;;0,66€ / pce;0,66;non
Fruits, légumes;Fruit;AUCHAN BIO Kiwis;;3,90€ / pce;3,90;non
Fruits, légumes;Fruit;Kiwi;;0,60€ / pce;0,60;non
Fruits, légumes;Fruit;Ananas sweet;;1,99€ / pce;1,99;non
Fruits, légumes;Fruit;Clémentines avec feuilles;;2,66€ / kg;3,99;non
Fruits, légumes;Fruit;Citrons verts;500g;5,98€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN BIO Citrons jaunes;400g;4,38€ / kg;1,75;non
Fruits, légumes;Fruit;Framboises;125g;14,32€ / kg;1,79;non
Fruits, légumes;Fruit;Bananes Fairtrade filière responsable;750g;1,85€ / kg;1,39;non
Fruits, légumes;Fruit;Kiwi jaune;;0,89€ / pce;0,89;non
Fruits, légumes;Fruit;Kaki;;0,75€ / pce;0,75;non
Fruits, légumes;Fruit;Mangue;;1,99€ / pce;1,99;non
Fruits, légumes;Fruit;Fruit de la passion;;1,75€ / pce;1,75;non
Fruits, légumes;Fruit;AUCHAN RIK & ROK Raisins sans pépins;500g;7,00€ / kg;3,50;non
Fruits, légumes;Fruit;AUCHAN Noisettes décortiquées;175g;17,77€ / kg;3,11;non
Fruits, légumes;Fruit;AUCHAN GOURMET Amandes décortiquées;150g;19,33€ / kg;2,90;non
Fruits, légumes;Fruit;AUCHAN Cerneaux de noix;200g;19,70€ / kg;3,94;non
Fruits, légumes;Fruit;AUCHAN Pruneaux d'Agen dénoyautés;500g;8,30€ / kg;4,15;non
Fruits, légumes;Fruit;AUCHAN GOURMET Dattes deglet nour branchées;500g;3,96€ / kg;1,98;non
Fruits, légumes;Fruit;WONDERFUL Wonderful pistaches grillées non salées 250g;250g;19,96€ / kg;4,99;-60% sur le 2ème
Fruits, légumes;Légumes;Chou rouge;;1,99€ / pce;1,99;non
Fruits, légumes;Légumes;Chou blanc;;1,99€ / pce;1,99;non
Fruits, légumes;Légumes;Blancs de poireaux;500g;5,98€ / kg;2,99;non
Fruits, légumes;Légumes;Chou vert frisé;;2,49€ / pce;2,49;non
Fruits, légumes;Légumes;Chou-fleur;;2,25€ / pce;2,25;non
Fruits, légumes;Légumes;AUCHAN Carottes;;0,83€ / kg;1,00;non
Fruits, légumes;Légumes;Pommes de terre de consommation vapeur salade sautées;;1,80€ / kg;4,49;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre frites purée potage;;1,40€ / kg;3,49;non
Fruits, légumes;Légumes;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre de consommation salade vapeur sautées;;0,76€ / kg;1,89;non
Fruits, légumes;Légumes;Radis roses;;1,49€ / pce;1,49;non
Fruits, légumes;Légumes;AUCHAN Tomates cerises rondes en grappes filière responsable;350g;7,29€ / kg;2,55;non
Fruits, légumes;Légumes;Tomates rondes en grappes bio;500g;3,58€ / kg;1,79;non
Fruits, légumes;Légumes;Tomates cerises allongées;250g;6,00€ / kg;1,50;non
Fruits, légumes;Légumes;Courgettes 1er prix;;1,99€ / kg;1,99;non
Fruits, légumes;Légumes;Courgettes bio;;2,99€ / kg;2,99;non
Fruits, légumes;Légumes;Poivrons tricolores rouge vert et jaune;500g;3,98€ / kg;1,99;non
Fruits, légumes;Légumes;Aubergines bio;500g;4,98€ / kg;2,49;non
Fruits, légumes;Légumes;AUCHAN BIO Carottes filière responsable;;2,29€ / kg;2,29;non
Fruits, légumes;Légumes;Mélange pour pot au feu : carotte, oignon, chou, poireau, céleri rave, navet et persil;;2,99€ / kg;2,99;non
Fruits, légumes;Légumes;Concombre;;1,75€ / pce;1,75;non
