;categorie;type;nom;poids;02300 Viry Noureuil;02500 Hirson;03410 Domerat;05000 Gap;06340 La Trinite;07500 Guilherand-granges;13400 Aubagne;13500 Martigues;13560 Senas;15000 Aurillac;16100 Chateaubernard;16400 La Couronne;18000 Bourges;20167 Sarrola Carcopino;24650 Chancelade;27600 Gaillon;27670 Le Bosc Roger En Roumois;30100 Ales;31140 Launaguet;31390 Carbonne;33170 Gradignan;33240 Bouliac;33290 Blanquefort;33380 Biganos;34470 Perols;37250 Sorigny;38500 Voiron;41350 Vineuil;42390 Villars;44570 Trignac;45100 Orleans;45500 Gien;59115 Leers;59380 Socx;59400 Cambrai;59720 Louvroil;59810 Lesquin;60000 Beauvais;60110 Meru;62100 Calais;62400 Bethune;62575 Blendecques;62610 Autingues;63170 Aubiere;64320 Bizanos;65000 Tarbes;69300 Caluire;69400 Villefranche Sur Saone;69630 Chaponost;71031 Macon;76371 Dieppe;76620 Le Havre;77240 Cesson;78190 Trappes;78250 Tessancourt-sur-aubette;78310 Coignieres;78370 Plaisir;78800 Houilles;78910 Orgerus;78945 Velizy;84130 Le Pontet;84140 Montfavet;84275 Vedene;84300 Cavaillon;86100 Chatellerault;91141 Villebon;91230 Montgeron;91250 Saint Germain Les Corbeil;91620 Nozay;92250 La Garenne Colombes;93290 Tremblay En France;95000 Cergy;95150 Taverny;95200 Sarcelles;95520 Osny
0;Epicerie sucrée;Biscuits, gateaux;AUCHAN Assortiment de biscuits fins au chocolat belge;375;3.87;3.87;3.79;3.87;3.94;4.02;3.94;3.94;3.79;3.94;3.79;3.79;3.9;3.73;3.87;3.94;3.9;3.9;3.94;3.9;3.79;3.94;3.87;3.79;3.87;3.87;3.94;3.87;3.94;3.79;4.02;3.94;4.15;3.87;3.94;3.94;4.15;3.94;3.94;3.79;4.15;3.87;3.79;3.87;4.06;3.87;4.15;4.15;4.15;3.94;3.94;4.02;4.15;4.15;4.06;4.15;4.15;4.15;4.06;4.15;3.94;3.94;3.94;3.79;3.79;4.02;4.15;4.15;4.02;4.15;3.98;3.94;4.15;4.02;3.94
1;Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits goûters fourrés au cacao, sachets fraîcheur;185;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.66;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.65;1.57;1.57;1.57;1.65;1.57;1.57;1.57;1.65;1.57;1.57;1.57;1.57;1.57;1.65;1.65;1.65;1.57;1.57;1.57;1.65;1.65;1.57;1.65;1.65;1.65;1.57;1.65;1.57;1.57;1.57;1.57;1.57;1.57;1.65;1.65;1.57;1.65;1.57;1.57;1.65;1.57;1.57
2;Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits petit beurre avec tablette de chocolat noir;150;1.54;1.63;1.54;1.57;1.6;1.63;1.6;1.57;1.54;1.6;1.54;1.54;1.59;1.52;1.57;1.6;1.59;1.59;1.6;1.59;1.54;1.6;1.54;1.54;1.54;1.57;1.6;1.57;1.63;1.54;1.63;1.54;1.65;1.6;1.6;1.6;1.65;1.6;1.6;1.57;1.65;1.54;1.57;1.54;1.65;1.57;1.65;1.65;1.65;1.6;1.6;1.63;1.65;1.65;1.54;1.65;1.65;1.65;1.54;1.65;1.6;1.63;1.6;1.54;1.54;1.6;1.65;1.65;1.6;1.65;1.62;1.6;1.65;1.57;1.6
3;Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits petit beurre riches en céréales, sachets fraîcheur;167;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;1.08;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99
4;Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Cookies tout chocolat;175;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.46;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.56;1.49;1.49;1.49;1.56;1.49;1.49;1.49;1.56;1.49;1.49;1.49;1.49;1.49;1.56;1.56;1.56;1.49;1.49;1.49;1.56;1.56;1.49;1.56;1.56;1.56;1.49;1.56;1.49;1.49;1.49;1.49;1.49;1.49;1.56;1.56;1.49;1.56;1.49;1.49;1.56;1.49;1.49
5;Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Galette de riz au chocolat noir;90;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.93;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;1.05;0.99;0.99;0.99;1.05;0.99;0.99;0.99;1.05;0.99;0.99;0.99;0.99;0.99;1.05;1.05;1.05;0.99;0.99;0.99;1.05;1.05;0.99;1.05;1.05;1.05;0.99;1.05;0.99;0.99;0.99;0.99;0.99;0.99;1.05;1.05;0.99;1.05;0.99;0.99;1.05;0.99;0.99
6;Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Galettes de maïs;120;0.99;0.99;0.99;0.99;0.99;0.75;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.82;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99
7;Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Galettes de riz au chocolat au lait;90;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.93;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99
8;Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Galettes de riz complet au sésame;100;0.76;0.76;0.76;0.76;0.76;0.65;0.76;0.76;0.76;0.76;0.77;0.77;0.76;0.8;0.77;0.76;0.76;0.76;0.76;0.76;0.77;0.76;0.77;0.77;0.77;0.77;0.76;0.77;0.77;0.77;0.76;0.77;0.81;0.77;0.77;0.77;0.81;0.77;0.77;0.77;0.81;0.77;0.77;0.77;0.76;0.77;0.81;0.81;0.81;0.77;0.77;0.76;0.81;0.81;0.77;0.81;0.81;0.81;0.77;0.81;0.77;0.77;0.77;0.77;0.77;0.77;0.81;0.81;0.77;0.81;0.76;0.77;0.81;0.77;0.77
9;Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Galettes pur beurre;125;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.9;0.9;0.88;0.85;0.9;0.88;0.88;0.88;0.88;0.88;0.9;0.88;0.9;0.9;0.9;0.9;0.88;0.9;0.9;0.9;0.88;0.9;0.95;0.9;0.9;0.9;0.95;0.9;0.9;0.9;0.95;0.9;0.9;0.9;0.88;0.9;0.95;0.95;0.95;0.9;0.9;0.88;0.95;0.95;0.9;0.95;0.95;0.95;0.9;0.95;0.9;0.9;0.9;0.9;0.9;0.9;0.95;0.95;0.9;0.95;0.88;0.9;0.95;0.9;0.9
