;;;02100 St Quentin Le Fayet;02300 Viry Noureuil;02500 Hirson;03410 Domerat;05000 Gap;06130 Grasse;06340 La Trinite;07500 Guilherand-granges;13400 Aubagne;13500 Martigues;13560 Senas;14123 Fleury Sur Orne;15000 Aurillac;16100 Chateaubernard;16400 La Couronne
;;;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix
categorie;type;nom;;;;;;;;;;;;;;;
Epicerie sucrée;Biscuits, gateaux;AFA Canistrelli aux amandes;;4,09;4,09;4,03;4,09;;;;;;4,06;;3,60;;
Epicerie sucrée;Biscuits, gateaux;ALLERGO Mini cakes marbrés sans gluten sans lactose sachets individuels;;3,87;3,87;3,76;3,57;;;;;;3,91;;4,07;;
Epicerie sucrée;Biscuits, gateaux;ARMOR DELICES La madeleine d'Armor pur beurre sachets individuels;;3,27;3,24;3,24;3,24;;;3,37;;3,29;;;;;
Epicerie sucrée;Biscuits, gateaux;AUCHAN Assortiment de biscuits fins au chocolat belge;4,18;3,87;3,87;3,79;3,87;3,94;3,94;4,02;3,94;3,94;3,79;3,98;3,94;3,79;
Epicerie sucrée;Biscuits, gateaux;AUCHAN Auchan gaufres mini liégeoises nature x9 -256g;;;;;1,53;;;;;;;;;;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Barquettes à la fraise sachets fraîcheur;;1,39;1,47;1,39;1,42;;1,45;1,47;1,45;1,42;1,39;;1,45;1,39;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Barres au chocolat fourrées au lait;;;1,99;1,99;1,99;;1,99;1,99;1,99;1,99;1,99;;;1,99;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits cuillers aux œufs frais, sachets fraîcheur;;;;2,00;2,04;;2,08;1,50;2,08;2,04;2,00;;;2,00;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits goûters fourrés au cacao, sachets fraîcheur;1,62;1,57;1,57;1,57;1,57;1,57;1,57;1,57;1,57;1,57;1,57;1,57;1,57;1,57;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits goûters fourrés au chocolat au lait, sachets fraîcheur;;1,97;2,09;1,97;2,01;;;2,09;;;1,97;;2,05;;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits lunettes de romans à la myrtille, sachets individuels;1,99;1,80;;1,80;1,84;1,84;1,87;1,91;1,87;1,84;1,80;;;1,80;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits nappés au chocolat au lait, sachets fraîcheur;2,16;1,96;2,08;1,96;2,00;2,00;2,04;2,08;2,04;2,00;1,96;2,06;2,04;1,96;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits nappés de chocolat noir, sachets fraîcheur;;1,99;2,11;1,99;2,03;;2,07;2,11;2,07;2,03;1,99;2,09;2,07;1,99;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits petit beurre avec tablette de chocolat noir;1,70;1,54;1,63;1,54;1,57;1,57;1,60;1,63;1,60;1,57;1,54;1,62;1,60;1,54;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits petit beurre riches en céréales, sachets fraîcheur;1,02;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Biscuits épeautre sésame, sachets fraîcheur;;0,99;0,99;0,99;0,99;;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Bâtonnets nappés de chocolat au lait;1,85;1,68;1,78;1,68;1,72;1,72;1,75;1,78;1,75;1,72;1,68;;1,75;1,68;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Cookies pépites de chocolat et quinoa;2,01;1,90;2,01;1,92;1,96;1,96;2,00;1,79;2,00;1,96;1,92;;;1,92;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Cookies tout chocolat;1,53;1,49;1,49;1,49;1,49;1,49;1,49;1,49;1,49;1,49;1,49;1,49;1,49;1,49;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Double galette de riz noisette et cacao;;0,99;0,99;0,99;0,99;;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Financiers pur beurre sachets individuels;;2,29;;2,29;2,34;2,29;2,38;2,43;2,38;2,34;2,29;;;2,29;
Epicerie sucrée;Biscuits, gateaux;AUCHAN BIO Fines galettes de riz complet;;0,91;0,91;0,91;0,91;;0,91;0,91;0,91;0,91;0,91;0,91;0,91;0,91;
