categorie;type;nom;poids;prix_par_kg;prix;promo
Epicerie sucree;Cafe;ILLY Capsules de café intenso 100% arabica compatibles Nespresso;57g;80,53;4,59;3 achetés = 2 payés
Epicerie sucree;Cafe;ILLY Café Espresso classique en capsule compatible Nespresso;57g;80,53;4,59;3 achetés = 2 payés
Epicerie sucree;Cafe;Prix promo;208g;36,49;7,59;-50% sur le 2ème
Epicerie sucree;Cafe;CARTE NOIRE Dosettes de café classique intensité 5 compatibles Senseo;420g;10,19;4,28;non
Epicerie sucree;Cafe;CARTE NOIRE Dosettes de café corsé compatibles Senseo;420g;10,19;4,28;non
Epicerie sucree;Cafe;CARTE NOIRE Dosettes de café Espresso intensité 8 compatibles Senseo;420g;9,40;3,95;non
Epicerie sucree;Cafe;SENSEO Dosettes de café doux compostables compatibles Senseo;416g;15,36;6,39;-60% sur le 2ème
Epicerie sucree;Cafe;CARTE NOIRE Dosettes de café bio classique compostables compatibles Senseo;384g;13,39;5,14;non
Epicerie sucree;Cafe;SENSEO Dosettes de café classique compostables compatibles Senseo;416g;15,36;6,39;-60% sur le 2ème
Epicerie sucree;Cafe;Prix promo;416g;15,36;6,39;-60% sur le 2ème
Epicerie sucree;Cafe;L'OR Intense Café moulu intensité 7;4x250g;7,39;7,39;non
Epicerie sucree;Cafe;MALONGO Café moulu des petits producteurs l'original;250g;9,48;2,37;non
Epicerie sucree;Cafe;Prix promo;6x250g;7,99;11,99;non
Epicerie sucree;Cafe;L'OR Absolu Café en grains grand cru;6x250g;7,91;7,91;non
Epicerie sucree;Cafe;L'OR Café en grains sélection équilibré et harmonieux;6x250g;7,91;7,91;non
Epicerie sucree;Cafe;MALONGO Café en grain des petits producteurs;500g;10,20;5,10;non
Epicerie sucree;Cafe;AUCHAN Capsules de café Espresso classico intensité 8 compatibles Nespresso;52g;47,88;2,49;non
Epicerie sucree;Cafe;AUCHAN Capsules de café lungo intensité 6 compatibles Nespresso;52g;47,88;2,49;non
Epicerie sucree;Cafe;AUCHAN Capsules de café Espresso décaféiné intensité 6 compatibles Nespresso;52g;47,88;2,49;non
Epicerie sucree;Cafe;AUCHAN Capsules de café noisette intensité 7 compatibles Nespresso;52g;52,88;2,75;non
Epicerie sucree;Cafe;AUCHAN Capsules de café vanille intensité 7 compatibles Nespresso;52g;52,88;2,75;non
Epicerie sucree;Cafe;AUCHAN Capsules de café Fortissimo intensité 12 compatibles Nespresso;52g;47,88;2,49;non
Epicerie sucree;Cafe;AUCHAN Capsules de café au lait compatibles Dolce Gusto;100g;21,90;2,19;non
Epicerie sucree;Cafe;AUCHAN Dosettes de café classico décaféiné intensité 5 compatibles Senseo;250g;14,76;3,69;non
Epicerie sucree;Cafe;AUCHAN Café classique en dosette intensité 5 compatible Senseo;250g;11,96;2,99;non
Epicerie sucree;Cafe;AUCHAN Dosettes de café doux intensité 3 compatibles Senseo;250g;13,96;3,49;non
Epicerie sucree;Cafe;AUCHAN Dosettes de café saveur noisette intensité 5 compatibles Senseo;70g;25,00;1,75;non
Epicerie sucree;Cafe;AUCHAN Café moulu classico 100% arabica intensité 7;2 paquets de 250g;8,30;4,15;non
Epicerie sucree;Cafe;AUCHAN Café moulu tradition intensité 8;4x250g;5,25;5,25;non
Epicerie sucree;Cafe;AUCHAN BIO Café moulu 100% arabica intensité 8;250g;13,40;3,35;non
Epicerie sucree;Cafe;AUCHAN BIO Café moulu du Guatemala intensité 8;250g;14,60;3,65;non
Epicerie sucree;Cafe;AUCHAN BIO Café moulu du Honduras intensité 8;250g;14,60;3,65;non
Epicerie sucree;Cafe;AUCHAN BIO Café moulu du Pérou intensité 7;250g;14,60;3,65;non
Epicerie sucree;Cafe;AUCHAN BIO Café moulu du Mexique intensité 6;250g;14,60;3,65;non
Epicerie sucree;Cafe;AUCHAN BIO Café en grains 100% arabica intensité 8;250g;14,76;3,69;non
Epicerie sucree;Cafe;AUCHAN BIO Café moulu décaféiné 100% arabica intensité 5;250g;16,60;4,15;non
Epicerie sucree;Cafe;AUCHAN Auchan Filtres à café bruns non blanchis n°4 X80;250g;16,60;0,98;non
Epicerie sucree;Cafe;AUCHAN Filtres à café n°4 + 1 sachet de détartrant;250g;16,60;1,09;non
Epicerie sucree;Cafe;AUCHAN Filtres à café n°2;250g;16,60;0,49;non
Epicerie sucree;Cafe;AUCHAN BIO Café soluble 100% arabica intensité 6;100g;38,50;3,85;non
Epicerie sucree;Cafe;AUCHAN Café soluble intensité 4;200g;20,95;4,19;non
Epicerie sucree;Cafe;AUCHAN Café soluble cappuccino classique;250g;11,48;2,95;non
Epicerie sucree;Cafe;AUCHAN Chicorée café au lait;400g;9,98;3,99;non
Epicerie sucree;Cafe;TASSIMO Dosettes chocolat chaud Milka;240g;20,21;4,85;non
Epicerie sucree;Cafe;L'OR ESPRESSO Capsules de café delizioso intensité 5 compatibles Nespresso;104g;58,56;6,09;non
Epicerie sucree;Cafe;L'OR Capsules de café splendente intensité 7 compatibles Nespresso;104g;58,56;6,09;non
Epicerie sucree;Cafe;L'OR Capsules de café ristretto intensité 11 compatibles Nespresso;104g;58,56;6,09;non
Epicerie sucree;Cafe;L'OR Capsules de café forza intensité 9 compatibles Nespresso;104g;58,56;6,09;non
Epicerie sucree;Cafe;L'OR Capsules de café décaféiné intensité 6 compatibles Nespresso;104g;58,56;6,09;non
Epicerie sucree;Cafe;L'OR ESPRESSO Capsules de café supremo intensité 10 compatibles Nespresso;104g;58,56;6,09;non
Epicerie sucree;Cafe;L'OR Capsules de café forza intensité 9 compatibles Nespresso maxi pack;208g;58,41;12,15;non
Epicerie sucree;Cafe;L'OR Capsules de café ristretto intensité 11 compatibles Nespresso;208g;56,97;11,85;non
Epicerie sucree;Cafe;L'OR Capsules de café lungo profondo intensité 8 compatibles Nespresso;104g;58,56;6,09;non
Epicerie sucree;Cafe;STARBUCKS Caspules de café blonde espresso roast intensité 6 compatibles Nespresso;53g;67,74;3,59;non
Epicerie sucree;Cafe;STARBUCKS Capsules de café Colombie intensité 7 compatibles Nespresso;57g;62,98;3,59;non
Epicerie sucree;Cafe;STARBUCKS Capsules de café blonde espresso intensité 6 compatibles Nespresso;94g;67,98;6,39;non
Epicerie sucree;Cafe;L'OR Capsules de café delizioso intensité 5 compatibles Nespresso;52g;65,19;3,39;non
Epicerie sucree;Cafe;STARBUCKS Capsules de café house blend lungo intensité 8 compatibles Nespresso;57g;62,98;3,59;non
Epicerie sucree;Cafe;STARBUCKS Capsules de café Espresso roast intensité 11 compatibles Nespresso;57g;62,98;3,59;non
Epicerie sucree;Cafe;NESCAFE Farmers origins Capsules de café Brazil lungo compatibles Nespresso intensité 8;52g;60,58;3,15;non
Epicerie sucree;Cafe;STARBUCKS Capsules de café Colombia intensité 7 compatibles Nespresso;101g;63,27;6,39;non
Epicerie sucree;Cafe;STARBUCKS Capsules de café Verona intensité 10 compatibles Nespresso;55g;65,27;3,59;non
Epicerie sucree;Cafe;STARBUCKS Capsules de café Italian Style roast intensité 11 compatibles Nespresso;56g;64,11;3,59;non
Epicerie sucree;Cafe;L'OR ESPRESSO Capsules de café splendente intensité 7 compatibles Nespresso;208g;58,41;12,15;non
Epicerie sucree;Cafe;STARBUCKS Capsules de café espresso roast décaféiné intensité 11 compatibles Nespresso;57g;62,98;3,59;non
Epicerie sucree;Cafe;L'OR Capsules de café splendente intensité 7 compatibles Nespresso;52g;65,19;3,39;non
Epicerie sucree;Cafe;NESCAFE Farmers origins Capsules de café Africas ristretto intensité 10 compatibles Nespresso;55g;57,27;3,15;non
Epicerie sucree;Cafe;NESCAFE Farmers origins Capsules de café 3 Americas Lungo intensité 8 compatibles Nespresso;54g;58,33;3,15;non
Epicerie sucree;Cafe;L'OR Capsules de café espresso bio intensité 9 compatibles Nespresso;52g;70,96;3,69;non
Epicerie sucree;Cafe;NESCAFE Farmers origins Capsules de café India intensité 9 compatibles Nespresso;53g;59,43;3,15;non
Epicerie sucree;Cafe;AUCHAN Capsules de café lungo intensité 8 compatibles Nespresso;52g;47,88;2,49;non
Epicerie sucree;Cafe;L'OR Capsules de café Colombia compatibles Nespresso;52g;65,19;3,39;non
Epicerie sucree;Cafe;L'OR ESPRESSO Capsules de café Guatemala intensité 7 compatibles Nespresso;52g;65,19;3,39;non
Epicerie sucree;Cafe;STARBUCKS Capsules de café arabica de Sumatra intensité 10 compatibles Nespresso;57g;62,98;3,59;non
Epicerie sucree;Cafe;L'OR Capsules de café lungo profondo intensité 8 compatibles Nespresso;208g;55,24;11,49;non
Epicerie sucree;Cafe;AUCHAN Capsule de café espresso intense intensité 10 compatible Nespresso;104g;37,40;3,89;non
Epicerie sucree;Cafe;TASSIMO Dosettes de café L'Or espresso café long classique;156g;41,99;6,55;non
Epicerie sucree;Cafe;TASSIMO Dosettes de café L'Or espresso café long intense;128g;35,08;4,49;non
Epicerie sucree;Cafe;TASSIMO Dosettes de café L'Or espresso petit déjeuner classique;199g;33,12;6,59;non
Epicerie sucree;Cafe;TASSIMO Dosettes de café L'Or espresso classique;104g;44,90;4,49;non
Epicerie sucree;Cafe;TASSIMO Dosettes de café L'Or espresso cappuccino;267,2g;16,82;4,49;non
Epicerie sucree;Cafe;TASSIMO Dosettes de café Grand'Mère petit déj';133g;29,92;3,95;non
Epicerie sucree;Cafe;TASSIMO Dosettes de café L'Or espresso XL classique;136g;34,19;4,65;non
Epicerie sucree;Cafe;TASSIMO Dosettes de café Maxwell House machiato gôut caramel;268g;20,71;5,55;non
Epicerie sucree;Cafe;TASSIMO Dosettes de café L'Or espresso décaféiné;106g;44,29;4,65;non
Epicerie sucree;Cafe;TASSIMO Dosettes de café L'Or espresso splendente;104g;41,52;4,65;non
Epicerie sucree;Cafe;TASSIMO Dosettes de café Grand'Mère espresso;104g;37,98;3,95;non
