categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes;CASINO BIO Avocats - Cat.2 - Biologique;x2;3,49€;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Betteraves - Cat. 2 - Biologique;500g ;3,18€/KG;1,59€;non
Fruits et légumes;Légumes;CASINO BIO Pomme de terre de consommation - Variété à chair ferme - Cat. 2 - Cal. 35/55 – Biologique - Non traité;1,5kg ;2,66€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Tomate - Variété cerise allongée - Cat. 2 - Biologique;250g ;10,36€/KG;2,59€;non
Fruits et légumes;Légumes; Aubergines - Cat. 1;De 800g à 1kg ;3,49€/KG;3,49€;non
Fruits et légumes;Légumes; Ail blanc - Cat. 1;De 400g à 500g ;10€/KG;5€;non
Fruits et légumes;Légumes; Ail blanc 3 têtes - Cat. 1;La pièce ;14,95€/KG;2,99€;non
Fruits et légumes;Légumes; Carotte - Cat. 1;1,5kg ;1,06€/KG;1,59€;non
Fruits et légumes;Légumes; Carottes - Cat. 1;De 800g à 1kg ;1,09€/KG;1,09€;non
Fruits et légumes;Légumes; Champignon de Paris - Sans résidu de pesticides - Cat. 1;500g ;6,98€/KG;3,49€;non
Fruits et légumes;Légumes; Champignons blancs - Cat. 1;250g ;3,96€/KG;0,99€;non
Fruits et légumes;Légumes; Champignons blancs géants - Cat. 1;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes; Chou blanc - Cat. 1;La pièce;2,29€;2,29€;non
Fruits et légumes;Légumes; Chou vert frisé - Cat. 1;La pièce;2,29€;2,29€;non
Fruits et légumes;Légumes; Brocoli - Cat. 1;500g ;3,58€/KG;1,79€;non
Fruits et légumes;Légumes; Chou-Fleur gros - Cat. 1;La pièce;2,39€;2,39€;non
Fruits et légumes;Légumes;DOREOC Pomme de terre de consommation - Variété spéciale frites - Filet  - Cat. 2 - Cal. 50/70 - Traité contre la germination;2kg ;1,40€/KG;2,79€;non
Fruits et légumes;Légumes; Pommes de terre de consommation - Variété à chair ferme - Cat. 1 - Cal. +45 - Traité contre la germination;De 800g à 1kg ;1,79€/KG;1,79€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation - Variété à chair ferme - Cat. 1 - Cal. 35/45 - sachet micro-ondable - Traité contre la germination;750g ;1,32€/KG;0,99€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation - Variété cuisson vapeur - Filet - Cat. 1 - Cal. 35/55 - Traité contre la germination;2,5kg ;1,60€/KG;3,99€;non
Fruits et légumes;Légumes; Courgettes vrac - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
