categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes;CASINO BIO Aubergine - Cat. 2 - Biologique;500g ;6,58€/KG;3,29€;non
Fruits et légumes;Légumes;CASINO BIO Avocats - Cat.2 - Biologique;x2;3,49€;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Betteraves - Cat. 2 - Biologique;500g ;3,18€/KG;1,59€;non
Fruits et légumes;Légumes; Brocoli - Cat. 2 - Biologique;500g ;6,48€/KG;2,59€;non
Fruits et légumes;Légumes;CASINO BIO Concombre - Cat. 2 - Biologique;La pièce;1,99€;1,99€;non
Fruits et légumes;Légumes;CASINO BIO Courgettes - Cat. 2 - Biologique;1kg ;6,49€/KG;6,49€;non
Fruits et légumes;Légumes;CASINO BIO Ail - Cat. 2 - Biologique;250g ;19,96€/KG;4,99€;non
Fruits et légumes;Légumes;CASINO BIO Echalotes traditionnelles longue - Cat. 2 - Biologique;250g ;10,36€/KG;2,59€;non
Fruits et légumes;Légumes;CASINO BIO Blanc de poireau - Cat. 2 - Biologique;400g ;8,73€/KG;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Poivrons tricolores - Cat.2 - Biologique;x3 ;7,98€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Pomme de terre de consommation - Variété à chair tendre - Cat. 2 - Cal. 35/65 – Biologique - Non traité;1.5kg ;2,66€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Tomate - Variété cerise allongée - Cat. 2 - Biologique;250g ;10,36€/KG;2,59€;non
Fruits et légumes;Légumes; Gingembre - Cat. 1;De 200g à 300g ;6,50€/KG;1,95€;non
Fruits et légumes;Légumes; Aubergines - Cat. 1;De 800g à 1kg ;3,49€/KG;3,49€;non
Fruits et légumes;Légumes; Ail blanc - Cat. 1;De 400g à 500g ;10€/KG;5€;non
Fruits et légumes;Légumes; Rutabaga - Légume ancien - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Légumes; Blanc de poireaux - Cat. 1;500g ;5,98€/KG;2,99€;non
Fruits et légumes;Légumes; Carotte - Cat. 1;1,5kg ;1,06€/KG;1,59€;non
Fruits et légumes;Légumes; Carotte - Sans résidu de pesticides - Cat. 2;750g ;2,12€/KG;1,59€;non
Fruits et légumes;Légumes; Carottes - Cat. 1;De 800g à 1kg ;1,09€/KG;1,09€;non
Fruits et légumes;Légumes; Carottes sable - Cat. 1;De 800g à 1kg ;1,49€/KG;1,49€;non
Fruits et légumes;Légumes; Champignons blancs - Cat. 1;250g ;3,96€/KG;0,99€;non
Fruits et légumes;Légumes; Champignons blancs émincés - Cat 1;200g ;11,45€/KG;2,29€;non
Fruits et légumes;Légumes; Champignons blancs géants - Cat. 1;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes; Chou blanc - Cat. 1;La pièce;2,29€;2,29€;non
Fruits et légumes;Légumes; Chou blanc - Choudou - Cat. 1;x1;3,49€;3,49€;non
Fruits et légumes;Légumes; Chou vert frisé - Cat. 1;La pièce;2,29€;2,29€;non
Fruits et légumes;Légumes; Brocoli - Cat. 1;500g ;3,58€/KG;1,79€;non
Fruits et légumes;Légumes; Chou-Fleur gros - Cat. 1;La pièce;2,39€;2,39€;non
Fruits et légumes;Légumes; Haricots coco plat - Cat. 2;De 400g à 500g ;5€/KG;2,50€;non
Fruits et légumes;Légumes; Pomme de terre de consommation - Variété Agata- Cat. 1 - Cal. 50/70 - Traité contre la germination ;5kg ;1,10€/KG;5,49€;non
Fruits et légumes;Légumes;DOREOC Pomme de terre de consommation - Variété spéciale frites - Filet  - Cat. 2 - Cal. 50/70 - Traité contre la germination;2kg ;1,40€/KG;2,79€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation - Variété à chair ferme - Cat. 1 - Cal. 35/45 - sachet micro-ondable - Traité contre la germination;750g ;1,32€/KG;0,99€;non
Fruits et légumes;Légumes; Pommes de terre de consommation - Variété à chair ferme - Sans résidu de pesticides - Cat. 1 - Cal. 35/55;1,5kg ;2,33€/KG;3,49€;non
Fruits et légumes;Légumes; Pommes de terre de consommation - Variété Amandine - Cat. 1 - Cal. 35/55 - Traité contre la germination;2kg ;1,10€/KG;2,19€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation - Variété cuisson au Four - Filet - Cat. 1 - Cal. 50/70 - Traité contre la germination;2,5kg ;1,52€/KG;3,79€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation - Variété cuisson vapeur - Filet - Cat. 1 - Cal. 35/55 - Traité contre la germination;2,5kg ;1,60€/KG;3,99€;non
