categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes; Aubergines - Cat. 1;De 800g à 1kg ;3,49€/KG;3,49€;oui
Fruits et légumes;Légumes; Carotte - Cat. 1;3kg ;1€/KG;2,99€;oui
Fruits et légumes;Légumes; Champignon blanc - Cat.1;1kg ;4,99€/KG;4,99€;oui
Fruits et légumes;Légumes; Pomme de terre de consommation - Variété Agata- Cat. 1 - Cal. 50/70 - Traité contre la germination ;5kg ;1,10€/KG;5,49€;oui
Fruits et légumes;Légumes; Pomme de terre de consommation à chair ferme lavée - Variété Agatha - Cat 1 - Cal  40+;10kg ;0,60€/KG;5,99€;oui
Fruits et légumes;Légumes; Courgettes vrac - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Légumes; Oignon jaune - Cat. 1;5kg ;0,80€/KG;3,99€;non
Fruits et légumes;Légumes; Asperges blanches - Cat. 1;De 400g à 600g ;9,98€/KG;5,99€;non
Fruits et légumes;Légumes; Avocat Hass - Pré-mûris;x5;3,99€;3,99€;non
Fruits et légumes;Légumes; Tomate côtelée noire de Crimée - Cat. 2;De 800g à 1kg ;4,79€/KG;4,79€;non
Fruits et légumes;Légumes; Tomate saveur d'antan - Cat. 1;1,5kg ;5,99€/KG;8,99€;oui
Fruits et légumes;Légumes; Tomate cerise allongée - Cat. 1;1kg ;7,99€/KG;7,99€;oui
Fruits et légumes;Légumes;CASINO Tomate cocktail grappe - Sans résidu de pesticides - Cat. 1;500g ;7,58€/KG;3,79€;oui
Fruits et légumes;Légumes; Tomate ronde - Variété Grappe - Cat. 1;De 800g à 1kg ;3,79€/KG;3,79€;oui
Fruits et légumes;Légumes;FLORETTE Plateau apéro;600g ;9,98€/KG;5,99€;oui
Fruits et légumes;Légumes;BONDUELLE Jeunes Pousses et Roquette;145g ;14,41€/KG;2,09€;oui
Fruits et légumes;Légumes;LA CONQUETE DES SAVEURS Piment d'Espelette;50g ;199,80€/KG;9,99€;non
Fruits et légumes;Légumes; Basilic frais en pot - Sans résidu de pesticides - Cat. 1;La pièce;3€;3€;oui
Fruits et légumes;Légumes;CASINO BIO Aubergine - Cat. 2 - Biologique;500g ;6,58€/KG;3,29€;non
Fruits et légumes;Légumes;CASINO BIO Avocats - Cat.2 - Biologique;x2;3,49€;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Betteraves - Cat. 2 - Biologique;500g ;3,18€/KG;1,59€;non
Fruits et légumes;Légumes;CASINO BIO Champignons blancs - Cat. 2 - Biologique;200g ;12,45€/KG;2,49€;non
