categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes;CASINO BIO Avocats - Cat.2 - Biologique;x2;4,49€;4,49€;non
Fruits et légumes;Légumes;CASINO BIO Betteraves - Cat. 2 - Biologique;500g ;3,78€/KG;1,89€;non
Fruits et légumes;Légumes; Brocoli - Cat. 2 - Biologique;500g ;7,48€/KG;2,99€;non
Fruits et légumes;Légumes;CASINO BIO Concombre - Cat. 2 - Biologique;La pièce;2,29€;2,29€;non
Fruits et légumes;Légumes;CASINO BIO Courgettes - Cat. 2 - Biologique;1kg ;6,99€/KG;6,99€;non
Fruits et légumes;Légumes;CASINO BIO Ail - Cat. 2 - Biologique;250g ;23,16€/KG;5,79€;non
Fruits et légumes;Légumes;CASINO BIO Poireau botte - Cat.2 - Biologique;500g ;6,98€/KG;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Poivrons tricolores - Cat.2 - Biologique;x3 ;8,98€/KG;4,49€;non
Fruits et légumes;Légumes;CASINO BIO Pomme de terre de consommation - Variété à chair ferme - Cat. 2 - Cal. 35/55 – Biologique - Non traité;1,5kg ;2,99€/KG;4,49€;non
Fruits et légumes;Légumes; Blanc de poireaux - Cat. 1;500g ;6,98€/KG;3,49€;non
Fruits et légumes;Légumes; Carotte - Cat. 1;1,5kg ;1,19€/KG;1,79€;non
Fruits et légumes;Légumes; Carottes fane - Cat. 2;La pièce;2,49€;2,49€;non
Fruits et légumes;Légumes; Champignons blancs - Cat. 1;250g ;5,16€/KG;1,29€;non
Fruits et légumes;Légumes; Chou vert frisé - Cat. 1;La pièce;2,49€;2,49€;non
Fruits et légumes;Légumes; Brocoli - Cat. 1;500g ;3,98€/KG;1,99€;non
Fruits et légumes;Légumes; Chou-Fleur gros - Cat. 1;La pièce;2,29€;2,29€;non
Fruits et légumes;Légumes;DOREOC Pomme de terre de consommation - Variété spéciale frites - Filet  - Cat. 2 - Cal. 50/70 - Traité contre la germination;2kg ;1,50€/KG;2,99€;non
Fruits et légumes;Légumes; Pommes de terre de consommation - Variété Amandine - Cat. 1 - Cal. 35/55 - Traité contre la germination;2kg ;2,50€/KG;4,99€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation - Variété cuisson vapeur - Filet - Cat. 1 - Cal. 35/55 - Traité contre la germination;2,5kg ;1,60€/KG;3,99€;non
Fruits et légumes;Légumes; Pommes de terre de consommation - Variété Filet - Cat. 1 - Cal. +40 - Traité contre la germination ;2,5kg ;1,40€/KG;3,49€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation à chair ferme - Variété Amandine - Cat. 1 - Cal. 28/42 sachet micro-ondable - Traité contre la germination;500g ;1,98€/KG;0,99€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation rouge - Variété cuisson Vapeur - Filet - Cat. 1 - Cal. 35/55 - Traité contre la germination;2,5kg ;1,60€/KG;3,99€;non
Fruits et légumes;Légumes;VAJOU Echalotes traditionnelles longues - Sans résidu de pesticides - Cat. 1;250g ;11,96€/KG;2,99€;non
Fruits et légumes;Légumes;PRIMEALE Epinard teen sachet - Cat. 1;400g ;5€/KG;2€;non
Fruits et légumes;Légumes; Oignon jaune - Cat. 1;2kg ;1,50€/KG;2,99€;non
Fruits et légumes;Légumes;FERME DE FONTENAY Oignons jaunes - Cat. 1;1kg ;1,89€/KG;1,89€;non
Fruits et légumes;Légumes;FERME DE FONTENAY Oignons jaunes - Sans résidu de pesticides - Cat. 1;800g ;3,36€/KG;2,69€;non
Fruits et légumes;Légumes; Aillet botte - x4 - Cat.1 - France;La pièce;2,25€;2,25€;non
Fruits et légumes;Légumes; Oignons blancs - Botte - Cat.1;La pièce;2,29€;2,29€;non
Fruits et légumes;Légumes; Poivron tricolore - Cat. 1;500g ;6,98€/KG;3,49€;non
Fruits et légumes;Légumes; Asperge Verte - Cat. 1;500g ;11,98€/KG;5,99€;non
Fruits et légumes;Légumes; Asperges violettes - Cat. 1;500g ;11,98€/KG;5,99€;non
Fruits et légumes;Légumes; Avocat Hass - Pré-mûris - Cat. 1;La pièce;0,89€;0,89€;non
Fruits et légumes;Légumes; Betterave cuite - Cat.1 - Sans résidu de pesticides;500g ;1,98€/KG;0,99€;non
Fruits et légumes;Légumes; Betteraves cuites - Cat.1;225g ;6,62€/KG;1,49€;non
Fruits et légumes;Légumes; Cèleri rave - Cat. 1;La pièce;2,79€;2,79€;non
Fruits et légumes;Légumes; Concombre - Cat. 1;La pièce;1,79€;1,79€;non
Fruits et légumes;Légumes; Radis noir - Cat.1;La pièce;2€;2€;non
Fruits et légumes;Légumes; Radis botte - Cat. 1;La pièce;1,79€;1,79€;non
Fruits et légumes;Légumes; Salade cresson - Cat. 1;150g ;15,27€/KG;2,29€;non
Fruits et légumes;Légumes; Salade - Scarole - Cat. 1;La pièce;2,99€;2,99€;non
Fruits et légumes;Légumes; Salade frisée - Cat. 1;La pièce;2,99€;2,99€;non
Fruits et légumes;Légumes; Salade mâche - Cat. 1;125g ;7,92€/KG;0,99€;non
Fruits et légumes;Légumes; Salade - Variété Laitue - Cat. 1;La pièce;1,50€;1,50€;non
Fruits et légumes;Légumes; Salade Batavia - Cat. 1;La pièce;1,50€;1,50€;non
Fruits et légumes;Légumes; Salade Feuille de chêne blonde - Cat. 1;La pièce;1,50€;1,50€;non
Fruits et légumes;Légumes; Salade feuille de chêne brune - Cat. 1;La pièce;1,50€;1,50€;non
Fruits et légumes;Légumes; Salade Sucrine - Cat. 1;x3;1,29€;1,29€;non
Fruits et légumes;Légumes; Tomates cerises allongées - Sans résidu de pesticides - Cat. 1;250g ;15,96€/KG;3,99€;non
Fruits et légumes;Légumes;SAVEOL Tomates cerises méli mélo - Sans résidu de pesticides - Cat. 1;350g ;13,69€/KG;4,79€;non
Fruits et légumes;Légumes; Tomates cerises rondes - Sans résidu de pesticides - Cat. 1;250g ;15,96€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO Tomate cocktail grappe - Sans résidu de pesticides - Cat. 1;500g ;9,98€/KG;4,99€;non
Fruits et légumes;Légumes;CASINO Coeur de laitue;200g ;8,75€/KG;1,75€;non
Fruits et légumes;Légumes;LES CRUDETTES Cœur de Scarole;150g ;18,67€/KG;2,80€;non
Fruits et légumes;Légumes;CASINO Feuille de chêne blonde;125g ;12,72€/KG;1,59€;non
Fruits et légumes;Légumes;CASINO Frisée 100% cœur;200g ;9,95€/KG;1,99€;non
Fruits et légumes;Légumes;CASINO Jeunes pousses tendres;125g ;14€/KG;1,75€;non
Fruits et légumes;Légumes;CASINO Mâche;125g ;13,20€/KG;1,65€;non
Fruits et légumes;Légumes;TOUS LES JOURS Salade mélangé;300g ;3,33€/KG;1€;non
Fruits et légumes;Légumes;CASINO BIO Carotte - Cat. 2 - Biologique;1kg ;2,59€/KG;2,59€;non
Fruits et légumes;Légumes;LES HERBES DU PERUSSIER Basilic frais - Cat. 1;15g ;66€/KG;0,99€;non
Fruits et légumes;Légumes;LES HERBES DU PERUSSIER Menthe fraîche - Cat. 1;15g ;66€/KG;0,99€;non
Fruits et légumes;Légumes; Persil frisé - Botte - Cat. 1;La pièce;1,49€;1,49€;non
Fruits et légumes;Fruits;CASINO BIO Banane Max Havelaar - Cat. 2 - Biologique;x5 ;3,84€/KG;2,69€;non
Fruits et légumes;Fruits;CASINO BIO Citron - Cat. 2  - Biologique;500g ;5,58€/KG;2,79€;non
Fruits et légumes;Fruits; Citron - Cat. 2 - Biologique;La pièce ;5,93€/KG;0,89€;non
Fruits et légumes;Fruits;CASINO BIO Orange - Cat. 2 - Biologique;1kg ;2,99€/KG;2,99€;non
Fruits et légumes;Fruits;CASINO BIO Pommes - Variété Juliet - Cat. 2 - Biologique;x4;3,99€;3,99€;non
Fruits et légumes;Fruits; Pommes Canada - Cat.2 - Biologique;x4 ;7,38€/KG;3,69€;non
Fruits et légumes;Fruits;CASINO BIO Pommes jaunes - Cat. 2 - Biologique;x4;3,69€;3,69€;non
Fruits et légumes;Fruits; Melon Charentais vert - Cat. 1;La pièce;4,49€;4,49€;non
Fruits et légumes;Fruits;CASINO Citrons - Cat. 1;De 400g à 500g ;2,80€/KG;1,40€;non
Fruits et légumes;Fruits; Citrons Star - Cat. 1;500g ;5,18€/KG;2,59€;non
Fruits et légumes;Fruits; Fraise - Variété Gariguette - Cat. 1;250g ;15,96€/KG;3,99€;non
Fruits et légumes;Fruits; Fraises - Cat. 1;500g ;6,98€/KG;3,49€;non
Fruits et légumes;Fruits; Kiwi - Cat. 1;La pièce;0,29€;0,29€;non
Fruits et légumes;Fruits; Kiwi - Cat. 2;1kg ;4,49€/KG;4,49€;non
Fruits et légumes;Fruits; Kiwi Gold - Cat.1;La pièce;0,99€;0,99€;non
Fruits et légumes;Fruits; Mandarines Nadorcott - Cat.1;1,5kg ;3,19€/KG;4,79€;non
Fruits et légumes;Fruits;TERRE D'AGRUMES Oranges - Variété Naveline - Cat. 1;2kg ;1,90€/KG;3,79€;non
Fruits et légumes;Fruits; Orange à jus - Cat.1;2kg ;1,90€/KG;3,79€;non
Fruits et légumes;Fruits; Pomelos rose - Cat.1;La pièce;1,59€;1,59€;non
Fruits et légumes;Fruits; Framboises - Cat. 1;125g ;27,92€/KG;3,49€;non
Fruits et légumes;Fruits; Pommes - Variété Golden - Cat. 1;2kg ;1,50€/KG;2,99€;non
Fruits et légumes;Fruits;CASINO Arachide coque;500g ;5,90€/KG;2,95€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Chouchou - Cacahuètes sucrées - Bocal;500g ;12,08€/KG;6,04€;non
Fruits et légumes;Fruits;CASINO Noix de pécan;125g ;31,60€/KG;3,95€;non
Fruits et légumes;Fruits;SEEBERGER Mendiant de luxe - Assortiment de noix et raisins secs;150g ;26,33€/KG;3,95€;non
Fruits et légumes;Fruits;WONDERFUL Pistaches - Grillées et salées - Sachet;250g ;26,08€/KG;6,52€;non
Fruits et légumes;Fruits;CASINO Pause harmony - Mélange de fruits secs - Amande noisette pomme cerise;250g ;18€/KG;4,50€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Amandes - Décortiquées;250g ;23,60€/KG;5,90€;non
Fruits et légumes;Fruits;SEEBERGER Amandes - Décortiquées;200g ;30,25€/KG;6,05€;non
Fruits et légumes;Fruits;CASINO Amandes décortiquées;125g ;17,52€/KG;2,19€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Amandes en poudre;200g ;25,25€/KG;5,05€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Cuisine - Amandes émondées;250g ;15,60€/KG;3,90€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Festif - Gingembre - Lamelles;200gr ;17,25€/KG;3,45€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Pâte d'amande - Tricolore;250g ;9,20€/KG;2,30€;non
Fruits et légumes;Fruits; Raisin de corinthe;250g ;10,76€/KG;2,69€;non
Fruits et légumes;Fruits;SUN Raisins golden;300g ;10,33€/KG;3,10€;non
Fruits et légumes;Fruits;CASINO Cranberrie;125g ;17,20€/KG;2,15€;non
Fruits et légumes;Fruits;DACO BELLO Mix cranberries - Amandes et noix de pécan;350g ;17,97€/KG;6,29€;non
Fruits et légumes;Fruits;CASINO Pignons de pin;125g ;59,92€/KG;7,49€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Cuisine - Noisettes - Décortiquées;250g ;26,80€/KG;6,70€;non
Fruits et légumes;Fruits;CASINO Abricots moelleux;250g ;10,36€/KG;2,59€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Abricots moelleux;250g ;16,60€/KG;4,15€;non
Fruits et légumes;Fruits;CASINO Abricots secs;250g ;14€/KG;3,50€;non
Fruits et légumes;Fruits;CASINO BIO Abricots secs - Biologique;250g ;15,80€/KG;3,95€;non
Fruits et légumes;Fruits;CASINO Duo de raisins moelleux;250g ;11,40€/KG;2,85€;non
Fruits et légumes;Fruits;CASINO Dattes;500g ;5,70€/KG;2,85€;non
Fruits et légumes;Fruits;CASINO BIO Dattes - Deglet nour - Dénoyautées - Biologique;250g ;12€/KG;3€;non
Fruits et légumes;Fruits;CASINO BIO Figues sèches - Biologique;250g ;18€/KG;4,50€;non
Fruits et légumes;Fruits;CASINO Figues moelleuses;250g ;11,80€/KG;2,95€;non
Fruits et légumes;Fruits;CASINO Figues moelleuses;500g ;13,20€/KG;6,60€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Plaisir - Prun' orange;500g ;9,50€/KG;4,75€;non
Fruits et légumes;Fruits;MAISON ROUCADIL Pruneaux d'Agen dénoyautés;500g ;10,60€/KG;5,30€;non
Fruits et légumes;Fruits;MAISON ROUCADIL Pruneaux d'Agen dénoyautés;1kg ;10,69€/KG;10,69€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Pruneaux d'Agen dénoyautés - Calibre 44/55;500g ;12,50€/KG;6,25€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Pruneaux d'Agen dénoyautés - Calibre 44/55;1kg ;10,99€/KG;10,99€;non
Fruits et légumes;Fruits;CASINO Pruneaux d'Agen géants dénoyautés;2x250g ;10,80€/KG;5,40€;non
Fruits et légumes;Fruits;MAISON ROUCADIL Pruneaux dénoyautés;250g ;21,96€/KG;5,49€;non
Fruits et légumes;Fruits;CASINO BIO Pruneaux d'Agen - Biologique;250g ;12,60€/KG;3,15€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Pruneaux d'agen;500g ;10,70€/KG;5,35€;non
