categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes;CASINO BIO Avocats - Cat.2 - Biologique;x2;4,49€;4,49€;non
Fruits et légumes;Légumes;CASINO BIO Poivrons tricolores - Cat.2 - Biologique;x3 ;9,18€/KG;4,59€;non
Fruits et légumes;Légumes; Pommes de terre grenaille - Cat. 2 – Biologique - Non traité;1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Légumes; Tomate allongée - Cat. 2 - Biologique;500g;3,79€;3,79€;non
Fruits et légumes;Légumes; Aubergines - Cat. 1;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes; Ail blanc 3 têtes - Cat. 1;La pièce ;14,95€/KG;2,99€;non
Fruits et légumes;Légumes; Ail violet - Cat. 1;De 400g à 500g ;7,50€/KG;3,75€;non
Fruits et légumes;Légumes; Blanc de poireaux - Cat. 1;500g ;7,58€/KG;3,79€;non
Fruits et légumes;Légumes; Blettes - Cat. 1;De 800g à 1kg ;3,50€/KG;3,50€;non
Fruits et légumes;Légumes; Carotte - Cat. 1;1,5kg ;1,19€/KG;1,79€;non
Fruits et légumes;Légumes; Carottes - Cat. 1;De 800g à 1kg ;1,29€/KG;1,29€;non
Fruits et légumes;Légumes; Carottes sable - Cat. 1;De 800g à 1kg ;2,59€/KG;2,59€;non
Fruits et légumes;Légumes; Champignon Pleurote - Cat. 1;200g ;19,95€/KG;3,99€;non
Fruits et légumes;Légumes; Champignons blancs - Cat. 1;250g ;5,16€/KG;1,29€;non
Fruits et légumes;Légumes; Chou blanc - Cat. 1;La pièce;2,59€;2,59€;non
Fruits et légumes;Légumes; Brocoli - Cat. 1;500g ;3,58€/KG;1,79€;non
Fruits et légumes;Légumes; Chou-Fleur gros - Cat. 1;La pièce;2,79€;2,79€;non
Fruits et légumes;Légumes;DOREOC Pomme de terre de consommation - Variété spéciale frites - Filet  - Cat. 2 - Cal. 50/70 - Traité contre la germination;2kg ;1,50€/KG;2,99€;non
Fruits et légumes;Légumes; Pommes de terre de consommation - Variété à chair ferme - Cat. 1 - Cal. +45 - Traité contre la germination;De 800g à 1kg ;2,19€/KG;2,19€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation - Variété à chair ferme - Cat. 1 - Cal. 35/45 - sachet micro-ondable - Traité contre la germination;750g ;1,32€/KG;0,99€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation - Variété cuisson vapeur - Filet - Cat. 1 - Cal. 35/55 - Traité contre la germination;2,5kg ;1,80€/KG;4,49€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation à chair ferme - Variété Amandine - Cat. 1 - Cal. 28/42 sachet micro-ondable - Traité contre la germination;500g ;1,98€/KG;0,99€;non
Fruits et légumes;Légumes; Courgettes vrac - Cat. 1;De 800g à 1kg ;5,99€/KG;5,99€;non
Fruits et légumes;Légumes;PRIMEALE Epinard teen sachet - Cat. 1;400g ;5€/KG;2€;non
Fruits et légumes;Légumes; Fenouil - Cat. 1;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes; Navets blancs - Cat. 1;De 800g à 1kg ;3,49€/KG;3,49€;non
Fruits et légumes;Légumes; Navet plat primeur - Cat. 1;De 400g à 500g ;3,50€/KG;1,75€;non
Fruits et légumes;Légumes; Oignons de Roscoff - Cat. 1;De 400g à 500g ;2,96€/KG;1,48€;non
Fruits et légumes;Légumes; Oignon jaune - 4 têtes - Sans résidu de pesticides - Cat.1;x4 ;6,98€/KG;3,49€;non
Fruits et légumes;Légumes;FERME DE FONTENAY Oignons jaunes - Cat. 1;1kg ;1,99€/KG;1,99€;non
Fruits et légumes;Légumes; Oignons jaunes - Cat. 1;De 800g à 1kg ;2,69€/KG;2,69€;non
Fruits et légumes;Légumes; Oignon rouge - Sans résidu de pesticides - Cat.1;x3 ;10,26€/KG;3,59€;non
