categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes;CASINO BIO Courgettes - Cat. 2 - Biologique;1kg ;6,49€/KG;6,49€;non
Fruits et légumes;Légumes;CASINO BIO Pomme de terre de consommation - Variété à chair ferme - Cat. 2 - Cal. 35/55 – Biologique - Non traité;1,5kg ;2,66€/KG;3,99€;non
Fruits et légumes;Légumes; Ail blanc - Cat. 1;De 400g à 500g ;10€/KG;5€;non
Fruits et légumes;Légumes; Ail blanc 3 têtes - Cat. 1;La pièce ;14,95€/KG;2,99€;non
Fruits et légumes;Légumes; Carotte - Cat. 1;1,5kg ;1,06€/KG;1,59€;non
Fruits et légumes;Légumes; Carottes - Cat. 1;De 800g à 1kg ;1,09€/KG;1,09€;non
Fruits et légumes;Légumes; Champignons blancs - Cat. 1;250g ;3,96€/KG;0,99€;non
Fruits et légumes;Légumes; Champignons blancs géants - Cat. 1;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes; Chou-Fleur gros - Cat. 1;La pièce;2,39€;2,39€;non
Fruits et légumes;Légumes;DOREOC Pomme de terre de consommation - Variété spéciale frites - Filet  - Cat. 2 - Cal. 50/70 - Traité contre la germination;2kg ;1,40€/KG;2,79€;non
Fruits et légumes;Légumes; Pommes de terre de consommation - Variété à chair ferme - Cat. 1 - Cal. +45 - Traité contre la germination;De 800g à 1kg ;1,79€/KG;1,79€;non
Fruits et légumes;Légumes; Pommes de terre de consommation - Variété Amandine - Cat. 1 - Cal. 35/55 - Traité contre la germination;2kg ;1,10€/KG;2,19€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation - Variété cuisson vapeur - Filet - Cat. 1 - Cal. 35/55 - Traité contre la germination;2,5kg ;1,60€/KG;3,99€;non
Fruits et légumes;Légumes; Pommes de terre de consommation - Variété Filet - Cat. 1 - Cal. +40 - Traité contre la germination ;2,5kg ;1,08€/KG;2,69€;non
Fruits et légumes;Légumes; Courgettes vrac - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Légumes; Echalotes traditionnelles longues - Cat. 1;De 800g à 1kg ;5,99€/KG;5,99€;non
Fruits et légumes;Légumes;VAJOU Echalotes traditionnelles longues - Sans résidu de pesticides - Cat. 1;250g ;9,96€/KG;2,49€;non
Fruits et légumes;Légumes;PRIMEALE Epinard teen sachet - Cat. 1;400g ;5€/KG;2€;non
Fruits et légumes;Légumes; Navet plat primeur - Cat. 1;De 400g à 500g ;2,60€/KG;1,30€;non
Fruits et légumes;Légumes; Oignon jaune - 4 têtes - Sans résidu de pesticides - Cat.1;x4 ;5,58€/KG;2,79€;non
Fruits et légumes;Légumes;FERME DE FONTENAY Oignons jaunes - Cat. 1;1kg ;1,59€/KG;1,59€;non
Fruits et légumes;Légumes; Oignons blancs - Botte - Cat.1;La pièce;1,99€;1,99€;non
Fruits et légumes;Légumes; Poireaux - Cat. 1;De 800g à 1kg ;1,29€/KG;1,29€;non
Fruits et légumes;Légumes; Poivron tricolore - Cat. 1;500g ;5,58€/KG;2,79€;non
Fruits et légumes;Légumes; Poivron rouge - Cat. 1;De 800g à 1kg ;4,79€/KG;4,79€;non
Fruits et légumes;Légumes; Patates douces - Cat. 1;De 800g à 1kg ;2,49€/KG;2,49€;non
Fruits et légumes;Légumes; Artichaut blanc - Variété cardinal - Cat. 1;La pièce;2,49€;2,49€;non
Fruits et légumes;Légumes; Asperges violettes - Cat. 1;500g ;13,98€/KG;6,99€;non
Fruits et légumes;Légumes; Avocat Hass - Pré-mûris - Cat. 1;La pièce;1,59€;1,59€;non
Fruits et légumes;Légumes; Betterave cuite - Cat.1 - Sans résidu de pesticides;500g ;1,98€/KG;0,99€;non
Fruits et légumes;Légumes; Cèleri vert en branche - Cat. 1;De 800g à 1kg ;2,99€/KG;2,99€;non
Fruits et légumes;Légumes; Concombre - Cat. 1;La pièce;1,69€;1,69€;non
Fruits et légumes;Légumes; Radis botte - Cat. 1;La pièce;1,59€;1,59€;non
Fruits et légumes;Légumes; Endives - Cat. 1;De 800g à 1kg ;2,39€/KG;2,39€;non
Fruits et légumes;Légumes; Salade jeunes pousses mélange - Cat. 1;100g ;9,90€/KG;0,99€;non
Fruits et légumes;Légumes; Salade mâche - Cat. 1;125g ;7,92€/KG;0,99€;non
Fruits et légumes;Légumes; Salade - Variété Laitue - Cat. 1;La pièce;1,49€;1,49€;non
Fruits et légumes;Légumes; Salade Batavia - Cat. 1;La pièce;1,49€;1,49€;non
Fruits et légumes;Légumes; Salade Feuille de chêne blonde - Cat. 1;La pièce;1,49€;1,49€;non
Fruits et légumes;Légumes; Salade laitue - Variété Iceberg - Cat. 1;La pièce;0,99€;0,99€;non
Fruits et légumes;Légumes; Salade Sucrine - Cat. 1;x3;0,99€;0,99€;non
Fruits et légumes;Légumes; Tomates cerises allongées - Sans résidu de pesticides - Cat. 1;250g ;13,96€/KG;3,49€;non
Fruits et légumes;Légumes; Tomate ronde - Variété Grappe - Cat. 1;De 800g à 1kg ;3,79€/KG;3,79€;non
Fruits et légumes;Légumes; Tomates rondes - Cat. 1;De 800g à 1kg ;5,49€/KG;5,49€;non
Fruits et légumes;Fruits; Ananas Extra Sweet - Cat. 1;La pièce;0,99€;0,99€;oui
Fruits et légumes;Fruits;CASINO BIO Banane Max Havelaar - Cat. 2 - Biologique;x5 ;3,27€/KG;2,29€;non
Fruits et légumes;Fruits;CASINO BIO Citron - Cat. 2  - Biologique;500g ;3,58€/KG;1,79€;non
Fruits et légumes;Fruits;CASINO BIO Clémentines - Cat.2 - Biologique;500g ;6,98€/KG;3,49€;non
Fruits et légumes;Fruits; Bananes - Cat. 1;De 800g à 1kg ;1,89€/KG;1,89€;non
Fruits et légumes;Fruits; Melon charentais vert - Cat. 1;La pièce;1,79€;1,79€;non
Fruits et légumes;Fruits;CASINO Citrons - Cat. 1;De 400g à 500g ;3,50€/KG;1,75€;non
Fruits et légumes;Fruits; Citrons Star - Cat. 1;500g ;4,38€/KG;2,19€;non
