categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes;CASINO BIO Avocats - Cat.2 - Biologique;x2;3,49€;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Betteraves - Cat. 2 - Biologique;500g ;3,18€/KG;1,59€;non
Fruits et légumes;Légumes;CASINO BIO Champignons blancs - Cat. 2 - Biologique;200g ;12,45€/KG;2,49€;non
Fruits et légumes;Légumes;CASINO BIO Concombre - Cat. 2 - Biologique;La pièce;1,99€;1,99€;non
Fruits et légumes;Légumes;CASINO BIO Courgettes - Cat. 2 - Biologique;1kg ;6,49€/KG;6,49€;non
Fruits et légumes;Légumes;CASINO BIO Blanc de poireau - Cat. 2 - Biologique;400g ;8,73€/KG;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Poivrons tricolores - Cat.2 - Biologique;x3 ;7,98€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Patate douce - Cat. 2 - Biologique;500g ;7,38€/KG;3,69€;non
Fruits et légumes;Légumes;CASINO BIO Pomme de terre de consommation - Variété à chair ferme - Cat. 2 - Cal. 35/55 – Biologique - Non traité;1,5kg ;2,66€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Tomate - Variété cerise allongée - Cat. 2 - Biologique;250g ;10,36€/KG;2,59€;non
Fruits et légumes;Légumes;CASINO BIO Tomates - Variété ronde en grappe - Cat. 2 - Biologique;600g ;6,65€/KG;3,99€;non
Fruits et légumes;Légumes; Gingembre - Cat. 1;De 200g à 300g ;6,50€/KG;1,95€;non
Fruits et légumes;Légumes; Aubergines - Cat. 1;De 800g à 1kg ;3,49€/KG;3,49€;non
Fruits et légumes;Légumes; Ail blanc - Cat. 1;De 400g à 500g ;10€/KG;5€;non
Fruits et légumes;Légumes; Blanc de poireaux - Cat. 1;500g ;5,98€/KG;2,99€;non
Fruits et légumes;Légumes; Carotte - Cat. 1;1,5kg ;1,06€/KG;1,59€;non
Fruits et légumes;Légumes; Carotte - Sans résidu de pesticides - Cat. 2;750g ;2,12€/KG;1,59€;non
Fruits et légumes;Légumes; Carottes - Cat. 1;De 800g à 1kg ;1,09€/KG;1,09€;non
Fruits et légumes;Légumes; Carottes fane - Cat. 2;La pièce;1,99€;1,99€;non
Fruits et légumes;Légumes; Champignons blancs - Cat. 1;250g ;3,96€/KG;0,99€;non
Fruits et légumes;Légumes; Champignons blancs géants - Cat. 1;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes; Chou blanc - Cat. 1;La pièce;2,29€;2,29€;non
Fruits et légumes;Légumes; Chou vert frisé - Cat. 1;La pièce;2,29€;2,29€;non
Fruits et légumes;Légumes; Brocoli - Cat. 1;500g ;3,58€/KG;1,79€;non
