categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes;CASINO BIO Avocats - Cat.2 - Biologique;x2;3,69€;3,69€;non
Fruits et légumes;Légumes;CASINO BIO Betteraves - Cat. 2 - Biologique;500g ;3,18€/KG;1,59€;non
Fruits et légumes;Légumes;CASINO BIO Champignons blancs - Cat. 2 - Biologique;200g ;14,95€/KG;2,99€;non
Fruits et légumes;Légumes; Brocoli - Cat. 2 - Biologique;500g ;5,73€/KG;2,29€;non
Fruits et légumes;Légumes;CASINO BIO Courgettes - Cat. 2 - Biologique;1kg ;3,49€/KG;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Ail - Cat. 2 - Biologique;250g ;11,60€/KG;2,90€;non
Fruits et légumes;Légumes;CASINO BIO Echalotes traditionnelles longue - Cat. 2 - Biologique;250g ;7,96€/KG;1,99€;non
Fruits et légumes;Légumes; Maïs - Cat. 2 - Biologique;400g ;9,98€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Oignons jaunes - Cat.2 - Biologique;500g ;4,58€/KG;2,29€;non
Fruits et légumes;Légumes;FERME DE LA MOTTE Oignons Rouges - Cat. 2 - Biologique;500g ;5,50€/KG;2,75€;non
Fruits et légumes;Légumes;CASINO BIO Poivrons tricolores - Cat.2 - Biologique;x3 ;6,58€/KG;3,29€;non
Fruits et légumes;Légumes;CASINO BIO Pomme de terre de consommation - Variété à chair ferme - Cat. 2 - Cal. 35/55 – Biologique - Non traité;1,5kg ;2,13€/KG;3,19€;non
Fruits et légumes;Légumes;CASINO BIO Pomme de terre de consommation - Variété à chair tendre - Cat. 2 - Cal. 35/65 – Biologique - Non traité;1.5kg ;2,13€/KG;3,19€;non
Fruits et légumes;Légumes;CASINO BIO Tomate - Variété cerise allongée - Cat. 2 - Biologique;250g ;9,96€/KG;2,49€;non
Fruits et légumes;Légumes; Gingembre - Cat. 1;De 200g à 300g ;7€/KG;2,10€;non
Fruits et légumes;Légumes; Aubergines - Cat. 1;De 800g à 1kg ;2,99€/KG;2,99€;non
Fruits et légumes;Légumes; Ail blanc - Cat. 1;De 400g à 500g ;6€/KG;3€;non
Fruits et légumes;Légumes; Ail blanc 3 têtes - Cat. 1;La pièce ;7,50€/KG;1,50€;non
Fruits et légumes;Légumes; Blettes - Cat. 1;De 800g à 1kg ;1,99€/KG;1,99€;non
Fruits et légumes;Légumes; Carottes - Cat. 1;De 800g à 1kg ;1,29€/KG;1,29€;non
Fruits et légumes;Légumes; Carottes fane - Cat. 2;La pièce;1,99€;1,99€;non
Fruits et légumes;Légumes; Champignons blancs - Cat. 1;250g ;3,96€/KG;0,99€;non
Fruits et légumes;Légumes; Champignons blancs géants - Cat. 1;De 800g à 1kg ;3,49€/KG;3,49€;non
Fruits et légumes;Légumes; Chou blanc - Cat. 1;La pièce;2,50€;2,50€;non
Fruits et légumes;Légumes; Chou rouge - Cat. 1;La pièce;2,99€;2,99€;non
Fruits et légumes;Légumes; Chou vert frisé - Cat. 1;La pièce;1,99€;1,99€;non
Fruits et légumes;Légumes; Brocoli - Cat. 1;De 800g à 1kg ;2,99€/KG;2,99€;non
Fruits et légumes;Légumes; Chou-Fleur gros - Cat. 1;La pièce;2,99€;2,99€;non
Fruits et légumes;Légumes; Pommes de terre de consommation - Variété à chair ferme - Cat. 1 - Cal. +45 - Traité contre la germination;De 800g à 1kg ;1,49€/KG;1,49€;non
Fruits et légumes;Légumes;DOREOC Pommes de terre de consommation à chair ferme - Variété Amandine - Cat. 1 - Cal. 28/42 sachet micro-ondable - Traité contre la germination;500g ;1,98€/KG;0,99€;non
Fruits et légumes;Légumes; Courgettes vrac - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Légumes;PRIMEALE Epinard teen sachet - Cat. 1;400g ;5€/KG;2€;non
Fruits et légumes;Légumes; Fenouil - Cat. 1;De 800g à 1kg ;2,99€/KG;2,99€;non
Fruits et légumes;Légumes; Maïs doux - Cat 1;x2 ;5,98€/KG;2,99€;non
Fruits et légumes;Légumes; Navet boule d'or - Cat. 1;De 800g à 1kg ;2,49€/KG;2,49€;non
Fruits et légumes;Légumes; Navet plat primeur - Cat. 1;De 400g à 500g ;2,50€/KG;1,25€;non
Fruits et légumes;Légumes;FERME DE FONTENAY Oignons jaunes - Cat. 1;1kg ;1,49€/KG;1,49€;non
Fruits et légumes;Légumes; Oignons jaunes - Cat. 1;De 800g à 1kg ;1,59€/KG;1,59€;non
Fruits et légumes;Légumes; Oignons rouges - Cat. 1;De 800g à 1kg ;2,49€/KG;2,49€;non
Fruits et légumes;Légumes; Oignons blancs - Botte - Cat.1;La pièce;1,49€;1,49€;non
Fruits et légumes;Légumes; Piment vert - Cat. 1;De 200g à 300g ;3€/KG;0,90€;non
Fruits et légumes;Légumes; Poireaux - Cat. 1;De 800g à 1kg ;1,49€/KG;1,49€;non
Fruits et légumes;Légumes; Poivron jaune - Cat. 1;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes; Poivron rouge - Cat. 1;De 800g à 1kg ;4,49€/KG;4,49€;non
Fruits et légumes;Légumes; Poivron Vert - Cat. 1;De 800g à 1kg ;4,49€/KG;4,49€;non
Fruits et légumes;Légumes; Patates douces - Cat. 1;De 800g à 1kg ;2,49€/KG;2,49€;non
Fruits et légumes;Légumes; Haricot vert ébouté - Cat. 2;500g ;11,98€/KG;5,99€;non
Fruits et légumes;Légumes; Artichaut blanc - Variété cardinal - Cat. 1;La pièce;1,99€;1,99€;non
Fruits et légumes;Légumes; Asperge Verte - Cat. 1;500g ;11,98€/KG;5,99€;non
Fruits et légumes;Légumes; Avocat Hass - Pré-mûris - Cat. 1;La pièce;0,89€;0,89€;non
Fruits et légumes;Légumes; Avocats - Murs à Point - Cat. 1;x2;3,99€;3,99€;non
Fruits et légumes;Légumes;KULTIVE Betterave cuite - Sans résidu de pesticides - Cat. 2;500g ;2,58€/KG;1,29€;non
Fruits et légumes;Légumes; Cèleri rave - Cat. 1;La pièce;2,50€;2,50€;non
Fruits et légumes;Légumes; Cèleri vert en branche - Cat. 1;De 800g à 1kg ;1,79€/KG;1,79€;non
Fruits et légumes;Légumes; Concombre - Cat. 1;La pièce;1,49€;1,49€;non
Fruits et légumes;Légumes; Radis noir - Cat.1;La pièce;1,29€;1,29€;non
Fruits et légumes;Légumes; Radis botte - Cat. 1;La pièce;1,79€;1,79€;non
Fruits et légumes;Légumes; Endives - Cat. 1;De 800g à 1kg ;1,79€/KG;1,79€;non
Fruits et légumes;Légumes; Salade - Variété Laitue - Cat. 1;La pièce;1,29€;1,29€;non
Fruits et légumes;Légumes; Salade Batavia - Cat. 1;La pièce;1,29€;1,29€;non
Fruits et légumes;Légumes;LUCAS Salade cœur sucrine - Cat. 2;x6;2,99€;2,99€;non
Fruits et légumes;Légumes; Salade Feuille de chêne blonde - Cat. 1;La pièce;1,29€;1,29€;non
Fruits et légumes;Légumes; Salade feuille de chêne brune - Cat. 1;La pièce;1,29€;1,29€;non
Fruits et légumes;Légumes; Salade laitue - Variété Iceberg - Cat. 1;La pièce;1,39€;1,39€;non
Fruits et légumes;Légumes; Salade Sucrine - Cat. 1;x3;1,29€;1,29€;non
Fruits et légumes;Légumes; Tomate allongée - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Légumes; Tomate côtelée ananas - Cat. 2;De 800g à 1kg ;5,99€/KG;5,99€;non
Fruits et légumes;Légumes; Tomate Côtelée Aumonière - Cat. 2;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes; Tomate côtelée noire de Crimée - Cat. 2;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes; Tomate ronde côtelée rose - Cat.2;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Légumes; Tomate saveurs d'Antan - Cat. 2;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes;SAVEOL Tomates cerises méli mélo - Sans résidu de pesticides - Cat. 1;350g ;8,54€/KG;2,99€;non
Fruits et légumes;Légumes; Tomates cocktail grappe - Cat. 1;De 800g à 1kg ;6,99€/KG;6,99€;non
Fruits et légumes;Légumes; Tomate ronde - Variété Grappe - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Légumes; Tomates rondes - Cat. 1;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes;LUNOR Pommes de terre rondes;500g ;3,10€/KG;1,55€;non
Fruits et légumes;Légumes;BONDUELLE Salade Iceberg - Biologique;175g ;12,86€/KG;2,25€;non
Fruits et légumes;Légumes;FLORETTE Cœur croquant de laitue Agrilogique;150g ;14,60€/KG;2,19€;non
Fruits et légumes;Légumes;CASINO Coeur de laitue;200g ;9,25€/KG;1,85€;non
Fruits et légumes;Légumes;BONDUELLE Feuille de chêne - Biologique;100g ;20,90€/KG;2,09€;non
Fruits et légumes;Légumes;CASINO Feuille de chêne blonde;125g ;13,20€/KG;1,65€;non
Fruits et légumes;Légumes;CASINO Frisée 100% cœur;200g ;10,75€/KG;2,15€;non
Fruits et légumes;Légumes;FLORETTE Roquette - Biologique;100g ;27€/KG;2,70€;non
Fruits et légumes;Légumes;FLORETTE Salade cœur de laitue;200g ;9,65€/KG;1,93€;non
Fruits et légumes;Légumes;FLORETTE Salade Iceberg;300g ;5,63€/KG;1,69€;non
Fruits et légumes;Légumes;FLORETTE Duo mache et pousse epinard;100g ;20,40€/KG;2,04€;non
Fruits et légumes;Légumes;CASINO Jeunes pousses corsées;125g ;15,60€/KG;1,95€;non
Fruits et légumes;Légumes;BONDUELLE Jeunes Pousses et Roquette;145g ;15,79€/KG;2,29€;non
Fruits et légumes;Légumes;CASINO Jeunes pousses tendres;125g ;15,12€/KG;1,89€;non
Fruits et légumes;Légumes;FLORETTE Mâche - Biologique;100g ;24,50€/KG;2,45€;non
Fruits et légumes;Légumes;CASINO Mâche et Roquette;125g ;15,92€/KG;1,99€;non
Fruits et légumes;Légumes;CASINO Maxi mâche;200g ;11,95€/KG;2,39€;non
Fruits et légumes;Légumes;FLORETTE Maxi mâche;270g ;12,04€/KG;3,25€;non
Fruits et légumes;Légumes;CASINO Roquette;100g ;15,90€/KG;1,59€;non
Fruits et légumes;Légumes;FLORETTE Salade Mâche;125g ;15,28€/KG;1,91€;non
Fruits et légumes;Légumes;TOUS LES JOURS Salade mélangé;300g ;4,63€/KG;1,39€;non
Fruits et légumes;Légumes;CASINO BIO Carotte - Cat. 2 - Biologique;1kg ;2,49€/KG;2,49€;non
Fruits et légumes;Légumes; Laurier - Cat. 1;30g ;66,33€/KG;1,99€;non
Fruits et légumes;Légumes; Thym - Cat. 1;30g ;66,33€/KG;1,99€;non
Fruits et légumes;Légumes; Persil plat - Botte - Cat. 1;La pièce;0,89€;0,89€;non
Fruits et légumes;Fruits;CASINO BIO Banane Max Havelaar - Cat. 2 - Biologique;x5 ;3,27€/KG;2,29€;non
Fruits et légumes;Fruits;CASINO BIO Citron - Cat. 2  - Biologique;500g ;3,98€/KG;1,99€;non
Fruits et légumes;Fruits;CASINO BIO Orange - Cat. 2 - Biologique;1kg ;2,49€/KG;2,49€;non
Fruits et légumes;Fruits;CASINO BIO Orange à jus - Cat. 2 - Biologique;1,5kg ;2,33€/KG;3,49€;non
Fruits et légumes;Fruits;CASINO BIO Pomme Bicolore - Cat. 2 - Biologique;x8 ;4,99€/KG;4,99€;non
Fruits et légumes;Fruits;CASINO BIO Pommes bicolore - Cat. 2 - Biologique;x4 ;4,98€/KG;2,99€;non
Fruits et légumes;Fruits;CASINO BIO Pommes jaunes - Cat. 2 - Biologique;x4;2,99€;2,99€;non
Fruits et légumes;Fruits; Grenade - Cat. 1;La pièce;2,49€;2,49€;non
Fruits et légumes;Fruits; Bananes - Cat. 1;De 800g à 1kg ;1,59€/KG;1,59€;non
Fruits et légumes;Fruits; Melon charentais vert - Cat. 1;La pièce;1,79€;1,79€;non
Fruits et légumes;Fruits; Melon Charentais vert - Cat. 1;La pièce;2,99€;2,99€;non
Fruits et légumes;Fruits; Citron - Cat. 1;500g ;3€/KG;1,50€;non
Fruits et légumes;Fruits;CASINO Citrons - Cat. 1;De 400g à 500g ;2€/KG;1€;non
Fruits et légumes;Fruits; Citrons verts - Cat. 1;De 400g à 500g ;4€/KG;2€;non
Fruits et légumes;Fruits; Mandarines feuilles - Variété Clémenules - Cat. 1;De 800g à 1kg ;1,99€/KG;1,99€;non
Fruits et légumes;Fruits; Fraises - Variété Gariguette - Cat. 1;250g ;17,96€/KG;4,49€;non
Fruits et légumes;Fruits; Fraises baby - Cat.1;1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Fruits; Fruits de la passion - Cat. 1;De 200g à 300g ;10€/KG;3€;non
Fruits et légumes;Fruits;CASINO Melon Jaune - Cat. 1;La pièce;3,99€;3,99€;non
Fruits et légumes;Fruits; Kiwi - Cat. 1;La pièce;0,59€;0,59€;non
Fruits et légumes;Fruits; Kiwi - Cat. 2;1kg ;2,99€/KG;2,99€;non
Fruits et légumes;Fruits; Kiwi Gold - Cat.1;La pièce;0,59€;0,59€;non
Fruits et légumes;Fruits; Mangue - Cat. 1;La pièce;1,79€;1,79€;non
Fruits et légumes;Fruits; Orange à jus - Cat.1;2kg ;1,50€/KG;2,99€;non
Fruits et légumes;Fruits; Orange sélection - Variété Naveline - Cat. 1;De 800g à 1kg ;1,99€/KG;1,99€;non
Fruits et légumes;Fruits; Pomelos rose - Cat.1;La pièce;0,99€;0,99€;non
Fruits et légumes;Fruits; Framboises - Cat. 1;125g ;28€/KG;3,50€;non
Fruits et légumes;Fruits; Myrtilles - Cat. 1;125g ;20€/KG;2,50€;non
