categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes;LUNOR Pommes de terre entières;2x500g ;2,89€/KG;2,89€;non
Fruits et légumes;Légumes;CROC' FRAIS Olives dénoyautées méditerranéenne - Poivrons, ail & herbes;200g ;13,45€/KG;2,69€;non
Fruits et légumes;Légumes;CASINO Laitue Iceberg craquante;300g ;3,97€/KG;1,19€;non
Fruits et légumes;Légumes;CASINO Frisée 100% cœur;200g ;8,45€/KG;1,69€;non
Fruits et légumes;Légumes;FLORETTE Laitue Iceberg;175g ;7,71€/KG;1,35€;non
Fruits et légumes;Légumes;FLORETTE Salade cœur de laitue;200g ;9,25€/KG;1,85€;non
Fruits et légumes;Légumes;CASINO Mâche;125g ;11,12€/KG;1,39€;non
Fruits et légumes;Légumes;CASINO Jeunes pousses tendres;125g ;12,40€/KG;1,55€;non
Fruits et légumes;Légumes;CASINO Mesclun;125g ;12,72€/KG;1,59€;non
Fruits et légumes;Légumes;CASINO Salades aux 4 saveurs;320g ;7,16€/KG;2,29€;non
Fruits et légumes;Légumes;CROC' FRAIS Olives dénoyautées à la méditerranéenne;500g ;7,98€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Aubergine - Cat. 2 - Biologique;500g ;6,58€/KG;3,29€;non
Fruits et légumes;Légumes;CASINO BIO Avocats - Cat.2 - Biologique;x2;3,49€;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Betteraves - Cat. 2 - Biologique;500g ;3,18€/KG;1,59€;non
Fruits et légumes;Légumes;CASINO BIO Carotte - Cat. 2 - Biologique;1kg ;2,29€/KG;2,29€;non
Fruits et légumes;Légumes;CASINO BIO Champignons blancs - Cat. 2 - Biologique;200g ;12,45€/KG;2,49€;non
Fruits et légumes;Légumes;CASINO BIO Concombre - Cat. 2 - Biologique;La pièce;1,99€;1,99€;non
Fruits et légumes;Légumes;CASINO BIO Butternut - Cat. 2 - Biologique;La pièce ;2,68€/KG;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Courgettes - Cat. 2 - Biologique;1kg ;6,49€/KG;6,49€;non
Fruits et légumes;Légumes;CASINO BIO Echalotes traditionnelles longue - Cat. 2 - Biologique;250g ;10,36€/KG;2,59€;non
Fruits et légumes;Légumes;CASINO BIO Ail - Cat. 2 - Biologique;250g ;19,96€/KG;4,99€;non
Fruits et légumes;Légumes;FERME DE LA MOTTE Oignons Rouges - Cat. 2 - Biologique;500g ;5,98€/KG;2,99€;non
Fruits et légumes;Légumes;CASINO BIO Poivrons tricolores - Cat.2 - Biologique;x3 ;7,98€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Pomme de terre de consommation - Variété à chair ferme - Cat. 2 - Cal. 35/55 – Biologique - Non traité;1,5kg ;2,66€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Tomates rondes - Variété cerises - Cat.2 - Biologique;250g ;7,96€/KG;1,99€;non
Fruits et légumes;Légumes;CASINO BIO Tomates - Variété ronde en grappe - Cat. 2 - Biologique;600g ;6,65€/KG;3,99€;non
