;;;;01014_ARBENT_795_AVENUE_DU_19_MARS_1962;01115_CONFRANCON_ROUTE_DE_VANDEINS;01143_DIVONNE_LES_BAINS_250_AVENUE_DE_GENEVE;01320_CHALAMONT_Lieu_Dit_le_Petit_Etang;03095_CUSSET_2_RUE_DE_LA_REPUBLIQUE;03101_DOMERAT_RUE_ANDRE_MESSAGER;03310_VICHY_27_RUE_DE_L_HOTEL_DES_POSTES;04049_CHATEAU_ARNOUX_ST_AUBAN_AVENUE_DE_JAS;04088_FORCALQUIER_CCAL_LES_3_ROUTES;04400_ST_PONS_LES_TERRES_NEUVES;05023_BRIANCON_2_AVENUE_DU_DAUPHINE;05061_GAP_28_BOULEVARD_D_ORIENT;05070_LARAGNE_MONTEGLIN_RUE_DU_MOULIN;06004_ANTIBES_60_CHEMIN_DES_SABLES;06004_ANTIBES_AVENUE_NICOLAS_AUSSEL;06004_ANTIBES_AVENUE_PHILIPPE_ROCHAT;06027_CAGNES_SUR_MER_59_ROUTE_DE_FRANCE;06029_CANNES_54_BOULEVARD_D_ALSACE;06030_LE_CANNET_374_AVENUE_GENERAL_DE_GAULLE;06079_MANDELIEU_LA_NAPOULE_791_AV_DE_FREJUS_PAUL_RICARD;06084_MOUANS_SARTOUX_1006_CHEMIN_DES_GOURETTES;06088_NICE_10_PLACE_FONTAINE_DU_TEMPLE;06088_NICE_20_BOULEVARD_GAMBETTA;06088_NICE_28_BIS_BD_JEAN_BAPTISTE_VERANY;06088_NICE_2_AVENUE_GLORIA;06088_NICE_2_BOULEVARD_RENE_CASSIN;06088_NICE_2_RUE_DEUDON;06088_NICE_8_RUE_ASSALIT;06112_LE_ROURET_ROUTE_DE_NICE;06410_BIOT_AVENUE_ROUMANILLE;06920_CANNES_140_AVENUE_FRANCIS_TONNER;06922_CAGNES_SUR_MER_25_AVENUE_DU_GENERAL_LECLERC;06924_ANTIBES_138_BD_DU_PRESIDENT_WILSON;16281_LA_ROCHEFOUCAULD_ROUTE_DE_MANSLE_RIVIERE;16430_CHAMPNIERS_LES_GRANDES_CHAUMES;17224_MATHA_139_RUE_DE_SAINT_JEAN_D_ANGELY;18205_BOURGES_ROUTE_D_ORLEANS;19031_BRIVE_LA_GAILLARDE_37_39_BOULEVARD_GENERAL_KOENIG;19123_MALEMORTRUE_PASTEUR;19250_MEYMACROUTE_DE_TULLE;21166_CHENOVE58_RUE_DE_LONGVIC;21200_BEAUNE28_RUE_DU_FAUBOURG_MADELEINE;21231_DIJON12_BD_GEORGES_CLEMENCEAU;21231_DIJON30_32_RUE_D_AUXONNE;21278_FONTAINE_LES_DIJONRUE_DES_PRES_POTETS;21425_MONTBARD10_PLACE_LEON_GAMBETTA;21554_ST_JEAN_DE_LOSNEALL_BASTIONS_CHARMILLES;21800_QUETIGNY10_PLACE_CENTRALE_ROGER_REMOND;22113_LANNIONROUTE_DE_PERROS_GUIREC;22207_PLOUARETRUE_DU_GENERAL_DE_GAULLE;22278_ST_BRIEUC3_ROND_POINT_PABLO_NERUDA;24294_MONTPON_MENESTEROLROUTE_DE_RIBERAC;24520_SARLAT_LA_CANEDAROUTE_DE_BERGERAC;25056_BESANCON110_RUE_DE_DOLE;25056_BESANCON52_RUE_DE_BELFORT;25056_BESANCON53_RUE_DE_VESOUL;25056_BESANCONCENTRE_COMMERCIAL_CHATEAUFA;25300_PONTARLIER66_RUE_DE_SALINS;25500_MORTEAU4_RUE_DU_CLOS_JEUNE;25532_SAONE4_RUE_DU_LAC;69007_LYON20_RUE_DE_LA_MADELEINE;69387_LYON7_ET_9_RUE_MARC_BLOCH;69388_LYON105_AVENUE_JEAN_MERMOZ;78372_MARLY_LE_ROI_19_AVENUE_DE_SAINT_GERMAIN;79191_NIORT_130_AVENUE_DE_NANTES;80440_GLISY_ZAC_DE_LA_CROIX_DE_FER;82112_MOISSAC_2_BOULEVARD_DU_QUERCY;82400_VALENCE_BD_VICTOR_GUILHEM;83009_BANDOL_290_BOULEVARD_DE_MARSEILLE;83019_BORMES_LES_MIMOSAS_AVENUE_DES_LIGURES;83065 GASSIN_120 ROND POINT DE LA FOUX;83136 GAREOULT_CD554;83170_BRIGNOLES_PRE_DE_PAQUES;83320_CARQUEIRANNE_QUARTIER_ST_VINCENT
;;;;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix;prix
categorie;type;nom;poids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fruits et légumes;Fruits; ail sec - semoule - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.98;;;
Fruits et légumes;Fruits; amande grillée - sans sel;220g ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.9;;;;;;;;;;;;;;5.9;;;;;;;
Fruits et légumes;Fruits; amandes caramélisées - biologique - vrac;De 200g à 250g ;;;;;;;;4.98;;;;4.98;;4.98;4.98;4.98;4.98;4.98;;;4.98;;;4.98;;;;4.98;4.98;;4.98;;;;;;4.98;;4.98;;;;;;;;;;;;;;;;;;;;;;;;;;;4.98;;;4.98;;4.98;4.98;;
Fruits et légumes;Fruits; amandes coques;De 400g à 500g ;4.5;;;;;;;;;;4.5;;;;;;;;;4.5;;;;;;;;;;;;;;;;;4.5;;;;;;;4.5;4.5;;;;;;;;;;;;;;;4.5;4.5;4.5;4.5;;;4.5;;;;;;;;4.5
Fruits et légumes;Fruits; amandes décortiquées - biologique - vrac;De 160g à 200g ;4.58;;;;;;6.98;;;;4.58;;;4.58;4.58;4.58;4.58;4.58;;4.58;4.58;;;4.58;4.58;4.58;;4.58;4.58;4.58;4.58;;;;4.58;;;;;;4.58;;;;4.58;;;;4.58;;;;;4.58;4.58;;4.58;4.58;;;;;;5.74;;4.58;;;4.58;;4.58;4.58;;4.58
Fruits et légumes;Fruits; amandes effilées - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;;;;;5.58;;;;5.58;;;;;;;;;;;;;;;;5.58;;5.58;;;;;;;;;;;;;;;;;;;;;;;;;;;5.58;;;;;5.58;;;
Fruits et légumes;Fruits; amandes en poudre - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.9;;;;;;;;;;;;;;;;;
Fruits et légumes;Fruits; amandes poudrées;300g ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.79;;;;;;;;;;;;;;;;;;
Fruits et légumes;Fruits; amandes émondées - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.19;;;;;;;;;;
Fruits et légumes;Fruits; ananas - variété victoria;La pièce;4.99;;;;;;;;;;4.99;4.99;;;4.99;;4.99;4.99;;4.99;;;;;;4.99;;;;;;;;;;;;;4.99;;;;;;4.99;;;;;;;;;;;;4.99;;;;;;;;;4.99;;;;;;;;
Fruits et légumes;Fruits; ananas extra sweet;La pièce;0.99;0.99;0.99;0.99;0.99;2.49;2.69;0.99;0.99;0.99;0.99;0.99;;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;;0.99;0.99;0.99;0.99;0.99;0.99;;0.99;0.99;0.99;;0.99;;0.99;0.99;0.99;;0.99;0.99;0.99;;0.99;0.99;;0.99;;0.99;0.99;;0.99;0.99;0.99;;0.99;0.99;0.99;;;0.99;0.99;0.99;;0.99;0.99;0.99;0.99;0.99
Fruits et légumes;Fruits; ananas pain de sucre;La pièce;;;;;;;;;;;;4.99;;;;;4.99;;;;4.99;;;;;4.99;;;4.99;;;;;;;;;;4.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fruits et légumes;Fruits; arachide grillée salée;220g ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;;;;;;;;
Fruits et légumes;Fruits; baies de goji - biologique - vrac;De 80g à 100g ;;;;;;;;;;;;;;2.95;;2.95;2.95;2.95;;;;;;;;;;;;;;;;;;;2.95;;2.95;;;;;;;;;;;;;;;;;;;;;;;;;;;2.95;;;;;2.95;2.95;2.95;
Fruits et légumes;Fruits; banane plantain;De 800g à 1kg ;3.99;;;;;;;;;;;3.99;;;3.99;;;3.99;;3.99;;;;;;3.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.99;3.99;;;;;;;;3.99;;;;;;;;
