categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes; Aubergine - Cat. 1;1kg ;2,99€/KG;2,99€;oui
Fruits et légumes;Légumes; Aubergines - Cat. 1;De 800g à 1kg ;3,49€/KG;3,49€;oui
Fruits et légumes;Légumes; Carotte - Cat. 1;3kg ;1€/KG;2,99€;oui
Fruits et légumes;Légumes; Champignon blanc - Cat.1;1kg ;4,99€/KG;4,99€;oui
Fruits et légumes;Légumes; Pomme de terre de consommation - Variété Agata- Cat. 1 - Cal. 50/70 - Traité contre la germination ;5kg ;1,10€/KG;5,49€;oui
Fruits et légumes;Légumes; Pomme de terre de consommation à chair ferme lavée - Variété Agatha - Cat 1 - Cal  40+;10kg ;0,60€/KG;5,99€;oui
Fruits et légumes;Légumes; Pomme de terre de consommation à chair ferme non lavée - Cat. 2 - Cal. 40+;10kg ;0,50€/KG;4,99€;oui
Fruits et légumes;Légumes; Courgettes vrac - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;oui
Fruits et légumes;Légumes; Oignon jaune - Cat. 1;2kg ;1€/KG;1,99€;oui
Fruits et légumes;Légumes; Oignon jaune - Cat. 1;5kg ;0,80€/KG;3,99€;oui
Fruits et légumes;Légumes; Poivron rouge - Cat. 1;1kg ;4,99€/KG;4,99€;oui
Fruits et légumes;Légumes; Asperges blanches - Cat. 1;De 400g à 600g ;9,98€/KG;5,99€;oui
Fruits et légumes;Légumes; Avocat Hass - Pré-mûris;x5;3,99€;3,99€;oui
Fruits et légumes;Légumes; Tomate côtelée noire de Crimée - Cat. 2;De 800g à 1kg ;4,79€/KG;4,79€;oui
Fruits et légumes;Légumes; Tomate saveur d'antan - Cat. 1;1,5kg ;5,99€/KG;8,99€;oui
Fruits et légumes;Légumes; Tomate cerise allongée - Cat. 1;1kg ;7,99€/KG;7,99€;oui
Fruits et légumes;Légumes;CASINO Tomate cocktail grappe - Sans résidu de pesticides - Cat. 1;500g ;7,58€/KG;3,79€;oui
Fruits et légumes;Légumes; Tomate ronde - Variété Grappe - Cat. 1;De 800g à 1kg ;3,79€/KG;3,79€;oui
Fruits et légumes;Légumes;FLORETTE Baby Carottes - Prêtes à croquer;250g ;8,76€/KG;2,19€;oui
Fruits et légumes;Légumes;FLORETTE Plateau apéro;600g ;9,98€/KG;5,99€;oui
Fruits et légumes;Légumes;BONDUELLE Jeunes Pousses et Roquette;145g ;14,41€/KG;2,09€;oui
Fruits et légumes;Légumes;LA CONQUETE DES SAVEURS Curcuma;70g ;35,57€/KG;2,49€;non
Fruits et légumes;Légumes;LA CONQUETE DES SAVEURS Paprika doux;75g ;33,20€/KG;2,49€;non
Fruits et légumes;Légumes;FLORETTE Wok fondant de légumes;300g ;10,30€/KG;3,09€;non
Fruits et légumes;Légumes; Asperge verte - Cat. 2 - Biologique;400g ;22,48€/KG;8,99€;non
Fruits et légumes;Légumes; Asperges blanches et violettes - Cat.2 - Biologique;500g ;19,98€/KG;9,99€;non
Fruits et légumes;Légumes;CASINO BIO Aubergine - Cat. 2 - Biologique;500g ;6,58€/KG;3,29€;non
Fruits et légumes;Légumes;CASINO BIO Avocats - Cat.2 - Biologique;x2;3,49€;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Betteraves - Cat. 2 - Biologique;500g ;3,18€/KG;1,59€;non
Fruits et légumes;Légumes;CASINO BIO Champignons blancs - Cat. 2 - Biologique;200g ;12,45€/KG;2,49€;non
Fruits et légumes;Légumes; Brocoli - Cat. 2 - Biologique;500g ;6,48€/KG;2,59€;non
Fruits et légumes;Légumes;CASINO BIO Concombre - Cat. 2 - Biologique;La pièce;1,99€;1,99€;non
Fruits et légumes;Légumes;CASINO BIO Courgettes - Cat. 2 - Biologique;1kg ;6,49€/KG;6,49€;non
Fruits et légumes;Légumes;CASINO BIO Ail - Cat. 2 - Biologique;250g ;19,96€/KG;4,99€;non
Fruits et légumes;Légumes;CASINO BIO Echalotes traditionnelles longue - Cat. 2 - Biologique;250g ;10,36€/KG;2,59€;non
Fruits et légumes;Légumes; Maïs - Cat. 2 - Biologique;400g ;8,73€/KG;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Oignons jaunes - Cat.2 - Biologique;500g ;4,38€/KG;2,19€;non
Fruits et légumes;Légumes;FERME DE LA MOTTE Oignons Rouges - Cat. 2 - Biologique;500g ;5,98€/KG;2,99€;non
Fruits et légumes;Légumes;CASINO BIO Blanc de poireau - Cat. 2 - Biologique;400g ;8,73€/KG;3,49€;non
Fruits et légumes;Légumes;CASINO BIO Poireau botte - Cat.2 - Biologique;500g ;5,98€/KG;2,99€;non
Fruits et légumes;Légumes;CASINO BIO Poivrons tricolores - Cat.2 - Biologique;x3 ;7,98€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Patate douce - Cat. 2 - Biologique;500g ;7,38€/KG;3,69€;non
Fruits et légumes;Légumes;CASINO BIO Pomme de terre de consommation - Variété à chair ferme - Cat. 2 - Cal. 35/55 – Biologique - Non traité;1,5kg ;2,66€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Pomme de terre de consommation - Variété à chair tendre - Cat. 2 - Cal. 35/65 – Biologique - Non traité;1.5kg ;2,66€/KG;3,99€;non
Fruits et légumes;Légumes;CASINO BIO Endive - Cat. 2 - Biologique;3/5 Pièces;3,99€;3,99€;non
Fruits et légumes;Légumes; Mâche - Cat.1 - Biologique;150g ;18,60€/KG;2,79€;non
Fruits et légumes;Légumes;CASINO BIO Tomate - Variété cerise allongée - Cat. 2 - Biologique;250g ;10,36€/KG;2,59€;non
Fruits et légumes;Légumes; Tomate allongée - Cat. 2 - Biologique;500g;3,29€;3,29€;non
Fruits et légumes;Légumes; Tomate cerise grappe - Cat.2 - Biologique;250g ;10,36€/KG;2,59€;non
Fruits et légumes;Légumes;CASINO BIO Tomates - Variété ronde en grappe - Cat. 2 - Biologique;600g ;6,65€/KG;3,99€;non
Fruits et légumes;Légumes; Avocat tropical - Cat. 1;La pièce;3,99€;3,99€;non
Fruits et légumes;Légumes; Gingembre - Cat. 1;De 200g à 300g ;6,50€/KG;1,95€;non
Fruits et légumes;Légumes; Ail blanc - Cat. 1;De 400g à 500g ;10€/KG;5€;non
Fruits et légumes;Légumes; Ail blanc 3 têtes - Cat. 1;La pièce ;14,95€/KG;2,99€;non
Fruits et légumes;Légumes; Ail violet - Cat. 1;La pièce;2,99€;2,99€;non
Fruits et légumes;Légumes; Panais - Légume ancien - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Légumes; Topinambour - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Légumes; Oignons de Roscoff - Cat. 1;500g ;5,58€/KG;2,79€;non
Fruits et légumes;Légumes; Oignons de Roscoff - Cat. 1;1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes;FERME DE FONTENAY Oignons Saucier - Cat. 1;500g ;5,58€/KG;2,79€;non
